,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
2765,SIA/UP/IND2/43079/2018,5084/3992,Uttar Pradesh,Sambhal,Gunnaur,Date of Submission for TOR: ,Date of Submission for EC: 21 Sep 2019 ,Industrial Projects - 2,DHAMPUR SUGAR MILLS LIMITED RAJPURA UNIT,Delisted
2766,SIA/UP/MIN/29440/2018,4518,Uttar Pradesh,Jalaun,Kalpi,Date of Submission for EC: 06 Oct 2018 ,Date of Ec Granted : 16 Nov 2018,Non-Coal Mining,KUBER KAMNA MARBELS PRIVATE LIMITED,EC Granted
2767,SIA/UP/MIN/139074/2020,,Uttar Pradesh,Sitapur,Laharpur,Date of Submission for TOR: ,Date of Submission for EC: 27 Jan 2020 ,Non-Coal Mining,M/S PRASAD BRICK FIELD,Delisted
2768,SIA/UP/MIS/208731/2021,6285,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,Date of Submission for EC: 11 Apr 2021 ,Date of Ec Granted : 06 May 2023,INFRA-2,MS UFLEX LTD,EC Granted
2769,SIA/UP/MIN/74804/2018,4272,Uttar Pradesh,Mahoba,Mahoba,Date of Submission for EC: 30 Apr 2018 ,Date of Ec Granted : 04 Sep 2018,Non-Coal Mining,SH ARVIND KUMAR,EC Granted
2770,SIA/UP/MIS/155805/2020,5682,Uttar Pradesh,Gautam Buddha Nagar,Dadri,Date of Submission for EC: 03 Jun 2020 ,Date of Ec Granted : 01 Sep 2020,INFRA-2,JRS CONBUILD PRIVATE LIMITED,EC Granted
2771,SIA/UP/MIN/417823/2023,7636,Uttar Pradesh,,,Date of Submission for EC: 11 Feb 2023 ,Date of Ec Granted : 04 May 2023,Non-Coal Mining,DEVENDRA SINGH,EC Granted
2772,SIA/UP/MIN/418783/2023,7648-7169,Uttar Pradesh,,,Date of Submission for EC: 18 Feb 2023 ,Date of Ec Granted : 04 May 2023,Non-Coal Mining,M/S TARA ENTERPRISES,EC Granted
2773,SIA/UP/MIN/130720/2019,,Uttar Pradesh,Aligarh,Iglas,Date of Submission for TOR: ,Date of Submission for EC: 13 Dec 2019 ,Non-Coal Mining,KRISHNA KANHAIYA ENT UDYOG,Delisted
2774,SIA/UP/MIN/70453/2017,3846,Uttar Pradesh,Hamirpur,Hamirpur,Date of Submission for EC: 23 Oct 2017 ,Date of Ec Granted : 21 Dec 2017,Non-Coal Mining,NHAI HAMIRPUR,EC Granted
2775,SIA/UP/MIN/59397/2020,6066/5822,Uttar Pradesh,Fatehpur,Fatehpur,Date of Submission for EC: 25 Dec 2020 ,Date of Ec Granted : 15 Jan 2021,Non-Coal Mining,M/S PRAGYASAN BUSINESS PVT. LTD.,EC Granted
2776,SIA/UP/IND2/205972/2021,6252,Uttar Pradesh,Ghaziabad,Ghaziabad,Date of Submission for EC: 25 Mar 2021 ,Date of Ec Granted : 12 Jun 2021,Industrial Projects - 2,M/S. PARA PRODUCTS PVT. LTD.,EC Granted
