,index,project_number,file_number,project_name,company,proposal_status,project_type
560,,SIA/WB/MIS/186026/2020,EN/T-II-1/079/2018,Parvati Garden,SURADHANI CHEMICALS AND BOARD MFG CO PVT LTD AND OTHERS,Delisted,EC
561,,SIA/WB/MIS/187248/2020,EN/T-II-1/096/2021,"Residential Complex ""Urvan""",MERLIN PROJECTS LTD.,EC Granted,EC
562,,SIA/WB/MIS/191693/2021,EN/T-II-1/048/2021,Residential Complex,WINSHER TIE-UP PVT. LTD.,Delisted,EC
563,,SIA/WB/MIS/195897/2021,EN/T-II-1/047/2021,"Affordable housing at Aerotropolis Township, Andal Mouza, Andal Taluka, District Paschim Bardhaman, West Bengal, India",IABA HOUSING PRIVATE LIMITED,EC Granted,EC
564,,SIA/WB/MIS/202874/2021,EN/T-II-1/075/2021,Information Technology Office Building,DELTA PV PRIVATE LIMITED,EC Granted,EC
565,,SIA/WB/MIS/202885/2021,EN/T-II-1/076/2021,Residential Complex,KYAL DEVELOPERS PVT. LTD.,EC Granted,EC
566,,SIA/WB/MIS/204112/2021,EN/T-II-1/041/2018,"Construction of Hospital Building of Gouri Devi Institute of Medical Science and Hospital (GIMSH) at Amlajora Panchayat, Kanksa Block, Paschim Bardhaman District",GIMSH,EC Granted,EC
567,,SIA/WB/MIS/210406/2021,EN/T-II-1/113/2021,Housing Complex,MERLIN PROJECTS LTD.,EC Granted,EC
568,,SIA/WB/MIS/210737/2019,EN/T-II-1/028/2019,Sugam Park,SUGAM PARK (AOP),Delisted,EC
569,,SIA/WB/MIS/210967/2021,EN/T-II-1/111/2021,Proposed Residential Complex by Berlia Developers,BERLIA DEVELOPERS,EC Granted,EC
570,,SIA/WB/MIS/212485/2021,EN/T-II-1/145/2021,Housing Complex,MAGNOLIA INFRASTRUCTURE DEVELOPMENT LTD.,EC Granted,EC
