,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link,Timeline
498,SIA/BR/MIN/129864/2019,,Sand Mining Project at  Kanshar  Sand Ghat (4.85 Ha.) on Baghmati riverbed in Sitamarhi district of Bihar,Bihar,Sitamarhi,Belsand,Date of Submission for TOR: ,Date of Submission for EC: 08 Dec 2019 ,Non-Coal Mining,NAVEENKUMAR SITAMARHI,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/MIN/129864/2019&pid=78976,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/129864/2019&type=EC&ID=78976
499,SIA/BR/MIN/130600/2019,,"Darhi Aas M/S BHARAT INT UDYOG  Project, For Production Capacity -4978.54 TPA, Area-1.07ha (2.65Ac), Thana no-255/1, Khata no-64,27& 87. Plot no.-439,440 & 129. Mauza- Darhi Aas ,P.S.-Mufasil, Circle-",Bihar,Khagaria,Khagaria,Date of Submission for TOR: ,Date of Submission for EC: 10 Dec 2019 ,Non-Coal Mining,M/S BHARAT INT UDYOG PROPONENT SAMEER CHOUDHARY,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/MIN/130600/2019&pid=79172,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/130600/2019&type=EC&ID=79172
500,SIA/BR/MIN/131791/2019,,"Proposed Brick Earth Mining Project of Area 2.92 Hectare or 7.24 Acre M/s Shree Balajee & Sakambari Int Udyog at Village- Mangalpur, P.O- Malkauli, P.S- Pathkauli, Block- Bagaha- 2, District-West Cham",Bihar,West Champaran,Bagaha,Date of Submission for TOR: ,Date of Submission for EC: 16 Dec 2019 ,Non-Coal Mining,M/S BALAJEE & SAKAMBARI INT UDYOG,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/MIN/131791/2019&pid=79478,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/131791/2019&type=EC&ID=79478
501,SIA/BR/MIN/31448/2019,SIA/1(a)/640/19,"Sand Mining Project at Mehandaura Brahpur Ghat on Son river in district Bhojpur, Bihar",Bihar,Bhojpur,Agiaon,Date of Submission for EC: 17 Dec 2019 ,Date of Ec Granted : 22 Apr 2020,Non-Coal Mining,BROADSON COMODITIES PVT LTD,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/MIN/31448/2019&pid=79512,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/31448/2019&type=EC&ID=79512
502,SIA/BR/IND2/198424/2021,SIA/5(j)/1276/2021(EXP.),Harinagar Sugar Mills Ltd.,Bihar,West Champaran,Ramnagar,Date of Submission for EC: 17 Feb 2021 ,Date of Ec Granted : 02 Apr 2021,Industrial Projects - 2,HARINAGAR SUGAR MILLS LTD,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/IND2/198424/2021&pid=163366,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/IND2/198424/2021&type=EC&ID=163366
503,SIA/BR/MIN/47524/2019,,"Brick Earth Mining Project atVillage- Pawani, P.O- Pawani, P.S – Muffassil Buxar, District- Buxar(Bihar)",Bihar,Buxar,Chausa,Date of Submission for TOR: ,Date of Submission for EC: 29 Nov 2019 ,Non-Coal Mining,M/S SWASTIK ENT UDYOG,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/MIN/47524/2019&pid=77606,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/47524/2019&type=EC&ID=77606
504,SIA/BR/MIS/128384/2019,SIA/8(a)/864/19,PARIVAHAN PARISAR,Bihar,Patna,Patna Rural (a) Patna Rural (b),Date of Submission for EC: 20 Dec 2019 ,Date of Ec Granted : 05 May 2020,INFRA-2,BIHAR STATE ROAD TRANSPORT CORPORATION,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/MIS/128384/2019&pid=77624,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIS/128384/2019&type=EC&ID=77624
505,SIA/BR/MIN/138840/2020,,"Brick Earth Mining Project at Village- Simra, P.O- Simra, P.S+Anchal - Jhanjharpur, District- Madhubani(Bihar)",Bihar,Madhubani,Jhanjharpur,Date of Submission for TOR: ,Date of Submission for EC: 25 Jan 2020 ,Non-Coal Mining,M/S- SACHIN INT UDYOG,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/MIN/138840/2020&pid=86210,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/138840/2020&type=EC&ID=86210
506,SIA/BR/MIN/146445/2020,,"Brick Earth Mining Project at Mauza- Shahpur, P.O- Daudpur, P.S - Shahpur, District- Patna(Bihar)",Bihar,Patna,Maner,Date of Submission for TOR: ,Date of Submission for EC: 29 Feb 2020 ,Non-Coal Mining,M/S- PUJA BRICKS,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/MIN/146445/2020&pid=95006,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/146445/2020&type=EC&ID=95006
507,SIA/BR/IND1/415859/2023,,Balmukund Concast Limited,Bihar,,,Date of Submission for TOR: ,Date of Submission for EC: 27 Jan 2023 ,Industrial Projects - 1,BALMUKUND CONCAST LIMITED,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/IND1/415859/2023&pid=215781,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/IND1/415859/2023&type=EC&ID=215781
