Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
SIA/JH/MIS/252716/2022,EC/SEIAA/2021-22/2477/2021,Jharkhand,Ranchi,Namkum,Date of Submission for EC: 28 Feb 2022 ,Date of Ec Granted : 21 Apr 2022,INFRA-2,MANOJ SINGH,EC Granted
SIA/JH/MIN/428366/2023,EC/SEIAA/2022-23/2812/2023,Jharkhand,,,Date of Submission for EC: 20 May 2023 ,Date of Ec Granted : 15 Jun 2023,Non-Coal Mining,AMIT SONI,EC Granted
SIA/JH/MIN/429519/2023,EC/SEIAA/2023-24/2827/2023,Jharkhand,,,Date of Submission for EC: 20 May 2023 ,Date of Ec Granted : 19 Jun 2023,Non-Coal Mining,SANTOSH MEHTA,EC Granted
SIA/JH/MIN/429286/2023,EC/SEIAA/2023-24/2821/2023,Jharkhand,,,Date of Submission for EC: 20 May 2023 ,Date of Ec Granted : 19 Jun 2023,Non-Coal Mining,ISHAN JAIN,EC Granted
SIA/JH/MIN/63878/2017,EC/SEIAA/2016-17/2014/2017,Jharkhand,Jamtara,Jamtara,Date of Submission for EC: 09 May 2017 ,Date of Ec Granted : 05 Jun 2018,Non-Coal Mining,OVERSEAS MIN TECH CONSULTANTS,EC Granted
SIA/JH/MIN/43258/2019,,Jharkhand,Giridih,Dhanwar,Date of Submission for TOR: ,Date of Submission for EC: 22 Sep 2019 ,Non-Coal Mining,SRI AMAR KUMAR PURUSHOTTAM KUMAR,Delisted
SIA/JH/MIN/228078/2021,EC/SEIAA/2021-22/2418/2021,Jharkhand,Palamu,Chhatarpur,Date of Submission for EC: 09 Sep 2021 ,Date of Ec Granted : 23 Sep 2021,Non-Coal Mining,M/S MAHAKALESHWAR STONE  MINES,EC Granted
SIA/JH/MIS/282654/2022,EC/SEIAA/2022-23/2498/2022,Jharkhand,Ranchi,Bero,Date of Submission for EC: 18 Jul 2022 ,Date of Ec Granted : 12 Aug 2022,INFRA-2,GLOBAL INFRA,EC Granted
SIA/JH/IND1/425399/2023,EC/SEIAA/2023-24/2404/2023,Jharkhand,,,Date of Submission for TOR: ,Date of Submission for EC: 10 Apr 2023 ,Industrial Projects - 1,M/S RADHAGOPAL ISPAT LLP,ADS by SEAC
SIA/JH/MIS/182045/2020,,Jharkhand,East Singhbhum,baridih,Date of Submission for TOR: ,Date of Submission for EC: 04 Nov 2020 ,INFRA-2,M/S SRINATH HOMES INDIA PVT LTD,Delisted
