Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
SIA/RJ/MIN/44182/2019,12727,Rajasthan,Ajmer,Masuda,Date of Submission for EC: 03 Oct 2019 ,Date of Ec Granted : 10 Sep 2020,Non-Coal Mining,KOMAL MEWARA,EC Granted - Processed offline
SIA/RJ/MIN/44377/2019,12787,Rajasthan,Kota,Digod,Date of Submission for TOR: ,Date of Submission for EC: 18 Oct 2019 ,Non-Coal Mining,SHRI RAJ SINGH RAJAWAT,Delisted
SIA/RJ/MIS/44386/2018,,Rajasthan,Nagaur,Nagaur,Date of Submission for EC: 10 Oct 2019 ,Date of Ec Granted : 10 Jan 2020,INFRA-2,RIICO LIMITED,EC Granted - Processed offline
SIA/RJ/MIN/49037/2016,,Rajasthan,chittorgarh,chittorgarh,Date of Submission for TOR: ,Date of Submission for EC: 11 Feb 2016 ,Non-Coal Mining,ANIL TIWARI,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/49430/2016,,Rajasthan,chittorgarh,chittorgarh,Date of Submission for TOR: ,Date of Submission for EC: 15 Feb 2016 ,Non-Coal Mining,ANIL TIWARI,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/178978/2020,14496,Rajasthan,Rajsamand,Deogarh,Date of Submission for EC: 22 Oct 2020 ,Date of Ec Granted : 11 Jun 2021,Non-Coal Mining,SHRI JAYALAL BHIL,EC Granted - Processed offline
SIA/RJ/MIN/150260/2020,14017,Rajasthan,Barmer,Siwana,Date of Submission for TOR: ,Date of Submission for EC: 17 Jun 2020 ,Non-Coal Mining,MASONARY STONE 58/2003,Delisted
SIA/RJ/MIN/77285/2018,,Rajasthan,Sri Ganganagar,Gharsana,Date of Submission for TOR: ,Date of Submission for EC: 31 Aug 2018 ,Non-Coal Mining,MULARAM GOPIRAM,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/36887/2015,,Rajasthan,dholpur,Bari,Date of Submission for TOR: ,Date of Submission for EC: 30 Dec 2015 ,Non-Coal Mining,RAHUL UPADHYAYA,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/36897/2015,,Rajasthan,Barmer,Siwana,Date of Submission for TOR: ,Date of Submission for EC: 30 Dec 2015 ,Non-Coal Mining,FIRM PAWAN PUTRA STONES,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/49811/2016,,Rajasthan,Bhilwara,Mandal,Date of Submission for TOR: ,Date of Submission for EC: 17 Feb 2016 ,Non-Coal Mining,M/S.SHREE RAM MINES & MINERALS,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/49815/2016,,Rajasthan,chittorgarh,chittorgarh,Date of Submission for TOR: ,Date of Submission for EC: 17 Feb 2016 ,Non-Coal Mining,JUBEDA BEGUM,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/41062/2016,,Rajasthan,Sawai Madhopur,Gangapur,Date of Submission for TOR: ,Date of Submission for EC: 15 Jan 2016 ,Non-Coal Mining,GOPAL LAL GUPTA,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/41095/2016,,Rajasthan,Barmer,gudhamalani,Date of Submission for TOR: ,Date of Submission for EC: 16 Jan 2016 ,Non-Coal Mining,SH KARAN SINGH,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/41118/2016,,Rajasthan,Karauli,Nadoti,Date of Submission for TOR: ,Date of Submission for EC: 16 Jan 2016 ,Non-Coal Mining,PAPPI DEVI,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/66392/2020,,,,,Date of Submission for TOR: ,Date of Submission for EC: 08 Mar 2022 ,Non-Coal Mining,SH MAHENDRA KUMAR GOYAL,Delisted
SIA/RJ/MIN/48544/2016,,Rajasthan,Jodhpur,Jodhpur,Date of Submission for TOR: ,Date of Submission for EC: 09 Feb 2016 ,Non-Coal Mining,UDAIPUR MIN TECH  PVT  LTD,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/48547/2016,,Rajasthan,Jodhpur,Jodhpur,Date of Submission for TOR: ,Date of Submission for EC: 09 Feb 2016 ,Non-Coal Mining,UDAIPUR MIN TECH  PVT  LTD,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/48628/2016,,Rajasthan,Jodhpur,Jodhpur,Date of Submission for TOR: ,Date of Submission for EC: 09 Feb 2016 ,Non-Coal Mining,UDAIPUR MIN TECH  PVT  LTD,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/48630/2016,,Rajasthan,Jaipur,Amber,Date of Submission for TOR: ,Date of Submission for EC: 09 Feb 2016 ,Non-Coal Mining,ARJUN LAL YADAV,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/48693/2016,,Rajasthan,Bharatpur,roopbas,Date of Submission for TOR: ,Date of Submission for EC: 10 Feb 2016 ,Non-Coal Mining,VIJAY LAXMI STONE INDUSTRIES,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/53423/2016,,Rajasthan,Nagaur,Nagaur,Date of Submission for TOR: ,Date of Submission for EC: 04 May 2016 ,Non-Coal Mining,RAJA RAM,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/52281/2020,,Rajasthan,Dungarpur,Aspur,Date of Submission for TOR: ,Date of Submission for EC: 12 Mar 2020 ,Non-Coal Mining,Kali Mandal,
SIA/RJ/MIN/45620/2019,12879,Rajasthan,Tonk,Malpura,Date of Submission for EC: 29 Oct 2019 ,Date of Ec Granted : 06 Oct 2020,Non-Coal Mining,SMT. DURGA DEVI,EC Granted - Processed offline
SIA/RJ/MIN/45637/2019,,Rajasthan,Alwar,Ramgarh,Date of Submission for TOR: ,Date of Submission for EC: 30 Oct 2019 ,Non-Coal Mining,H.G INFRA ENGINEERING PVT. LTD,Delisted
SIA/RJ/MIN/40851/2016,,Rajasthan,chittorgarh,Nimbahera,Date of Submission for TOR: ,Date of Submission for EC: 14 Jan 2016 ,Non-Coal Mining,MR BABU LAL,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/40881/2016,,Rajasthan,Jodhpur,Luni,Date of Submission for TOR: ,Date of Submission for EC: 14 Jan 2016 ,Non-Coal Mining,UDR MINTECH,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/33025/2019,11519,Rajasthan,Nagaur,Nagaur,Date of Submission for EC: 03 May 2019 ,Date of Ec Granted : 16 Jul 2019,Non-Coal Mining,SHRI RAMKUWAR DUKIYA,EC Granted
SIA/RJ/MIN/45833/2018,13027,Rajasthan,Sri Ganganagar,Suratgarh,Date of Submission for EC: 09 Nov 2019 ,Date of Ec Granted : 09 May 2022,Non-Coal Mining,MS FCI ARAVALI GYPSUM AND MINERALS INDIA LTD,EC Granted
SIA/RJ/MIN/57996/2016,,Rajasthan,Dausa,Dausa,Date of Submission for TOR: ,Date of Submission for EC: 01 Aug 2016 ,Non-Coal Mining,PYARE LAL MEENA,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/56587/2016,,Rajasthan,Bhilwara,Raipur,Date of Submission for TOR: ,Date of Submission for EC: 23 Jun 2016 ,Non-Coal Mining,KAILASH CHAND JAT,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/56609/2016,,Rajasthan,Jodhpur,Jodhpur,Date of Submission for TOR: ,Date of Submission for EC: 23 Jun 2016 ,Non-Coal Mining,SHRI MISHREE MAL,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/56622/2016,,Rajasthan,Jodhpur,Shergarh,Date of Submission for TOR: ,Date of Submission for EC: 23 Jun 2016 ,Non-Coal Mining,SHRI NENA RAM JI,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/56627/2016,,Rajasthan,Jodhpur,Shergarh,Date of Submission for TOR: ,Date of Submission for EC: 23 Jun 2016 ,Non-Coal Mining,SHRI JAY KARAN,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/56630/2016,,Rajasthan,Bhilwara,Beejoliya,Date of Submission for TOR: ,Date of Submission for EC: 24 Jun 2016 ,Non-Coal Mining,RADHEY GOVIND NATURAL STONE,Under examination of SEIAA - Processed offline
