,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link,Timeline
4607,SIA/AP/MIN/413237/2023,AP/ANT/MIN/7/ 2021/3339,M/s Prince Mines & Minerals Prop: Sri A. Ateeq Ahamed. Mining of Road Metal & Building Stone (Extent 5.714 Ha),Andhra Pradesh,,,Date of Submission for EC: 04 Jan 2023 ,Date of Ec Granted : 07 Mar 2023,Non-Coal Mining, ATTAR ATEEQ AHAMED,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/MIN/413237/2023&pid=214840,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/413237/2023&type=EC&ID=214840
4608,SIA/AP/MIN/81910/2018,,"Sri.Sri.L.V.V.R.V.Prasad 
12.318 Ha.
Sy. No. 2,
Thotapalli Village,
Agiripalli mandal,
Krishna District, A.P
",Andhra Pradesh,Krishna,Agiripalle,Date of Submission for TOR: ,Date of Submission for EC: 09 Oct 2018 ,Non-Coal Mining,SRI.L.V.V.R.V.PRASAD,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/MIN/81910/2018&pid=46226,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/81910/2018&type=EC&ID=46226
4609,SIA/AP/MIN/431579/2023,AP/VZM/11/2020/2398,"M/s Andhra Quartzite Pvt Ltd, Quartzite Mine,  24.0 Hectares at Sy.No.1p, Garugubilli Village, Merkammudidam Mandal, Vizianagaram, A.P.",Andhra Pradesh,,,Date of Submission for EC: 31 May 2023 ,Date of Ec Granted : 21 Feb 2024,Non-Coal Mining,M/S ANDHRA QUARTZITES PVT LTD,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/MIN/431579/2023&pid=220646,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/431579/2023&type=EC&ID=220646
4610,SIA/AP/MIN/75101/2018,AP SKM MIN 06 2018 629,"1.000 Ha. of Colour Granite Mine of   
M/s. Ellamman Granites,Sy.No.71
Mukhalingapuram Village, 
Tekkali  Mandal, 
Srikakulam District, 
Andhra Pradesh.

",Andhra Pradesh,Srikakulam,Tekkali,Date of Submission for EC: 06 Jun 2018 ,Date of Ec Granted : 15 Oct 2018,Non-Coal Mining,MS ELLAMMAN GANITES,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/MIN/75101/2018&pid=44246,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/75101/2018&type=EC&ID=44246
4611,SIA/AP/MIN/58242/2016,,Sri. KV Muddu Rama Reddy,Andhra Pradesh,Anantapur,Tanakallu,Date of Submission for TOR: ,Date of Submission for EC: 09 Aug 2016 ,Non-Coal Mining,KV MUDDU RAMA REDDY,TransferToDEIAA,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/MIN/58242/2016&pid=24216,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/58242/2016&type=EC&ID=24216
4612,SIA/AP/NCP/84238/2018,AP KRI CON 11 2018 722,"Sree Madhuraya Projects Pvt Ltd, Residential and Commercial building, Sy.No:98/1A,98/1A4,98/1B,98/2,Gollapudi V,Vijayawada rural M,AP",Andhra Pradesh,Krishna,Vijayawada (Rural),Date of Submission for EC: 01 Nov 2018 ,Date of Ec Granted : 23 Feb 2019,INFRA-1,SREE MADHURYA PROJECTS PVT LTD,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/NCP/84238/2018&pid=47528,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/NCP/84238/2018&type=EC&ID=47528
4613,SIA/AP/IND2/173730/2020,AP WG  IND 10 2020 2241,Vairav Labs Private Limited,Andhra Pradesh,West Godavari,Gopalapuram,Date of Submission for EC: 05 Oct 2020 ,Date of Ec Granted : 12 Aug 2021,Industrial Projects - 2,VAIRAV LABS PRIVATE LIMITED,EC Granted - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/IND2/173730/2020&pid=130522,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/IND2/173730/2020&type=EC&ID=130522
4614,SIA/AP/MIN/402466/2022,AP/ VSP/MIN/12/2020/2735,Gravel  and Rough Stone Quarry of M Rama Raju (Sy.No.212),Andhra Pradesh,Visakhapatnam,,Date of Submission for EC: 29 Oct 2022 ,Date of Ec Granted : 02 Mar 2023,Non-Coal Mining,M RAMARAJU,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/MIN/402466/2022&pid=211972,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/402466/2022&type=EC&ID=211972
4615,SIA/AP/MIN/181555/2020,AP ANT  MIN 11 2020 2263,KN Palyam Sand Reach,Andhra Pradesh,Anantapur,Kanaganapalle,Date of Submission for EC: 01 Nov 2020 ,Date of Ec Granted : 01 Dec 2020,Non-Coal Mining,ADMG ANANTAPUR,EC Granted - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/MIN/181555/2020&pid=142402,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/181555/2020&type=EC&ID=142402
4616,SIA/AP/MIN/265411/2022,AP MIN CTR 04 2022 4132,ANAGALLU1 SAND REACH,Andhra Pradesh,Chittoor,Chittoor,Date of Submission for EC: 05 Apr 2022 ,Date of Ec Granted : 21 Apr 2022,Non-Coal Mining,JAIPRAKASHPOWERVENTURESLIMITED,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/MIN/265411/2022&pid=201504,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/265411/2022&type=EC&ID=201504
