Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
SIA/UP/MIN/50557/2019,5493/4836,Uttar Pradesh,Banda,Naraini,Date of Submission for EC: 10 Feb 2020 ,Date of Ec Granted : 15 Jan 2021,Non-Coal Mining,S R INNOVATION LLP,EC Granted
SIA/UP/MIN/50598/2019,5498/4835,Uttar Pradesh,Banda,Naraini,Date of Submission for EC: 10 Feb 2020 ,Date of Ec Granted : 11 Aug 2020,Non-Coal Mining,MALHOTRA BROTHERS,EC Granted
SIA/UP/MIN/171310/2020,5811,Uttar Pradesh,Rampur,Suar,Date of Submission for EC: 04 Sep 2020 ,Date of Ec Granted : 15 Oct 2020,Non-Coal Mining,LAKHVINDAR SINGH MAHENDRA SINGH JUGENDRA SINGH,EC Granted
SIA/UP/MIN/240776/2021,6728,Uttar Pradesh,Raebareli,Rae Bareli,Date of Submission for EC: 07 Dec 2021 ,Date of Ec Granted : 15 Nov 2022,Non-Coal Mining,SHRI SURESH KUMAR,EC Granted
SIA/UP/MIN/64062/2021,,Uttar Pradesh,Mahoba,Mahoba,Date of Submission for TOR: ,Date of Submission for EC: 21 Feb 2022 ,Non-Coal Mining,SMT USHA VAJPAYEE,WithdrawEC
SIA/UP/MIN/30360/2018,4610,Uttar Pradesh,Sambhal,No Data,Date of Submission for EC: 24 Dec 2018 ,Date of Ec Granted : 12 Dec 2019,Non-Coal Mining,DILLIPUR SAND MINING PROJECT,EC Granted - Processed offline
SIA/UP/MIN/28461/2018,4424,Uttar Pradesh,Banda,Banda,Date of Submission for EC: 18 Jan 2019 ,Date of Ec Granted : 09 Mar 2019,Non-Coal Mining,M/S JAI SHAKTI REALCON PRIVATE LIMITED,EC Granted
SIA/UP/NCP/73592/2018,4148,Uttar Pradesh,Kanpur Nagar,Kanpur,Date of Submission for EC: 22 Mar 2018 ,Date of Ec Granted : 14 Sep 2018,INFRA-1,KANPUR DEVELOPMENT AUTHORITY,EC Granted
SIA/UP/MIN/194574/2021,6181,Uttar Pradesh,Jhansi,Garautha,Date of Submission for EC: 09 Feb 2021 ,Date of Ec Granted : 22 Nov 2021,Non-Coal Mining,SHRI HARPAL SINGH,EC Granted
SIA/UP/MIN/67701/2020,6582-6053,Uttar Pradesh,Jhansi,Garautha,Date of Submission for EC: 20 Sep 2021 ,Date of Ec Granted : 07 May 2022,Non-Coal Mining,M/S SAKSHAM CONTRACTOR AND SUPPLIER,EC Granted
SIA/UP/MIS/109070/2019,4898,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,Date of Submission for EC: 25 Jun 2019 ,Date of Ec Granted : 29 May 2020,INFRA-2,M/S VALUENT INFRADEVELOPERS PVT. LTD.,EC Granted
