Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
SIA/HR/MIS/69919/2021,SEIAA/HR/2021/460,Haryana,Gurgaon,Gurgaon,Date of Submission for EC: 09 Dec 2021 ,Date of Ec Granted : 13 Jun 2022,INFRA-2,M/S NA BUILDWELL PVT. LTD. C/O M/S RAHEJA DEVELOPERS PVT. LTD. AND M/S SAAN PROCON PVT. LTD,EC Granted
SIA/HR/NCP/69351/2017,SEIAA/HR/17/355 dated 13.10.2017. please submit th,Haryana,Gurgaon,Gurgaon,Date of Submission for EC: 12 Oct 2017 ,Date of Ec Granted : 13 Feb 2018,INFRA-1,EMBASSY INDUSTRIAL PARKS PVT LTD,EC Granted - Processed offline
SIA/HR/MIS/97691/2019,"SEIAA/HR/19/127

Hard copy to be submitted",Haryana,Gurgaon,Gurgaon,Date of Submission for TOR: ,Date of Submission for EC: 14 May 2019 ,INFRA-2,AGRANTE REALTY LTD,Delisted
SIA/HR/MIS/34124/2011,,Haryana,Gurgaon,Gurgaon,Date of Submission for EC: 09 May 2019 ,Date of Ec Granted : 04 Jun 2020,INFRA-2,NAYATI HEALTHCARE AND RESEARCH NCR PVT.LTD.,EC Granted - Processed offline
SIA/HR/NCP/58855/2016,"File No- SEIAA/HR/16/294
Dated-27/09/2016",Haryana,Gurgaon,Gurgaon,Date of Submission for EC: 21 Sep 2016 ,Date of Ec Granted : 09 Jan 2018,INFRA-1,DHARAM PAL AND OTHERS,EC Granted
SIA/HR/MIS/51565/2019,SEIAA/HR/19/159 Terms of references were approved ,Haryana,Faridabad,Faridabad,Date of Submission for EC: 26 Feb 2020 ,Date of Ec Granted : 09 Feb 2021,INFRA-2,ADORE REALTECH PVT. LTD.,EC Granted
SIA/HR/MIS/129963/2019,SEIAA/HR/2022/123,Haryana,Gurgaon,Gurgaon,Date of Submission for EC: 14 Mar 2022 ,Date of Ec Granted : 01 Apr 2022,INFRA-2,"GURUGRAM METROPOLITAN DEVELOPMENT AUTHORITY, GMDA",EC Granted
SIA/HR/NCP/18464/2016,SEIAA/HR/16/285  dated 10.08.2016,Haryana,Gurgaon,Manesar,Date of Submission for EC: 07 Feb 2017 ,Date of Ec Granted : 31 Jul 2017,INFRA-1,BASIC DEVELEOPRS PVT LTD,EC Granted
SIA/HR/MIS/116686/2019,SEIAA/HR/19/200 hard copy to be submit,Haryana,Jhajjar,Jhajjar,Date of Submission for EC: 03 Sep 2019 ,Date of Ec Granted : 03 Feb 2020,INFRA-2,LI INDUSTRIAL PARKS PRIVATE LIMITED,EC Granted - Processed offline
SIA/HR/NCP/75176/2018,SEIAA/HR/18/ 420 dated 04.06.2018. Please submit t,Haryana,Faridabad,Faridabad,Date of Submission for EC: 28 May 2018 ,Date of Ec Granted : 09 Aug 2018,INFRA-1,ZION PROMOTERS AND DEVELOPERS PVT. LTD.,EC Granted - Processed offline
SIA/HR/MIS/171890/2020,SEIAA/HR/2020/315 hard c opy to be submitted,Haryana,Jhajjar,Jhajjar,Date of Submission for EC: 10 Feb 2021 ,Date of Ec Granted : 13 Jul 2021,INFRA-2,INDOSPACE LUHARI 3E PVT. LTD.,EC Granted
SIA/HR/NCP/94726/2019,"SEIAA/HR/19/42

Hard copy to be submitted",Haryana,Gurgaon,Gurgaon,Date of Submission for EC: 07 Feb 2019 ,Date of Ec Granted : 16 Jul 2019,INFRA-1,M/S NEXUS INFRACON PVT. LTD.,EC Granted
SIA/HR/NCP/30286/2015,,Haryana,Gurgaon,Sohna,Date of Submission for TOR: ,Date of Submission for EC: 22 Aug 2015 ,INFRA-1,AAR HOUSING PVT LTD,Delisted
SIA/HR/MIN/422237/2023,SEIAA/HR/2022/261,Haryana,,,Date of Submission for TOR: ,Date of Submission for EC: 17 Mar 2023 ,Non-Coal Mining,KARTIK RATHI,Agenda Uploaded by SEAC
SIA/HR/INFRA2/403125/2022,,Haryana,Gurgaon,,Date of Submission for TOR: ,Date of Submission for EC: 14 Oct 2022 ,INFRA-2, INTERPRESS PUBLISHERS PRIVATE LIMITED,WithdrawEC
SIA/HR/NCP/31955/2015,,Haryana,Panipat,Panipat,Date of Submission for TOR: ,Date of Submission for EC: 28 Jun 2017 ,INFRA-1,M/S TDI REALCON PVT. LTD.,Delisted
SIA/HR/MIS/184580/2020,SEIAA/HR/2020/344 hard copy to be submitted,Haryana,Panipat,Panipat,Date of Submission for EC: 23 Nov 2020 ,Date of Ec Granted : 26 Apr 2021,INFRA-2,M/S HERMAN PROPERTIES PVT. LTD.,EC Granted
SIA/HR/MIS/129639/2019,SEIAA/HR/19/232,Haryana,Gurgaon,Gurgaon,Date of Submission for EC: 05 Dec 2019 ,Date of Ec Granted : 24 Jun 2020,INFRA-2,AMERICAN EXPRESS (INDIA) PRIVATE LIMITED,EC Granted - Processed offline
SIA/HR/NCP/70918/2017,SEIAA/HR/17/362 dated 14.11.2017,Haryana,Gurgaon,Gurgaon,Date of Submission for EC: 13 Nov 2017 ,Date of Ec Granted : 18 May 2017,INFRA-1,M/S FOREVER BUILDTECH PRIVATE LIMITED,EC Granted - Processed offline
SIA/HR/MIS/34106/2011,SEIAA/HR/19/149 hard copy to be submitted,Haryana,Gurgaon,Gurgaon,Date of Submission for EC: 13 May 2019 ,Date of Ec Granted : 04 Jun 2010,INFRA-2,NAYATI HEALTHCARE AND RESEARCH NCR PVT.LTD.,EC Granted
SIA/HR/MIS/252271/2022,SEIAA/HR/2022/121,Haryana,Gurgaon,Gurgaon,Date of Submission for EC: 07 Feb 2022 ,Date of Ec Granted : 13 Jun 2022,INFRA-2, NEWZONE BUILDWELL PRIVATE LIMITED,EC Granted
SIA/HR/MIS/100427/2019,SEIAA/HR/19/160 hard copy to be submitted,Haryana,Faridabad,Faridabad,Date of Submission for EC: 07 Jun 2019 ,Date of Ec Granted : 13 Feb 2020,INFRA-2,STANDARD BRANDS LIMITED,EC Granted - Processed offline
SIA/HR/NCP/11304/2015,File no. SEIAA/HR/15/238 dated 16.11.2015. The EIA,Haryana,Gurgaon,Gurgaon,Date of Submission for EC: 01 May 2016 ,Date of Ec Granted : 14 Sep 2016,INFRA-1,VIPUL LIMITED,EC Granted
SIA/HR/MIN/11785/2015,File no. SEIAA/HR/MIN/15/126 dated 20.11.2015. The,Haryana,Yamunanagar,Chhachhrauli,Date of Submission for EC: 16 May 2016 ,Date of Ec Granted : 13 Oct 2016,Non-Coal Mining,KARAJ SINGH,EC Granted
SIA/HR/MIS/112758/2019,SEIAA/HR/19/188,Haryana,Jhajjar,Jhajjar,Date of Submission for EC: 30 Jul 2019 ,Date of Ec Granted : ,INFRA-2,ALL CARGO MULTIMODEL PVT LTD,EC Granted
SIA/HR/MIS/218777/2021,File No. SEIAA/HR/2021/450 has been assigned. Hard,Haryana,Gurgaon,Gurgaon,Date of Submission for EC: 12 Aug 2021 ,Date of Ec Granted : 29 Nov 2021,INFRA-2,AMERICAN EXPRESS (INDIA) PRIVATE LIMITED,EC Granted
SIA/HR/NCP/10803/2015,file no. SEIAA/HR/15/179 dated 31.08.2015.,Haryana,Rewari,Rewari,Date of Submission for TOR: ,Date of Submission for EC: 21 Mar 2016 ,INFRA-1,DWARKADHIS BUILDWELL PVT LTD,Delisted
