,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
249,SIA/CG/MIN/415905/2023,OL/EC/MIN/SUKMA/2293,Chhattisgarh,,,Date of Submission for EC: 27 Jan 2023 ,Date of Ec Granted : 06 Jun 2023,Non-Coal Mining,SIVA DHARMA TEJA YADLAPALLI,EC Granted
250,SIA/CG/MIN/62857/2020,OL/EC/MIN/GARIABAND/984,Chhattisgarh,Gariaband,Rajim,Date of Submission for EC: 07 May 2021 ,Date of Ec Granted : 28 Jun 2021,Non-Coal Mining,SAMIR YADU,EC Granted
251,SIA/CG/MIN/179586/2020,OL/EC/MIN/SURAJPUR/1427,Chhattisgarh,Surajpur,Surajpur,Date of Submission for TOR: ,Date of Submission for EC: 20 Oct 2020 ,Non-Coal Mining,KHAIRA STONE QUARRY,Under examination of SEIAA after SEAC
252,SIA/CG/IND/211530/2021,OL/EC/IND/RAIPUR/1650,Chhattisgarh,Raipur,Raipur,Date of Submission for EC: 13 May 2021 ,Date of Ec Granted : 18 May 2022,Industrial Projects - 1,RAMA UDYOG PRIVATE LIMITED,EC Granted
253,SIA/CG/MIN/149490/2020,OL/EC/MIN/J_CHAMPA/1268,Chhattisgarh,Janjgir - Champa,Dabhara,Date of Submission for EC: 17 Mar 2020 ,Date of Ec Granted : 15 Jun 2020,Non-Coal Mining,KHURGHATTI SAND MINE OF SUNIL KUMAR CHANDRA,EC Granted
254,SIA/CG/IND/74353/2018,,Chhattisgarh,Raipur,Raipur,Date of Submission for TOR: ,Date of Submission for EC: 12 Apr 2018 ,Industrial Projects - 1,PANKAJ ISPAT LIMITED,Delisted
255,SIA/CG/MIN/257610/2022,OL/EC/MIN/RAIGARH/1941,Chhattisgarh,Raigarh,Kharsia,Date of Submission for TOR: ,Date of Submission for EC: 21 Feb 2022 ,Non-Coal Mining,DERADIH SAND MINE,For further consideration(SEAC)
256,SIA/CG/MIN/416899/2023,OL/EC/MIN/BEMETARA/2324,Chhattisgarh,,,Date of Submission for TOR: ,Date of Submission for EC: 03 Mar 2023 ,Non-Coal Mining,FALESH SAHU,Agenda Uploaded by SEAC
257,SIA/CG/MIN/175743/2020,OL/EC/MIN/BALRAMPUR/1409,Chhattisgarh,Balrampur,ramanujganj,Date of Submission for EC: 27 Sep 2020 ,Date of Ec Granted : 28 Dec 2020,Non-Coal Mining,TALKESHWARPUR SAND MINE OF RAMESH PATEL,EC Granted
258,SIA/CG/MIN/147920/2020,OL/EC/MIN/RAJNANDGAON/1247,Chhattisgarh,Rajnandgaon,Rajnandgaon,Date of Submission for EC: 20 Mar 2020 ,Date of Ec Granted : 04 Feb 2021,Non-Coal Mining,ARCHANA DAS LIMESTONE QUARRY,EC Granted
