"","District","Tehsil","N","District_Tehsil","Matched_distance","district_tehsil_matched","pc11_district_id","pc11_sd_id"
"2433","Murshidabad","Suti - I",1,"murshidabad suti - i",2,"murshidabad suti-i",333,"02225"
"2434","Muzaffarnagar","Budhana",1,"muzaffarnagar budhana",0,"muzaffarnagar budhana",133,"00709"
"2435","Muzaffarnagar","Jansath",4,"muzaffarnagar jansath",0,"muzaffarnagar jansath",133,"00711"
"2436","Muzaffarnagar","Khatauli",1,"muzaffarnagar khatauli",0,"muzaffarnagar khatauli",133,"00710"
"2437","Muzaffarnagar","Muzaffarnagar",12,"muzaffarnagar muzaffarnagar",0,"muzaffarnagar muzaffarnagar",133,"00708"
"2438","Muzaffarpur","Aurai",6,"muzaffarpur aurai",0,"muzaffarpur aurai",216,"01207"
"2439","Muzaffarpur","Bandra",1,"muzaffarpur bandra",0,"muzaffarpur bandra",216,"01210"
"2440","Muzaffarpur","Bochaha",2,"muzaffarpur bochaha",0,"muzaffarpur bochaha",216,"01206"
"2441","Muzaffarpur","Kanti",1,"muzaffarpur kanti",0,"muzaffarpur kanti",216,"01204"
"2442","Muzaffarpur","Katra",1,"muzaffarpur katra",0,"muzaffarpur katra",216,"01208"
"2443","Muzaffarpur","Kurhani",1,"muzaffarpur kurhani",0,"muzaffarpur kurhani",216,"01213"
"2444","Muzaffarpur","Musahari",4,"muzaffarpur musahari",1,"muzaffarpur musahri",216,"01212"
"2445","Mysore","Heggadadevanakote",4,"mysore heggadadevanakote",1,"mysore heggadadevankote",577,"05573"
"2446","Mysore","Hunsur",2,"mysore hunsur",0,"mysore hunsur",577,"05570"
"2447","Mysore","Krishnarajanagara",10,"mysore krishnarajanagara",0,"mysore krishnarajanagara",577,"05571"
"2448","Mysore","Mysore",25,"mysore mysore",0,"mysore mysore",577,"05572"
"2449","Mysore","Nanjanagud",11,"mysore nanjanagud",1,"mysore nanjangud",577,"05574"
"2450","Mysore","Piriyapatna",11,"mysore piriyapatna",0,"mysore piriyapatna",577,"05569"
"2451","Mysore","T.Narasipura",1,"mysore t.narasipura",10,"mysore hunsur",577,"05570"
"2452","NARAYANPET","Dhanwada",1,"narayanpet dhanwada",12,"nawada nawada",237,"01512"
