"","state_name","pc11_state_id","district_name","pc11_district_id"
"279","kerala",32,"thiruvananthapuram",601
"280","kerala",32,"thrissur",594
"281","kerala",32,"wayanad",590
"282","lakshadweep",31,"lakshadweep",587
"283","madhya pradesh",23,"alirajpur",465
"284","madhya pradesh",23,"anuppur",461
"285","madhya pradesh",23,"ashoknagar",459
"286","madhya pradesh",23,"balaghat",457
"287","madhya pradesh",23,"barwani",441
"288","madhya pradesh",23,"betul",447
"289","madhya pradesh",23,"bhind",420
"290","madhya pradesh",23,"bhopal",444
"291","madhya pradesh",23,"burhanpur",467
"292","madhya pradesh",23,"chhatarpur",425
"293","madhya pradesh",23,"chhindwara",455
"294","madhya pradesh",23,"damoh",428
"295","madhya pradesh",23,"datia",422
"296","madhya pradesh",23,"dewas",437
"297","madhya pradesh",23,"dhar",438
"298","madhya pradesh",23,"dindori",453
"299","madhya pradesh",23,"east nimar",466
"300","madhya pradesh",23,"guna",458
"301","madhya pradesh",23,"gwalior",421
"302","madhya pradesh",23,"harda",448
"303","madhya pradesh",23,"hoshangabad",449
"304","madhya pradesh",23,"indore",439
"305","madhya pradesh",23,"jabalpur",451
"306","madhya pradesh",23,"jhabua",464
"307","madhya pradesh",23,"katni",450
"308","madhya pradesh",23,"mandla",454
"309","madhya pradesh",23,"mandsaur",433
"310","madhya pradesh",23,"morena",419
"311","madhya pradesh",23,"narsimhapur",452
"312","madhya pradesh",23,"neemuch",432
"313","madhya pradesh",23,"panna",426
"314","madhya pradesh",23,"raisen",446
"315","madhya pradesh",23,"rajgarh",442
"316","madhya pradesh",23,"ratlam",434
"317","madhya pradesh",23,"rewa",430
"318","madhya pradesh",23,"sagar",427
"319","madhya pradesh",23,"satna",429
"320","madhya pradesh",23,"sehore",445
"321","madhya pradesh",23,"seoni",456
"322","madhya pradesh",23,"shahdol",460
"323","madhya pradesh",23,"shajapur",436
"324","madhya pradesh",23,"sheopur",418
"325","madhya pradesh",23,"shivpuri",423
"326","madhya pradesh",23,"sidhi",462
"327","madhya pradesh",23,"singrauli",463
"328","madhya pradesh",23,"tikamgarh",424
"329","madhya pradesh",23,"ujjain",435
"330","madhya pradesh",23,"umaria",431
"331","madhya pradesh",23,"vidisha",443
"332","madhya pradesh",23,"west nimar",440
"333","maharashtra",27,"ahmadnagar",522
"334","maharashtra",27,"akola",501
"335","maharashtra",27,"amravati",503
"336","maharashtra",27,"aurangabad",515
"337","maharashtra",27,"bhandara",506
"338","maharashtra",27,"bid",523
"339","maharashtra",27,"buldana",500
"340","maharashtra",27,"chandrapur",509
"341","maharashtra",27,"dhule",498
"342","maharashtra",27,"gadchiroli",508
"343","maharashtra",27,"gondiya",507
"344","maharashtra",27,"hingoli",512
"345","maharashtra",27,"jalgaon",499
"346","maharashtra",27,"jalna",514
"347","maharashtra",27,"kolhapur",530
"348","maharashtra",27,"latur",524
"349","maharashtra",27,"mumbai suburban",518
"350","maharashtra",27,"nagpur",505
"351","maharashtra",27,"nanded",511
"352","maharashtra",27,"nandurbar",497
"353","maharashtra",27,"nashik",516
"354","maharashtra",27,"osmanabad",525
"355","maharashtra",27,"parbhani",513
"356","maharashtra",27,"pune",521
"357","maharashtra",27,"raigarh",520
"358","maharashtra",27,"ratnagiri",528
"359","maharashtra",27,"sangli",531
"360","maharashtra",27,"satara",527
"361","maharashtra",27,"sindhudurg",529
"362","maharashtra",27,"solapur",526
"363","maharashtra",27,"thane",517
"364","maharashtra",27,"wardha",504
"365","maharashtra",27,"washim",502
"366","maharashtra",27,"yavatmal",510
"367","manipur",14,"bishnupur",275
"368","manipur",14,"chandel",280
"369","manipur",14,"churachandpur",274
"370","manipur",14,"imphal east",278
"371","manipur",14,"imphal west",277
"372","manipur",14,"senapati",272
"373","manipur",14,"tamenglong",273
"374","manipur",14,"thoubal",276
"375","manipur",14,"ukhrul",279
"376","meghalaya",17,"east garo hills",294
"377","meghalaya",17,"east khasi hills",298
"378","meghalaya",17,"jaintia hills",299
"379","meghalaya",17,"ribhoi",297
"380","meghalaya",17,"south garo hills",295
"381","meghalaya",17,"west garo hills",293
"382","meghalaya",17,"west garo hills",295
"383","meghalaya",17,"west khasi hills",296
"384","mizoram",15,"aizawl",283
"385","mizoram",15,"champhai",284
"386","mizoram",15,"kolasib",282
"387","mizoram",15,"lawngtlai",287
"388","mizoram",15,"lunglei",286
"389","mizoram",15,"mamit",281
"390","mizoram",15,"saiha",288
"391","mizoram",15,"serchhip",285
"392","nagaland",13,"dimapur",265
"393","nagaland",13,"kiphire",269
"394","nagaland",13,"kohima",270
