,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
3634,SIA/JH/MIN/61304/2016,EC/SEIAA/2016-17/1992/2017,Jharkhand,Sahibganj,Taljhari,Date of Submission for EC: 10 Jan 2017 ,Date of Ec Granted : 07 Feb 2019,Non-Coal Mining,MS MAA JAGDAMBA STONE WORKS,EC Granted
3635,SIA/JH/MIN/238394/2021,EC/SEIAA/2021-22/2484/2021,Jharkhand,East Singhbhum,No Data,Date of Submission for EC: 24 Feb 2022 ,Date of Ec Granted : 21 Apr 2022,Non-Coal Mining,M/S ANIL  BRICKS,EC Granted
3636,SIA/JH/MIN/38580/2019,EC/SEIAA/2018-19/2144/2018,Jharkhand,Giridih,Dumri,Date of Submission for EC: 18 Jul 2019 ,Date of Ec Granted : 23 Sep 2019,Non-Coal Mining,SRI AJAY KUMAR AGRAWAL,EC Granted
3637,SIA/JH/IND/66215/2018,EC/SEIAA/2017-18/2066/2017,Jharkhand,Giridih,Giridih,Date of Submission for EC: 02 Mar 2022 ,Date of Ec Granted : 04 Nov 2022,Industrial Projects - 1,SALUJASTEELANDPOWERPVTLTD,EC Granted
3638,SIA/JH/MIN/259957/2022,EC/SEIAA/2021-22/2559/2022,Jharkhand,Chatra,Gidhaur,Date of Submission for EC: 05 May 2022 ,Date of Ec Granted : 28 Jun 2022,Non-Coal Mining,ICHAK STONE MINE OF M/S RAJSHREE CONSTRUCTION,EC Granted
3639,SIA/JH/MIN/413617/2023,EC/SEIAA/2022-23/2723/2023,Jharkhand,,,Date of Submission for TOR: ,Date of Submission for EC: 07 Jan 2023 ,Non-Coal Mining,MUKESH KUMAR,Accepted by SEIAA and forwarded to SEAC
3640,SIA/JH/MIN/38282/2019,EC/SEIAA/2018-19/2165/2019,Jharkhand,Giridih,Gande,Date of Submission for EC: 02 Aug 2019 ,Date of Ec Granted : 09 Oct 2019,Non-Coal Mining,KARMATAND STONE DEPOSIT,EC Granted
3641,SIA/JH/MIN/32688/2015,EC/SEIAA/2015-16/1613/2015,Jharkhand,Sahibganj,Mandro,Date of Submission for EC: 09 Nov 2015 ,Date of Ec Granted : 07 Feb 2019,Non-Coal Mining,MS CRYSTAL CONSULTANTS,EC Granted
3642,SIA/JH/MIN/62233/2017,EC/SEIAA/2016-17/2002/2017,Jharkhand,Palamu,Padwa,Date of Submission for EC: 03 Mar 2017 ,Date of Ec Granted : 28 Aug 2017,Non-Coal Mining,MS MAA GURU CONSTRUCTION,EC Granted
3643,SIA/JH/MIS/191344/2021,EC/SEIAA/2020-21/2308/2021,Jharkhand,Seraikela Kharsawan,Gamharia,Date of Submission for EC: 30 Jan 2021 ,Date of Ec Granted : 08 Jun 2021,INFRA-2,SAMAY CONSTRUCTION PRIVATE LIMITED,EC Granted
3644,SIA/JH/MIS/288263/2022,EC/SEIAA/2022-23/2574/2022,Jharkhand,Ranchi,Kanke,Date of Submission for EC: 28 Sep 2022 ,Date of Ec Granted : 02 Mar 2023,INFRA-2,M/S EASTERN ESTATES  CONSTRUCTION AND DEVELOPERS PVT LTD,EC Granted
3645,SIA/JH/MIN/288336/2022,EC/SEIAA/2022-23/2634/2022,Jharkhand,Seraikela Kharsawan,Kharsawan,Date of Submission for EC: 17 Aug 2022 ,Date of Ec Granted : 09 Sep 2022,Non-Coal Mining,SITA MAHATO,EC Granted
3646,SIA/JH/IND1/412634/2022,EC/SEIAA/2022-23/2480/2023,Jharkhand,,,Date of Submission for EC: 06 Jan 2023 ,Date of Ec Granted : 08 Feb 2023,Industrial Projects - 1,THE TINPLATE COMPANY OF INDIA LIMITED,EC Granted
3647,SIA/JH/MIN/413592/2023,EC/SEIAA/2022-23/2713/2023,Jharkhand,,,Date of Submission for EC: 17 Jan 2023 ,Date of Ec Granted : 08 Feb 2023,Non-Coal Mining,ATTAULLAH ANSARI,EC Granted
3648,SIA/JH/MIN/62311/2017,,Jharkhand,Jamtara,Jamtara,Date of Submission for TOR: ,Date of Submission for EC: 06 Feb 2017 ,Non-Coal Mining,APEX MINITECH CONSULTANTS,Delisted
3649,SIA/JH/MIN/183452/2020,,Jharkhand,Dhanbad,Gobindpur,Date of Submission for TOR: ,Date of Submission for EC: 14 Nov 2020 ,Non-Coal Mining,M/S ASIT KUMAR MANDAL STONE MINE,Delisted
3650,SIA/JH/MIN/271266/2022,EC/SEIAA/2022-23/2589/2022,Jharkhand,Sahibganj,Pathna,Date of Submission for EC: 13 May 2022 ,Date of Ec Granted : 08 Feb 2023,Non-Coal Mining,BHAGWAN BHAGAT,EC Granted
3651,SIA/JH/MIN/63927/2017,EC/SEIAA/2016-17/2025/2017,Jharkhand,Jamtara,Jamtara,Date of Submission for EC: 10 Aug 2017 ,Date of Ec Granted : 05 Jun 2018,Non-Coal Mining,OVERSEAS MIN TECH CONSULTANTS,EC Granted
3652,SIA/JH/INFRA2/413914/2023,,Jharkhand,,,Date of Submission for TOR: ,Date of Submission for EC: 15 Feb 2023 ,INFRA-2,Public Works Department,Accepted by SEIAA and forwarded to SEAC
