,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
4237,SIA/KA/RIV/2311/2015,SEIAA 1176 MIN 2015,Karnataka,Raichur,Devadurga,Date of Submission for EC: 19 Sep 2015 ,Date of Ec Granted : 24 Nov 2015,River Valley and Hydroelectric Projects,SIKANDAR BASHA,EC Granted
4238,SIA/KA/MIN/1993/2015,SEIAA 1118 MIN 2015,Karnataka,kalaburagi,Chincholi,Date of Submission for EC: 10 Sep 2015 ,Date of Ec Granted : 01 Dec 2015,Non-Coal Mining,SYED RIYAZ,EC Granted
4239,SIA/KA/MIS/177540/2020,SEIAA 131 CON 2020,Karnataka,Bangalore Urban,Bangalore South,Date of Submission for EC: 05 Oct 2020 ,Date of Ec Granted : 06 Apr 2021,INFRA-2,SLN CHARITIES,EC Granted - Processed offline
4240,SIA/KA/MIN/32911/2019,SEIAA 208 MIN 2019,Karnataka,Kolar,Kolar,Date of Submission for EC: 13 Mar 2019 ,Date of Ec Granted : 23 Jul 2019,Non-Coal Mining,M/S ANJANEYA QUARRY WORKS,EC Granted
4241,SIA/KA/MIN/35272/2019,SEIAA 369 MIN 2019,,,,Date of Submission for EC: 25 Apr 2019 ,Date of Ec Granted : 13 Jul 2019,Non-Coal Mining,SRI. R NAVEEN KUMAR,EC Granted
4242,SIA/KA/MIN/32077/2019,SEIAA 173 MIN 2019,Karnataka,Dharwad,Hubli,Date of Submission for EC: 28 Feb 2019 ,Date of Ec Granted : 13 Jun 2019,Non-Coal Mining,SRI SHIVANAND S ULLAGADDI,EC Granted
4243,SIA/KA/NCP/53769/2016,,Karnataka,Dharwad,Hubli,Date of Submission for TOR: ,Date of Submission for EC: 14 May 2016 ,INFRA-1,AKSHAY MALL,Delisted
4244,SIA/KA/MIN/136428/2020,SEIAA 34 MIN 2020,Karnataka,Mandya,Nagamangala,Date of Submission for EC: 11 Jan 2020 ,Date of Ec Granted : 16 Apr 2021,Non-Coal Mining,M/S. SRI SWAMY  AYYAPPA STONE CRUSHERS,EC Granted - Processed offline
4245,SIA/KA/MIN/136709/2020,SEIAA 42 MIN 2020,Karnataka,Bagalkot,Badami,Date of Submission for EC: 13 Jan 2020 ,Date of Ec Granted : 22 Jun 2020,Non-Coal Mining,RAMANAGOUDA L GOUDAR,EC Granted - Processed offline
4246,SIA/KA/MIN/167270/2020,SEIAA 294 MIN 2020,Karnataka,Belgaum,Khanapur,Date of Submission for EC: 11 Aug 2020 ,Date of Ec Granted : 04 Sep 2020,Non-Coal Mining,BHANDARAGALI GREY GRANITE QUARRY OF ALTAF HUSAINSAB,EC Granted - Processed offline
