,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
2784,SIA/RJ/MIN/48888/2016,,Rajasthan,Jodhpur,Jodhpur,Date of Submission for TOR: ,Date of Submission for EC: 10 Feb 2016 ,Non-Coal Mining,UDAIPUR MIN TECH  PVT  LTD,Under examination of SEIAA - Processed offline
2785,SIA/RJ/MIN/48937/2016,,Rajasthan,Jodhpur,Jodhpur,Date of Submission for TOR: ,Date of Submission for EC: 11 Feb 2016 ,Non-Coal Mining,UDAIPUR MIN TECH  PVT  LTD,Under examination of SEIAA - Processed offline
2786,SIA/RJ/MIN/134887/2020,13377,Rajasthan,Rajsamand,Rajsamand,Date of Submission for EC: 03 Jan 2020 ,Date of Ec Granted : 19 Jan 2021,Non-Coal Mining,M/S PARAGON MARMO,EC Granted - Processed offline
2787,SIA/RJ/MIN/223456/2021,15698,Rajasthan,Ajmer,Kekri,Date of Submission for TOR: ,Date of Submission for EC: 11 Aug 2021 ,Non-Coal Mining,M/S KRISHNA MINING STONE,Delisted
2788,SIA/RJ/MIN/48580/2016,,Rajasthan,Jodhpur,Jodhpur,Date of Submission for TOR: ,Date of Submission for EC: 09 Feb 2016 ,Non-Coal Mining,UDAIPUR MIN TECH  PVT  LTD,Under examination of SEIAA - Processed offline
2789,SIA/RJ/MIN/48604/2016,,Rajasthan,Jodhpur,Jodhpur,Date of Submission for TOR: ,Date of Submission for EC: 09 Feb 2016 ,Non-Coal Mining,UDAIPUR MIN TECH  PVT  LTD,Under examination of SEIAA - Processed offline
2790,SIA/RJ/MIN/44649/2019,12764,Rajasthan,Pali,Rohat,Date of Submission for EC: 12 Oct 2019 ,Date of Ec Granted : 02 Dec 2019,Non-Coal Mining,HEMA RAM PATEL,EC Granted - Processed offline
2791,SIA/RJ/MIN/44696/2019,12953,Rajasthan,Nagaur,Parbatsar,Date of Submission for EC: 06 Nov 2019 ,Date of Ec Granted : 10 Nov 2020,Non-Coal Mining,SMT. HEMA CHOUDHARY,EC Granted - Processed offline
2792,SIA/RJ/MIN/44933/2019,12836,Rajasthan,Bhilwara,Mandal,Date of Submission for EC: 22 Oct 2019 ,Date of Ec Granted : 06 Oct 2020,Non-Coal Mining,D N MINES & MINERALS,EC Granted - Processed offline
2793,SIA/RJ/MIN/40143/2016,,Rajasthan,Ajmer,Sarwar,Date of Submission for TOR: ,Date of Submission for EC: 12 Jan 2016 ,Non-Coal Mining,MS SHREE MATHURADHISH MINERALS,TransferToDEIAA
2794,SIA/RJ/MIN/40165/2016,,Rajasthan,Barmer,Pachpadra,Date of Submission for TOR: ,Date of Submission for EC: 12 Jan 2016 ,Non-Coal Mining,UDR MINTECH,Under examination of SEIAA - Processed offline
2795,SIA/RJ/MIN/40178/2016,,Rajasthan,Udaipur,Kotra,Date of Submission for TOR: ,Date of Submission for EC: 12 Jan 2016 ,Non-Coal Mining,REAL LIMESHELL PVT LTD,TransferToDEIAA
2796,SIA/RJ/MIN/40293/2016,,Rajasthan,Bharatpur,Nagar,Date of Submission for TOR: ,Date of Submission for EC: 12 Jan 2016 ,Non-Coal Mining,GIRIRAJ SINGH,Under examination of SEIAA - Processed offline
2797,SIA/RJ/MIN/40305/2016,,Rajasthan,Bharatpur,Weir,Date of Submission for TOR: ,Date of Submission for EC: 12 Jan 2016 ,Non-Coal Mining,MITTAL GRIT UDYOG,TransferToDEIAA
2798,SIA/RJ/MIN/40309/2016,,Rajasthan,chittorgarh,chittorgarh,Date of Submission for TOR: ,Date of Submission for EC: 12 Jan 2016 ,Non-Coal Mining,MR LAXMAN SINGH,Under examination of SEIAA - Processed offline
2799,SIA/RJ/MIN/40317/2016,,Rajasthan,Udaipur,Sarada,Date of Submission for TOR: ,Date of Submission for EC: 12 Jan 2016 ,Non-Coal Mining,MYNORES INDIA,Under examination of SEIAA - Processed offline
2800,SIA/RJ/MIN/39298/2019,12009,Rajasthan,Barmer,Pachpadra,Date of Submission for EC: 23 Jul 2019 ,Date of Ec Granted : 13 Sep 2019,Non-Coal Mining,SHRE ASHOK KUMAR,EC Granted - Processed offline
2801,SIA/RJ/MIN/39338/2019,11996,Rajasthan,Jodhpur,Luni,Date of Submission for EC: 20 Jul 2019 ,Date of Ec Granted : 06 Sep 2019,Non-Coal Mining,PHUSA RAM,EC Granted - Processed offline
