,Proposal,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
488,SIA/WB/INFRA2/423978/2023,EN/T-II-1/040/2018,"Residential Complex by Ajay Banerjee, Sanjay Banerjee, Malay Banerjee",West Bengal,,,Date of Submission for TOR: ,Date of Submission for EC: 30 Mar 2023 ,INFRA-2,AJAY BANERJEE,Agenda Uploaded by SEIAA
489,SIA/WB/MIN/422470/2023,EN/T-II-1/328/2023,RIVER BED SAND MINING (BLOCK ID – MIN_BNK_55C) ON DWARAKESWAR RIVER,West Bengal,,,Date of Submission for EC: 17 Mar 2023 ,Date of Ec Granted : 28 Apr 2023,Non-Coal Mining,WEST BENGAL MINERAL DEVELOPMENT AND TRADING CORPORATION LIMITED,EC Granted
490,SIA/WB/MIN/415405/2023,EN/T-II-1/172/2023,Ghoramara riverbed Sand Mine,West Bengal,,,Date of Submission for TOR: ,Date of Submission for EC: 23 Jan 2023 ,Non-Coal Mining,TORSA RIVER BED SAND MINE,Delisted
491,SIA/WB/NCP/53811/2016,EN/T-II-1/039/2016,Belle Vue Clinic-Eye Hospital Building and Nursing School & College Building,West Bengal,North 24 Parganas,Rajarhat,Date of Submission for TOR: ,Date of Submission for EC: 25 May 2016 ,INFRA-1,BELLE VUE CLINIC,Delisted
492,SIA/WB/NCP/70409/2017,EN/T-II-1/076/2017,Mercantile (Retail) cum Business Building - Building and Construction project,West Bengal,North 24 Parganas,Rajarhat,Date of Submission for TOR: ,Date of Submission for EC: 30 Oct 2017 ,INFRA-1,TOPSEL EXIM PRIVATE LIMITED,Delisted
493,SIA/WB/NCP/75755/2018,EN/T-II-1/074/2018,RESIDENTIAL COMPLEX BY SMART VANIJYA PRIVATE LIMITED,West Bengal,Darjeeling,Matigara,Date of Submission for TOR: ,Date of Submission for EC: 15 Sep 2018 ,INFRA-1,SMART VANIJYA PRIVATE LIMITED,WithdrawEC
494,SIA/WB/INFRA2/408662/2022,EN/T-II-1/078/2022,Residential Complex by Oswal Residential Buildings LLP,West Bengal,,,Date of Submission for EC: 03 Dec 2022 ,Date of Ec Granted : 27 Apr 2023,INFRA-2, OSWAL RESIDENTIAL BUILDINGS LLP,EC Granted
495,SIA/WB/INFRA2/402821/2022,EN/T-II-1/071/2022,DTC CAPITAL CITY,West Bengal,North 24 Parganas,,Date of Submission for TOR: ,Date of Submission for EC: 25 Nov 2022 ,INFRA-2,DTC PROJECTS PVT. LTD.,WithdrawEC
496,SIA/WB/MIN/59762/2016,,Mondala Bhatina Clay mines,Haryana,Bhiwani,Dadri,Date of Submission for TOR: ,Date of Submission for EC: 17 Oct 2016 ,Non-Coal Mining,BIRBHUM KAOLINE AND ALLIED INDUSTRIES P LTD,WithdrawEC
497,SIA/WB/IND/19480/2016,EN/T-II-1/048/2016,Installation of 2 X 20 MT Induction Furnaces with Ladle Refining Furnace and 100000 MTPA Rolling Mill,West Bengal,Barddhaman,Kanksa,Date of Submission for EC: 27 May 2017 ,Date of Ec Granted : 17 Aug 2017,Industrial Projects - 1,ALAKNANDA SPONGE IRON LTD,EC Granted
498,SIA/WB/NCP/75766/2018,EN/T-II-1/073/2018,Housing Complex-Building & Construction Project,West Bengal,South 24 Parganas,Sonarpur,Date of Submission for TOR: ,Date of Submission for EC: 31 Aug 2018 ,INFRA-1,HAPPY HOMES & HOTELS PVT. LTD.,WithdrawEC
499,SIA/WB/IND/23392/2017,EN/T-II-1/045/2017,Expansion of Cement Grinding Unit from 0.072 MTPA to 1.45 MTPA By upgrading/modifying Existing plant Technology & Facility and installing 1 x 1800 TPD + 1 X 200 TPD Ball Mill & 1 x 2000 TPD VRM,West Bengal,West Medinipur,No Data,Date of Submission for EC: 03 Apr 2018 ,Date of Ec Granted : 03 Oct 2018,Industrial Projects - 1,BANSAL CEMENT PRIVATE LIMITED,EC Granted
500,SIA/WB/MIN/426964/2023,EN/T-II-1/372/2023,Kashipur Sand Mine (MIN_PUR_10),West Bengal,,,Date of Submission for EC: 24 Apr 2023 ,Date of Ec Granted : 28 Jul 2023,Non-Coal Mining,WEST BENGAL MINERAL DEVELOPMENT AND TRADING CORPORATION LIMITED,EC Granted
501,SIA/WB/MIS/56361/2016,,Establishment of New Lighthouse at Tajpur,West Bengal,East Medinipur,Tamluk,Date of Submission for TOR: ,Date of Submission for EC: 21 Jun 2016 ,INFRA-2,DIRECTORATE OF LIGHT HOUSES AND LIGHTSHIPS KOLKATA,Delisted
502,SIA/WB/MIN/440454/2023,EN/T-II-1/492/2023,Paschim Dangapara Sand Mine (MIN_UD_12),West Bengal,,,Date of Submission for EC: 15 Aug 2023 ,Date of Ec Granted : 01 Dec 2023,Non-Coal Mining,WEST BENGAL MINERAL DEVELOPMENT AND TRADING CORPORATION LIMITED,EC Granted
