,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link,Timeline
3318,SIA/GJ/MIN/64895/2017,SIA/GJ/65507/2018,Sabarmati Majur Kamdar Sahkari Mandli Limited,Gujarat,Gandhinagar,Gandhinagar,Date of Submission for EC: 26 Jun 2018 ,Date of Ec Granted : 30 Oct 2018,Non-Coal Mining,SABARMATI MAJUR,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/MIN/64895/2017&pid=35353,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/64895/2017&type=EC&ID=35353
3319,SIA/GJ/IND2/151581/2020,SIA/GJ/49404/2020,M/s. SHREE MAHADEV INTERMEDIATE,Gujarat,Bharuch,Anklesvar,Date of Submission for EC: 12 May 2020 ,Date of Ec Granted : 15 Jul 2020,Industrial Projects - 2,SHREE MAHADEV INTERMEDIATE,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/IND2/151581/2020&pid=102324,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/151581/2020&type=EC&ID=102324
3320,SIA/GJ/MIN/48442/2016,,Visha Hari Gohil,Gujarat,kutch,Rapar,Date of Submission for TOR: ,Date of Submission for EC: 08 Feb 2016 ,Non-Coal Mining,ASIFRAYMA,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/MIN/48442/2016&pid=12274,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/48442/2016&type=EC&ID=12274
3321,SIA/GJ/MIN/42469/2016,,"Black Trap Mine, S.NO. 23 Paiki",Gujarat,Bharuch,Jhagadia,Date of Submission for TOR: ,Date of Submission for EC: 28 Jan 2016 ,Non-Coal Mining,TALATI MAKBULHUSHEN,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/MIN/42469/2016&pid=11211,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/42469/2016&type=EC&ID=11211
3322,SIA/GJ/MIN/42550/2016,,Building Lime Stone Mining from the lease of Odedara Vikrambhai Hajabhai and Odedara Popatbhai bachubhai ,Gujarat,Porbandar,Porbandar,Date of Submission for TOR: ,Date of Submission for EC: 28 Jan 2016 ,Non-Coal Mining,ODEDARA VIKRAMBHAI HAJABHAI AND ODEDARA POPATBHAI BACHUBHAI,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/MIN/42550/2016&pid=11287,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/42550/2016&type=EC&ID=11287
3323,SIA/GJ/MIN/42553/2016,,Building Lime Stone Mining from the lease of Punjabhai Ghelabhai Jadeja ,Gujarat,Porbandar,Porbandar,Date of Submission for TOR: ,Date of Submission for EC: 29 Jan 2016 ,Non-Coal Mining,PUNJABHAI GHELABHAI JADEJA,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/MIN/42553/2016&pid=11290,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/42553/2016&type=EC&ID=11290
3324,SIA/GJ/MIN/2770/2015,SIA/GJ/73810/2015,IKBALKHA NIVAZKHA KURESHI,Gujarat,CHHOTA UDAIPUR,Sankheda,Date of Submission for EC: 03 Oct 2015 ,Date of Ec Granted : 30 Jan 2016,Non-Coal Mining,IKBALKHA NIVAZKHA KURESHI,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/MIN/2770/2015&pid=13677,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/2770/2015&type=EC&ID=13677
3325,SIA/GJ/MIN/49869/2016,,Keshvala Bhayabhai Vinjabhai,Gujarat,Amreli,Babra,Date of Submission for TOR: ,Date of Submission for EC: 17 Feb 2016 ,Non-Coal Mining,KESHVALA BHAYABHAI VINJABHAI,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/MIN/49869/2016&pid=13750,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/49869/2016&type=EC&ID=13750
3326,SIA/GJ/NCP/54309/2016,SIA/GJ/72706/2016,Ganesh Parisar,Gujarat,Ahmedabad,Ahmedabad City,Date of Submission for EC: 02 Jun 2016 ,Date of Ec Granted : 29 Dec 2016,INFRA-1,SIDDHI INFRASTRUCTURE,EC Granted - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/NCP/54309/2016&pid=20599,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/54309/2016&type=EC&ID=20599
3327,SIA/GJ/IND2/174559/2020,SIA/GJ/157709/2020,M/s. Vraj Industries (Proposed API - Bulk Drugs & Its Intermediates Manufacturing Unit),Gujarat,Morbi,Morbi,Date of Submission for EC: 22 Sep 2020 ,Date of Ec Granted : 28 May 2021,Industrial Projects - 2,M/S. VRAJ INDUSTRIES,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/IND2/174559/2020&pid=131752,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/174559/2020&type=EC&ID=131752
3328,SIA/GJ/IND2/38454/2018,SIA/GJ/88407/2019,Ven Petrochem & Pharma India Pvt Ltd,Gujarat,Valsad,Umbergaon,Date of Submission for EC: 29 Aug 2019 ,Date of Ec Granted : 05 Dec 2019,Industrial Projects - 2,VEN PETROCHEM AND PHARMA INDIA PVT LTD,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/IND2/38454/2018&pid=57060,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/38454/2018&type=EC&ID=57060
3329,SIA/GJ/MIN/52787/2016,,Prahaladbhai Becharbhai Bhil (Block 20),Gujarat,Mahesana,Kheralu,Date of Submission for TOR: ,Date of Submission for EC: 12 Apr 2016 ,Non-Coal Mining,PRAHALADBHAI BECHARBHAI BHIL,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/MIN/52787/2016&pid=17330,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/52787/2016&type=EC&ID=17330
3330,SIA/GJ/IND2/20083/2017,SIA/GJ/114612/2018,-1,Gujarat,Ahmedabad,Daskroi,Date of Submission for EC: 20 Nov 2018 ,Date of Ec Granted : 26 Feb 2019,Industrial Projects - 2,BALAJI INDUSTRIES,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/IND2/20083/2017&pid=45734,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/20083/2017&type=EC&ID=45734
3331,SIA/GJ/MIN/50026/2016,,Ramesh Lakhman,Gujarat,Jamnagar,Jodiya,Date of Submission for TOR: ,Date of Submission for EC: 19 Feb 2016 ,Non-Coal Mining,RAMESH LAKHMAN,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/MIN/50026/2016&pid=13900,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/50026/2016&type=EC&ID=13900
3332,SIA/GJ/MIN/50651/2016,,Parimal S. Nayak,Gujarat,Navsari,Navsari,Date of Submission for TOR: ,Date of Submission for EC: 27 Feb 2016 ,Non-Coal Mining,PARIMAL S NAYAK,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/MIN/50651/2016&pid=14460,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/50651/2016&type=EC&ID=14460
3333,SIA/GJ/IND/220917/2021,,GERMAN TMX PRIVATE LIMITED,Gujarat,Ahmedabad,Viramgam,Date of Submission for TOR: ,Date of Submission for EC: 20 Jul 2021 ,Industrial Projects - 1,GERMAN TMX PRIVATE LIMITED,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/IND/220917/2021&pid=189419,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND/220917/2021&type=EC&ID=189419
3334,SIA/GJ/IND2/151109/2020,SIA/GJ/37604/2020,Proposed Expansion of Bulk Drug and Drug Intermediates Manufacturing in Existing plant,Gujarat,Bharuch,Anklesvar,Date of Submission for TOR: ,Date of Submission for EC: 08 Apr 2020 ,Industrial Projects - 2,DIN CHEMICAL,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/IND2/151109/2020&pid=102161,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/151109/2020&type=EC&ID=102161
3335,SIA/GJ/IND2/151124/2020,SIA/GJ/40804/2020,M/s. Alex Life Science,Gujarat,Bharuch,Anklesvar,Date of Submission for EC: 08 Apr 2020 ,Date of Ec Granted : 19 Jun 2020,Industrial Projects - 2,ALEX LIFE SCIENCE,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/IND2/151124/2020&pid=102164,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/151124/2020&type=EC&ID=102164
3336,SIA/GJ/MIS/160111/2020,SIA/GJ/81906/2020,D. S. BUILDERS & DEEPAK NIMBARK,Gujarat,Ahmedabad,Sanand,Date of Submission for EC: 05 Sep 2020 ,Date of Ec Granted : 05 Nov 2020,INFRA-2,D. S. BUILDERS & DEEPAK NIMBARK,EC Granted - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/MIS/160111/2020&pid=114285,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/160111/2020&type=EC&ID=114285
