,Unnamed: 0,X,Proposal.No.,File.No.,Project.Name,Company,Proposal.Status,Project.Type,View,Form_Type
7091,7092,5,SIA/MP/MIN/37217/2015,,"MOHRI STONE DEPOSIT
VILLAGE- MOHRI
TEHSIL- KOTMA
DISTRICT- ANNUPPUR
AREA- 4.640 HECTARE
KH.NO.- 89
PRODUCTION- 14250 CUM/YEAR
LESSEE- SHRI SUNIL SARAF
R/O KOTMA
DISTT- ANNUPPUR",CRUSHER STONE MINING,Delisted,EC,, 
7092,7093,6,SIA/MP/MIN/36259/2015,,Samnapur Kalan Metal Stone Quarry Of SMT. Mehjabi Khanam,MEHJABI KHANAM,Delisted,EC,, 
7093,7094,7,SIA/MP/MIN/36692/2015,,"Majhguwan Ahir Boulder Stone of Basalt Mine, Village - Majhguwan Ahir, Tehsil-Sagar & District - Sagar(M.P.) ,Area - 2.0  Hectare, Khasra No. 93, Applicant - Tulsiram Ahirwar",TULSIRAM AHIRWAR,Delisted,EC,, 
7094,7095,10,SIA/MP/MIN/421752/2023,9819/2023,Antraliya Stone & M-Sand Quarry,MKC INFRASTRUCTURE LIMITED,EC Granted,EC,, 
7095,7096,3,SIA/MP/MIN/34235/2015,,Malehara Granite Deposit Mine,GRANITE INDIA,TransferToDEIAA,EC,, 
7096,7097,4,SIA/MP/MIN/82283/2018,,Miragpur Manganese Mine 2.41 H.,NAMRATA UPADHYAY,Delisted,EC,, 
7097,7098,5,SIA/MP/MIN/33448/2015,,REHANKOT SAND MINING 4.000 HECT,DIGIANA INDUSTRIES PVT LTD,WithdrawEC,EC,, 
7098,7099,6,SIA/MP/MIN/38400/2016,,"Environmental Clearance for Amlipada Stone Quarry Deposit, pROPONENT Shri Surendra Singh Bhamra S/o Shri Jagir Singh, Resi. 67, New Road, Ratlam, Distt. Ratlam (MP)",MINING,Delisted,EC,, 
7099,7100,4,SIA/MP/MIN/436525/2023,,Jajpon Flag Stone Quarry of Shri Hitesh Kumar Jain,HITESH JAIN,Pending at PP due to eds,EC,, 
7100,7101,5,SIA/MP/MIN/94635/2019,,Shivrajpur Stone quarry,RAKESH KUSHWAHA,Delisted,EC,, 
7101,7102,6,SIA/MP/MIN/35117/2015,4988/2016,"Changera Basalt Stone Quarry
OF M/s Saraswati Stone Crusher
AT Khasra No. 369/1
Vill.-Changera, Tehsil-Naurozabad, District-
Umaria (M.P.)
Production Capacity: 15620 Cu.mt/year Basalt
Stone
Area – 1.380 Hectare",MS SARASWATI STONE CRUSHER PROPRIETOR MR RAJESH KUMAR JAIN,TransferToDEIAA,EC,, 
7102,7103,7,SIA/MP/MIN/423880/2023,8964/2022,“BHITRI STONE QUARRY” OF MR. VIRENDRA PRATAP SINGH,SHRI VIRENDRA PRATAP SINGH.,EC Granted,EC,, 
7103,7104,4,SIA/MP/MIN/94340/2019,5852/19,Crusher Stone Quarry Village Molga,AVENDRA SINGH,EC Granted,EC,, 
7104,7105,5,SIA/MP/MIN/433120/2023,10059/2023,BHAPSA NO. - 1 RIVER SAND MINE,SURENDRA NAMDEO,EC Granted,EC,, 
7105,7106,6,SIA/MP/MIN/452697/2023,,Barkhoh Ryt Crusher Stone Quarry of Arvind Kumar Vishwakarma,ARVIND VISHWAKARMA,Pending at PP due to eds,EC,, 
7106,7107,7,SIA/MP/MIN/35998/2015,,"Bichpura Stone Mine Area- 3.710 ha
(Deepak Kumar Mishra)",MINE LTD,Delisted,EC,, 
7107,7108,8,SIA/MP/MIN/38417/2016,,"The applicant M/S Tirath ram & Company  Resident of 15, Chhapnak Marg Madhav Nagar Ujjain Dist Ujjain  has sanctioned stone quarry lease on survey no. 30 of village Shankarpur  Tehsil Ujjain dist Ujjain over an area of 1.672 Hac needs EC",CK DOSHI,Delisted,EC,, 
7108,7109,4,SIA/MP/MIN/42967/2016,,"BARANDUA SAND DEPOSIT
VILLAGE- BARANDUA
TEHSIL AND DISTRICT- HOSHANGABAD
MP
KHASRA NO.- 118/1
LEASE AREA- 11.000 HECTARE
SUB LESSEE- M/S SHIVA CORPORATION INDIA PVT LTD",MS ESTEEM INFRABUILD PVT LTD,Delisted,EC,, 
7109,7110,6,SIA/MP/MIN/37004/2015,,"Surjanwasa Stone Quarry
Khasra No. – 203,",SMT VANDANA KEN,Delisted,EC,, 
7110,7111,7,SIA/MP/MIN/35157/2015,,"Environmental Clearance for Manikpur   Stone Deposit, Proponent Name M/s Maa Shitla Stone Crusher, Owner Shri Mayank Agrawal S/o Shri Rajkumar Agrawal, Resi. Anjaniya, Mandla distt. Mandla (MP)",MINING,Delisted,EC,, 
7111,7112,8,SIA/MP/MIN/61762/2017,5536/2017,Barchhi Sand Auction Quarry (5.520 Ha),RAJENDRA SINGH KILEDAR CONSTRUCTION PVT LTD,Delisted,EC,, 
7112,7113,9,SIA/MP/MIN/53164/2016,,"AMOCH  LATERITE, OCHRE & CLAY DEPOSIT					M. L.  Area – 10.99 Ha

 In Village – Amoch
Tehsil - Bahoriband, District- Katni
State - Madhya Pradesh",MS SMT JYOTI GARG,EC Granted - Processed offline,EC,, 
7113,7114,10,SIA/MP/MIN/432641/2023,,Puraposar Stone Quarry,SURENDRA GUPTA,Pending at PP due to eds,EC,, 
7114,7115,1,SIA/MP/MIN/55599/2016,,"Petegaon   Sand Quarry (Banjar River) of Shri Milan Sen ,  S/o Shri Shivnarayan Sen",MILAN SEN SO SHRI SHIV NARAYAN SEN,Delisted,EC,, 
7115,7116,2,SIA/MP/MIN/52935/2016,,"Bichhua Mal Metal Stone Quarry Of 
Shri Mohit Shriwas",MR MOHIT SHRIWAS,Delisted,EC,, 
7116,7117,3,SIA/MP/MIN/5928/2015,5313/2016,"M/S Khatri Minerals and Mining Company, Jhansi Siluwa Blue Dust/Iron Ore, Manganese, Laterite, Ochre & Clay Mine",MS KHATRI MINERALS AND MINING COMPANY,EC Granted,EC,, 
7117,7118,1,SIA/MP/MIN/32823/2015,,BHUMKA SAND MINING 23.000 HECT,A D AGRO FOODS PVT LTD,Delisted,EC,, 
7118,7119,2,SIA/MP/MIN/35384/2015,,Kuhi Crusher Stone Quarry,PRATYUSH CHHABRA,Delisted,EC,, 
7119,7120,3,SIA/MP/MIN/434016/2023,10043/2023,GHORAKONI SAND QUARRY,RAMESH BHUMARKAR,EC Granted,EC,, 
7120,7121,4,SIA/MP/MIN/430388/2023,10143/2023,Kayatkedi Sand Quarry,HIMMAT SISODIA,Agenda Uploaded by SEIAA,EC,, 
7121,7122,5,SIA/MP/MIN/432939/2023,10216/2023,Mining of Pati Sand Deposit,RAJEEV SAXENA,Agenda Uploaded by SEIAA,EC,, 
7122,7123,6,SIA/MP/MIN/431863/2023,10378/2023,Bhamavad Sand Quarry,JANMEJAY SINGH,EC Granted,EC,, 
7123,7124,7,SIA/MP/MIN/75644/2018,5729/2018,"PYROPHYLLITE & DIASPORE MINES
AT
KHASRA No. 687 & AREA 10 Ha,
                    VILLAGE- PARETHA, TEHSIL- NOWGAON, 
   DISTRICT- CHHATARPUR, MADHYA PRADESH",GLOBUS ENVIRONMENT ENGINEERING SERVICES,EC Granted,EC,, 
7124,7125,1,SIA/MP/MIN/34634/2015,4992/2016,Bichpura Stone Quarry Deposit,MS SAROJ MINERALS AND STONE CRUSHING PVT LTD,TransferToDEIAA,EC,, 
7125,7126,2,SIA/MP/MIN/35297/2015,,Baretha Sandstone Gitti Deposit Quarry area,MAA TRIPURA MINERALS,TransferToDEIAA,EC,, 
7126,7127,1,SIA/MP/NCP/91647/2019,5891/2019,Galaxy Height's By M/s Galaxy Infrastructure,M/S GALAXY INFRASTRUCTURE,Delisted,EC,, 
