,Unnamed: 0,X,Proposal.No.,File.No.,Project.Name,Company,Proposal.Status,Project.Type,View,Form_Type
647,648,1,SIA/JH/MIN/406145/2022,EC/SEIAA/2022-23/2669/2022,Dahuatola Stone Deposit,GAUTAM KUMAR,EC Granted,EC,, 
648,649,2,SIA/JH/IND1/407476/2022,EC/SEIAA/2022-23/2439/2022,"Expansion of Existing 24600 TPA Billets Unit by addition of 2x12 T Induction Furnaces with CCM (2X2 Strand 4/7) and replacement of existing 1x8 T furnace by 1x12 T Induction Furnace along with addition of 20 TPH Rolling Mill For Final Production Capacity of Billets 118800 TPA, Rolled Products (Direct Hot Rolling) 117600 TPA & Slag Crusher 30000 TPA by M/s JSV Enterprises at Plot No. 48, Barhi Industrial Area, Barhi, District- Hazaribagh, State- Jharkhand",JSV ENTERPRISES,EC Granted,EC,, 
649,650,3,SIA/JH/MIN/18401/2013,EC/SEIAA/2013-14/290/2014,JYOTI PAHARI KYANITE OPENCAST MINE PROJECT,Jharkhand State Mineral Development Corporation Limited,Delisted,EC,, 
650,651,4,SIA/JH/MIN/447253/2023,EC/SEIAA/2023-24/2987/2023,HUTAP BRICK SOIL MINING,MAA UTKARSHINI CONSTRUCTION & MINES PVT. LTD.,EC Granted,EC,, 
651,652,5,SIA/JH/INFRA2/403009/2022,EC/SEIAA/2022-23/2630/2022,Commercial Building of “City Select Developers”,SAHIL KAPOOR,EC Granted,EC,, 
652,653,6,SIA/JH/INFRA2/402876/2022,EC/SEIAA/2022-23/2652/2022,"Proposed project Group Housing “The Sapphire” located at Village- Dhirajganj, Mouza-Jamalpur, Distt.- Seraikela, Jharkhand of land measuring 7.086 acres by M/s Samay Homes Rep by Mr. Rajesh Kumar Singh.",SAMAY HOMES,EC Granted,EC,, 
653,654,7,SIA/JH/MIN/429434/2023,EC/SEIAA/2023-24/2824/2023,Nawadih Stone Deposit,SANTOSH MEHTA,EC Granted,EC,, 
654,655,8,SIA/JH/MIN/67572/2017,,M/S Mining Project,ABC CONSULTANT,WithdrawEC,EC,, 
655,656,9,SIA/JH/MIN/446540/2023,EC/SEIAA/2023-24/3068/2023,Digarmara Stone Deposit (Area – 2.99 ha),BALBINDER SINGH,Deferred by SEAC,EC,, 
656,657,10,SIA/JH/MIN/69371/2017,,"Kurruchattarpur, Katkaiya & Keradih Sand Mining Project","KURRUCHATTARPUR, KATKAIYA & KERADIH SAND MINING PROJECT",Delisted,EC,, 
657,658,10,SIA/JH/MIN/74906/2018,EC/SEIAA/2017-18/2075/2017,"Kudri, Okra, Simla & Dorma Sand Deposit
(Area- 12.48 Acre / 5.04 Ha)",MS JSMDC RANCHI,EC Granted,EC,, 
658,659,1,SIA/JH/MIN/418807/2023,EC/SEIAA/2022-23/2778/2023,PAHARPUR STONE MINE,PAAHARPUR STONE MINE,EC Granted,EC,, 
659,660,2,SIA/JH/MIN/422518/2023,,M/S MAA DURGA STONE WORKS,SANJAY YADAV,WithdrawEC,EC,, 
660,661,3,SIA/JH/MIN/65723/2017,,DHOWAPAHARI STONE MINING,ASRAFUL SHEIKH,Delisted,EC,, 
661,662,4,SIA/JH/MIN/448880/2023,EC/SEIAA/2023-24/3051/2023,Fatehpur Stone Deposit (Area – 2.833 ha),DEEPAK GUPTA,EC Granted,EC,, 
