,Unnamed: 0,X...,Proposal.No.,File.No.,Project.Name,Company,Proposal.Status,Project.Type,View,Form_Type
9329,9330,8,SIA/RJ/MIN/448866/2023,19355,"Proposed Granite Mining Project, ML. No.- 11/2023 &  Ref. No.- 20231000084962, Area: 1.0357 Hectare. (Pvt. Land) at Khasra No.- 600 & 602, Near Village- Mundoti, Tehsil- Kishangarh, District- Ajmer (Raj.) of M/s Shri Tirupati Granites.",SHREE TIRUPATI GRANITES,EC Granted,EC,, 
9330,9331,1,SIA/RJ/MIN/38554/2016,,"M/S KHANDELWAL AGGREGATE STONE GRIT
MASONRY STONE MINING PROJECT",MS KHANDELWALAGGREGATE STONE GRIT,TransferToDEIAA,EC,, 
9331,9332,2,SIA/RJ/MIN/38584/2016,,Gadiyanada Sand Stone Mine (Q.L. No. 22) Cluster 10,PREM LAL,Under examination of SEIAA - Processed offline,EC,, 
9332,9333,3,SIA/RJ/MIN/38628/2016,,Hemant Kumar Sharma,HEMANT KUMAR SHARMA,TransferToDEIAA,EC,, 
9333,9334,4,SIA/RJ/MIN/39163/2016,,Rujia Khuna Lime Stone Mining Project (M.L. No. 528/1989) Area 1.00 Hect.,GURU DUTT BOHRA,TransferToDEIAA,EC,, 
9334,9335,5,SIA/RJ/MIN/40059/2016,,Quartz & Feldspar Mine ( M L no. 11/2007 ),RAM KARAN CHODUHARY,Under examination of SEIAA - Processed offline,EC,, 
9335,9336,8,SIA/RJ/MIN/409312/2022,18028,"Existing “Masonry Stone (Minor Mineral) Mining Project [M.L. No. 45/2009] over an Area-1.0 Hectare, Near Village- Lakhiyas, Tehsil- Parbatsar, District–Nagaur (Rajasthan) by Smt. Gajraj Kanwar.",GAJRAJ KANWAR,EC Granted,EC,, 
9336,9337,9,SIA/RJ/MIN/410240/2022,18042,Expansion in production (Quartz & Feldspar) Mining project,TRIVENI MINES,EC Granted,EC,, 
9337,9338,10,SIA/RJ/MIN/454900/2023,19923,"Re - appraisal Existing  Quartz & Feldspar Mining Lease M.L. No. – 11/1997,  Area: 5.00 Ha. Production Capacity:- 4680 TPA (ROM) Saleable Mineral– 3744 TPA & Waste – 936 TPA At Khasra no. 155, 153, 156 & 157 Near village- Gujarwada, Tehsil- Kishangarh  & District- Ajmer (Rajasthan) of M/s J. J. Minerals Prop. A. K. Sethi",ARUN SETHI,Under examination of SEIAA after SEAC,EC,, 
9338,9339,5,SIA/RJ/MIS/48311/2018,439,Proposed area Development and Township namely Vigyan Nagar,URBAN IMPROVEMENT TRUST ALWAR RAJASTHAN,EC Granted - Processed offline,EC,, 
9339,9340,9,SIA/RJ/MIN/451480/2023,,"Smt. Jarina Begam, Re-appraisal of Environment Clearance granted by DEIAA to SEIAA in compliance of MoEF & CC O.M. dated 28/04/2023 & Hon’ble NGT order dated 07/12/2022, M.L. No. 161/2013, China Clay & Red Ochre Mining Project",JARINA BEGAM,Pending at PP due to eds,EC,, 
9340,9341,10,SIA/RJ/MIN/453972/2023,19621,"RE-appraisal of EC for China Clay Mining Lease, ML No- 43/2005, Area 4.8319 ha, at khasra no 1080 & 1081, near village Indawar, Tehsil- Merta City, District-Nagaur, Rajasthan",KESHA RAM,WithdrawEC,EC,, 
9341,9342,1,SIA/RJ/MIN/441765/2023,,"China Clay (Minor Mineral) mining project” Reference No.– 20211000041844, ML.No-49/2021 and Khasra No.–143,129 &130] over an Area of 1.8210Hectare located Near Village– Firozpura Charana, Tehsil– Mundwa, and District– Nagaur (Rajasthan) In Cluster- 11 with Proposed Production Capacity– 83475 TPA by Shri Ganpatram Kala S/o Shri. Mohan Kala",GUTHA RAM,Pending at PP due to eds,EC,, 
9342,9343,2,SIA/RJ/MIN/442385/2023,19066,"Proposed Masonry Stone Mining Project: Ref No. 20221000064844,  Area: 1.99 Hect. (Pvt. Land);, Near Village- Lunu Khurd, Tehsil & District- Barmer (Raj.) in Favor of Shri Raghunath Singh S/o Shri Rawat Singh.",RAGHUNATH SINGH,EC Granted,EC,, 
9343,9344,1,SIA/RJ/INFRA2/449317/2023,847,"Project: Expansion of existing Township Project located at Khasra no. 761/1, Village- Dungarnagar, Tehsil-Jaitaran, Distt. Beawar, Rajasthan. Promoted by: Nuvoco Vistas Corporation Ltd. (Nimbol Cement Plant)",LOKESH BAHETY,EC Granted,EC,, 
9344,9345,2,SIA/RJ/MIN/444913/2023,19348,"Quartz and Quartzite Mining Project, ML No.- 18/2000",SATYA SHARMA,Delisted,EC,, 
9345,9346,4,SIA/RJ/MIN/449794/2023,19462,"M/s Mundan Construction Company,  Granite Mining Project,  Plot No.- 143/2022",MUNDAN CONSTRUCTION CO,EC Granted,EC,, 
