,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
5,1636,SIA/UP/MIN/36701/2019,,"Brick Earth Mining Project, M/s Gurunanak Dev Brick Field, Gata no; 198, 254 , Village: Unn, Tehsil: Unn , Dist: Shamli",M/S GURUNANAK DEV BRICK FIELD,Delisted,EC,
6,1637,SIA/UP/MIN/74852/2018,4306,"Riverbed Sand/Morrum mining project from Burma River for Smt. Kaushilya Chaubey Contractor located at Khand No. 5 (Gata No.- 361, 511, 483/2, 406/1), Village - Tingura, Pahariya, Itaura Buzurg, Tehsil - Kulpahar, District - Mahoba, Uttar Pradesh. San",SMT KAUSHILYA CHOBEY CONTRACTOR,EC Granted,EC,
7,1638,SIA/UP/NCP/74861/2018,4290,Government Medical College,PRINCIPAL,Delisted,EC,
8,1639,SIA/UP/NCP/66918/2017,,Radhika Orchid (Residential Plotted Development Project),MARS DEVELOPERS & BUILDTECH INDIA PVT. LTD.,Delisted,EC,
9,1640,SIA/UP/MIN/34787/2019,4799,M/S LAXMI GANESH ENT UDHYOG,MS LAXMI GANESH ENT UDHYOG,EC Granted,EC,
0,1641,SIA/UP/MIN/143412/2020,5526,"Proposed “Soil Excavation” Project at Gata No.– 824Aa,  Village- Bibipur, Tehsil- Sarojini Nagar, District- Lucknow, Uttar Pradesh.",SHRI LALTA SINGH,"MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail.",EC,
1,1642,SIA/UP/MIN/33194/2019,,"Brick Earth Mining Project, M/s Sagar Brick Works , Gata No : 77a, 77b, 113, 141 , Village: Piplijat, Nawabpura urf Shekhupura, Siau , Tehsil : Chandpur, Dist: Bijnor",M/S SAGAR BRICK WORKS,Delisted,EC,
2,1643,SIA/UP/MIN/127212/2019,5242,"Ordinari soil excavation at Gata No.1378, Village- Malaha, Tehsil- Malihabad, District- Lucknow.",M/S RAJEEV & ASSOCIATE,EC Granted,EC,
3,1644,SIA/UP/MIN/131067/2019,5378,Rawat Ent Udyog,M/S RAWAT ENT UDYOG,EC Granted,EC,
4,1645,SIA/UP/MIN/62489/2020,6291/5795,Ordinary Sand Mining,M/S KAMLA CONTRACTOR AND SUPPLIER,EC Granted,EC,
5,1646,SIA/UP/MIN/62155/2021,6248,"“Sand/ Morrum Mining” at Yamuna River Bed, Khand  No. 15/35 to 15/39 (khand Serial. No, 3), Village-Umrawan, Tehsil-Manjhanpur, District-Kaushambi ,U.P. (Lease Area 10.00 ha)",M/S KHUSHI ENTERPRISES,EC Granted,EC,
6,1647,SIA/UP/MIN/247231/2021,6798,"Ordinary Soil Excavation” Project at Gata No.– 91Mi, 92Mi, 94MiVillage-Faizullah Nagar, Tehsil-Thakurdwara, District- Moradabad, Uttar Pradesh",VERNER ENVIRO INDIA PVT LTD.,EC Granted,EC,
7,1648,SIA/UP/MIN/73761/2021,7002/6329,Building stone khanda Boulder Ballast,SHIVAMGRANITE,EC Granted,EC,
8,1649,SIA/UP/MIN/70429/2021,6790,"Building Stone (Khanda, Boulder, Bailast (Gitti) & Pahadi Red Morram))",MS REVA SUGAR INDUSTRIES PVT LTD,EC Granted,EC,
9,1650,SIA/UP/MIN/70353/2021,6781,"Building Stone (Khanda, Boulder, Bailast (Gitti) & Pahadi Red Morram)",SHRI ANSHUL RAJPOOT,EC Granted,EC,
0,1651,SIA/UP/MIN/52776/2019,5642/5063,"“Ordinary Sand Mining” Project at Araji No.- 9 Gha / 2, Village- Khaira, Tehsil- Sadar, District- Mirzapur, U.P. (Applied Area: 5.0 ha.)",MS SHUBHAM UDYOG,EC Granted,EC,
1,1652,SIA/UP/MIN/71419/2017,3897,Badausa Sand/Morrum Mining Project,MS INDORE PROPERTY PRIVATE LIMITED,EC Granted,EC,
2,1653,SIA/UP/MIN/137389/2020,5430,Soil mining Project,SH. AMIT KUMAR,"MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail.",EC,
3,1654,SIA/UP/MIN/65149/2017,,"River Sand/Morrum Mine Project (40460cum), Araji No.-184/4 Area 4.0469 ha., Near Village: Parechha, Tehsil-Moth, District - Jhansi (UP) of M/S Ashish Enterprises.",MS ASHISH ENTERPRISES,Under examination of SEIAA - Processed offline,EC,
4,1655,SIA/UP/INFRA2/406665/2022,7357,"“Paras Avenue” at Plot No: C3H1, Sec-129, Noida, Uttar Pradesh by M/s Ambit Buildwell Private Limited",AMBIT BUILDWELL PRIVATE LIMITED,EC Granted,EC,
5,1656,SIA/UP/MIN/225606/2021,6517,"Proposed “Ordinary Soil Excavation Project” at Gata No.– 855, Village- Raipur Raja, Tehsil- B.K.T., District- Lucknow, Uttar Pradesh",M/S SVGS ENTERPRISES,EC Granted,EC,
6,1657,SIA/UP/MIN/132181/2019,,Pawan Brick Field,M/S PAWAN BRICK FIELD,Delisted,EC,
7,1658,SIA/UP/IND/33102/2019,,"Proposed Environmental Clearance of mining lease for Building Stone (Gitti-Pathhar, Khandas, Boulder) mine, at Gata No./Araji No. /Plot no. – 12, Khand No.02, Area 0.890 ha. (2.25 Acres) at Village –",HARIHAR STONE GRAMOUDHYOG II,Delisted,EC,
8,1659,SIA/UP/MIN/33113/2019,,Brick Earth Mining projects for M/s Ambar Brick Field,AMBAR BRICK FIELD,Delisted,EC,
9,1660,SIA/UP/NCP/21457/2017,3966,M/s Patanjali Food and Herbal Park Noida Pvt Ltd,PATANJALI FOOD AND HERBAL PARK NOIDA PVT LTD,EC Granted,EC,
0,1661,SIA/UP/MIN/67411/2021,6559-6104,"Girwan Granite(Khanda, Gitty, Boulder )Mining project",M/S BAJRANG ROADLINE,EC Granted,EC,
1,1662,SIA/UP/IND2/228628/2021,6581,Gangotri Refinery Pvt. Ltd.,GANGOTRI REFINERY PVT. LTD...,Delisted,EC,
2,1663,SIA/UP/MIS/201721/2021,6224,"Proposed Construction of Government Medical College ""Sultanpur""",M/S DEPARTMENT OF MEDICAL EDUCATION UTTAR PRADESH,WithdrawEC,EC,
3,1664,SIA/UP/MIN/143656/2020,5527,"M/s Prakash Ent Product located at Gata No. 64, 174, 216, 376 & 379, Village – Dheka and Gata No. 204, Village- Varchawal , Tehsil – Jaisinghpur , District - Sultanpur, U.P.",M/S PRAKASH ENT PRODUCT,"MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail.",EC,
