,proposal_no,file_no,proposal_name,state,district,tehsil,date_submission,tor_approval,project_category,company_proponent,status
81,SIA/OR/IND2/26106/2018,To be assigned,Masnikani OS Shop,Orissa,Sundargarh,Sundargarh,16 May 2018, TOR Not Granted Yet,Industrial Projects - 2,MANOHAR PRAJAPATI,DelistedD
82,SIA/OR/IND2/26079/2018,To be assigned,Ranibagicha OS Shop,Orissa,Sundargarh,Sundargarh Town,15 May 2018, TOR Not Granted Yet,Industrial Projects - 2,RANIBAGICHA OS SHOP,DelistedD
83,SIA/OR/NCP/22986/2018,22986 /09-NCP-V/05-2018,Mani Tribhuvan (previously known as Mani Tirumala),Orissa,Khordha,Khordha,14 May 2018,12 Oct 2021,INFRA-1,MANI TIRUMALA PROJECTS PVT LTD,TOR GrantedL
84,SIA/OR/MIN/26071/2018,26071/20-NCMB1/05-2018,Chrome ore beneficiation plant with 15000 TPA throughput by M/s East Coast Minerals,Orissa,Jajpur,Sukinda,14 May 2018,07 Aug 2018,Non-Coal Mining,INDIAN EAST COAST MINERALS,TOR GrantedL
85,SIA/OR/IND2/26068/2018,26068/407-IND2/05-2018,Golanthara O.S. Shop,Orissa,Ganjam,Golanthara,14 May 2018, TOR Not Granted Yet,Industrial Projects - 2,SRI SHAMAGHANA SAHU,MoveToTORtoECL
86,SIA/OR/IND2/26069/2018,26069/406-IND2/05-2018,Patrapur O.S. Shop,Orissa,Ganjam,Patapur,14 May 2018, TOR Not Granted Yet,Industrial Projects - 2,SRI T JAGANAIKULLU,DelistedL
87,SIA/OR/IND2/26067/2018,26067/405-IND2/05-2018,Basudevpur O.S. Shop,Orissa,Ganjam,Digapahandi,14 May 2018, TOR Not Granted Yet,Industrial Projects - 2,SRI UDHAB SAHU,MoveToTORtoECL
88,SIA/OR/IND2/26035/2018,26035/404-IND2/05-2018,Santamal O.S. Shop,Orissa,Bargarh,Bhatli,10 May 2018,31 Aug 2018,Industrial Projects - 2,HEMANTA KUMAR SAHU,TOR GrantedL
89,SIA/OR/IND2/26036/2018,26036/403-IND2/05-2018,Tenteldhara O.S. Shop,Orissa,Bargarh,Ambabhona,08 May 2018, TOR Not Granted Yet,Industrial Projects - 2,HEMANTA KUMAR SAHU,MoveToTORtoECL
90,SIA/OR/IND2/26033/2018,26033/402-IND2/05-2018,Brahmani O.S. Shop,Orissa,Sonapur,Tarbha,08 May 2018, TOR Not Granted Yet,Industrial Projects - 2,AVINASH ANAND,MoveToTORtoECL
91,SIA/OR/IND2/26029/2018,26029/401-IND2/05-2018,Jamut O.S. Shop,Orissa,Balangir,Tushura,08 May 2018, TOR Not Granted Yet,Industrial Projects - 2,BHOLANATH SAHOO,MoveToTORtoECL
92,SIA/OR/IND2/26028/2018,26028/400-IND2/05-2018,Bindhanpathar O.S. Shop,Orissa,Balangir,Saintala,08 May 2018, TOR Not Granted Yet,Industrial Projects - 2,BHOLANATH SAHOO,MoveToTORtoECL
93,SIA/OR/IND2/26026/2018,26026/399-IND2/05-2018,Sargiguda O.S. Shop,Orissa,Kalahandi,Narala,08 May 2018, TOR Not Granted Yet,Industrial Projects - 2,M/S BALDEV SAHU AND SONS,MoveToTORtoECL
94,SIA/OR/IND2/26025/2018,26025/398-IND2/05-2018,Balbaspur O.S. Shop,Orissa,Kalahandi,Narala,08 May 2018, TOR Not Granted Yet,Industrial Projects - 2,M/S BALDEV SAHU AND SONS,MoveToTORtoECL
95,SIA/OR/MIS/25955/2018,25955/20-MIS/05-2018,"Passenger Ropeway from Jawahar Udyan to Gandhi Minar at Hirakud, Dist- Sambalpur, Odisha",Orissa,Sambalpur,Hirakud,07 May 2018, TOR Not Granted Yet,INFRA-2,CHIEF ENGINEER AND BASIN MANAGER UPPER MAHANADI BASIN BURLA,MoveToTORtoECL
96,SIA/OR/IND2/26017/2018,26017/397-IND2/05-2018,Anandapur O.S. Shop,Orissa,Kendujhar,Anandapur,07 May 2018, TOR Not Granted Yet,Industrial Projects - 2,DINESH PRASAD SAHA,MoveToTORtoECL
