Sl_No,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
1789,SIA/OR/MIN/10279/2016,10279/1563-NCM/03-2016,Orissa,Ganjam,Hinjili,Date of Submission : 27 Mar 2016,No Date,Non-Coal Mining,LAXMI SETHY,Rejected - Processed offline
1790,SIA/OR/MIN/65674/2021,To be assigned,Orissa,Anugul,Talcher Sadar,Date of Submission : 01 Nov 2021,No Date,Non-Coal Mining,HATURIPAL SAND QUARRY,Delisted
1791,SIA/OR/MIN/59913/2021,59913/100-MINB1/02-2021,Orissa,Jagatsinghapur,Jagatsinghapur,Date of Submission : 08 Mar 2021,Date of TOR Granted : 11 May 2021,Non-Coal Mining,TAHASILDAR RAGHUNATHPUR,TOR Granted
1792,SIA/OR/MIN/65302/2021,65302/230-MINB1/03-2022,Orissa,Sundargarh,Sundargarh    ,Date of Submission : 31 Mar 2022,Date of TOR Granted : 01 Jan 1900,Non-Coal Mining,SMT. RAJASHREE BEHERA,TOR Granted
1793,SIA/OR/IND2/65848/2021,65848/101-IND2/07-2021,Orissa,Gajapati,R.Udaygiri,Date of Submission : 21 Jul 2021,No Date,Industrial Projects - 2,MONOJ KUMAR SAHU,Delisted
1794,SIA/OR/MIN/68115/2021,To be assigned,Orissa,Rayagada,Rayagada,Date of Submission : 03 Oct 2021,No Date,Non-Coal Mining,TAHSILDAR KOLNARA,Delisted
1795,SIA/OR/MIN/5174/2015,SEIAA/5174/921-NCM/12-2015,Orissa,Bargarh,Attabira,Date of Submission : 16 Dec 2015,Date of TOR Granted : 30 Jan 2016,Non-Coal Mining,PRAKASH KUMAR TRIPATHY,TOR Granted - Processed offline
1796,SIA/OR/IND2/51244/2020,51244/87-IND2/02-2020,Orissa,Ganjam,Brahmapur Sadar,Date of Submission : 18 Feb 2020,Date of TOR Granted : 01 Jul 2020,Industrial Projects - 2,BHASKAR SAHU,TOR Granted
1797,SIA/OR/IND2/20822/2017,20822/49-IND2/10-2017,Orissa,Ganjam,Bhanjanagar,Date of Submission : 27 Oct 2017,No Date,Industrial Projects - 2,BHAGIRATHI SAHU,MoveToTORtoEC
1798,SIA/OR/MIN/8835/2016,8835/1141-NCM/01-2016,Orissa,Ganjam,Bhanjanagar,Date of Submission : 14 Jan 2016,No Date,Non-Coal Mining,SUSHANTA KUMAR BEHERA,Delisted
1799,SIA/OR/MIN/8840/2016,8840/1143-NCM/01-2016,Orissa,Rayagada,Rayagada,Date of Submission : 14 Jan 2016,No Date,Non-Coal Mining,AMBICA STONE CRUSHER,Delisted
1800,SIA/OR/MIN/8867/2016,8867/1144-NCM/01-2016,Orissa,Rayagada,Rayagada,Date of Submission : 14 Jan 2016,No Date,Non-Coal Mining,AMBICA STONE CRUSHER,Delisted
1801,SIA/OR/IND2/51140/2020,51140/82-IND2/02-2020,Orissa,Ganjam,Patapur,Date of Submission : 16 Feb 2020,Date of TOR Granted : 01 Jan 1900,Industrial Projects - 2,BARUN  PRADHAN,TOR Granted
1802,SIA/OR/IND2/51141/2020,51141/83-IND2/02-2020,Orissa,Ganjam,Digapahandi,Date of Submission : 16 Feb 2020,Date of TOR Granted : 01 Jul 2020,Industrial Projects - 2,SRI TRINATH SAHU,TOR Granted
1803,SIA/OR/IND2/51148/2020,51148/85-IND2/02-2020,Orissa,Ganjam,Golanthara,Date of Submission : 17 Feb 2020,Date of TOR Granted : 01 Jul 2020,Industrial Projects - 2,R HERAMBA REDDY,TOR Granted
1804,SIA/OR/MIN/62078/2021,62078/129-MINB1/03-2021,Orissa,Sambalpur,Kochinda,Date of Submission : 21 Mar 2021,Date of TOR Granted : 27 Aug 2021,Non-Coal Mining,SRI RAJKUMAR AGASTY,TOR Granted
1805,SIA/OR/MIN/62354/2021,62354/117-MINB1/03-2021,Orissa,Cuttack,Badamba,Date of Submission : 31 Mar 2021,Date of TOR Granted : 19 Jul 2021,Non-Coal Mining,SMT DEBAJANI PRAHARAJ,TOR Granted
1806,SIA/OR/MIN/62655/2021,To be assigned,Orissa,Dhenkanal,Bhuban,Date of Submission : 16 Feb 2023,No Date,Non-Coal Mining,GIRIJA SHANKAR MISHRA,Proposals returned to Proponent due to shortcoming
1807,SIA/OR/MIN/62730/2021,To be assigned,Orissa,Dhenkanal,Bhuban,Date of Submission : 16 Feb 2023,No Date,Non-Coal Mining,RATIKANTA  ROUT,Proposals returned to Proponent due to shortcoming
1808,SIA/OR/IND2/20492/2017,20492/41-IND2/09-2017,Orissa,Ganjam,Kodala,Date of Submission : 25 Sep 2017,No Date,Industrial Projects - 2,SRI RAGHUBEER PANIGRAHI,Delisted
