Sl_No,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
1090,SIA/OR/MIN/60071/2021,60071/66-MINB1/01-2021,Orissa,Nabarangpur,Dabugan,Date of Submission : 05 Feb 2021,Date of TOR Granted : 22 Mar 2021,Non-Coal Mining,"TAHASILDAR, DABUGAON",TOR Granted
1091,SIA/OR/IND2/28459/2018,To be assigned,Orissa,Rayagada,Kashipur,Date of Submission : 29 Jul 2018,No Date,Industrial Projects - 2,MS SHIW PRASAD SAHU AND SONS,Delisted
1092,SIA/OR/IND2/37834/2019,37834/44-IND2/06-2019,Orissa,Ganjam,Kodala,Date of Submission : 17 Jun 2019,Date of TOR Granted : 15 Oct 2019,Industrial Projects - 2,SRI RANJAN KUMAR SAHU,TOR Granted - Processed offline
1093,SIA/OR/IND2/26153/2018,26153/417-IND2/05-2018,Orissa,Dhenkanal,Motunga,Date of Submission : 20 May 2018,No Date,Industrial Projects - 2,PRAKASH KUMAR SAHOO,Rejected - Processed offline
1094,SIA/OR/IND2/22402/2018,22402/304-IND2/03-2018,Orissa,Ganjam,Chhatrapur,Date of Submission : 28 Mar 2018,No Date,Industrial Projects - 2,PRASANT KUMAR BISOI,MoveToTORtoEC
1095,SIA/OR/IND2/29144/2018,29144/552-IND2/09-2018,Orissa,Mayurbhanj,Baripada Sadar,Date of Submission : 22 Sep 2018,No Date,Industrial Projects - 2,SATYABRATA SAHU,MoveToTORtoEC
1096,SIA/OR/IND2/29145/2018,29145/553-IND2/09-2018,Orissa,Mayurbhanj,Suliapada,Date of Submission : 22 Sep 2018,No Date,Industrial Projects - 2,UPENDRA  SINGH,Delisted
1097,SIA/OR/MIN/28441/2018,To be assigned,Orissa,Cuttack,Banki,Date of Submission : 30 Aug 2018,No Date,Non-Coal Mining,BHAGIRATHI MANTRY,Delisted
1098,SIA/OR/MIN/29838/2018,29838/30-NCMB1/11-2018,Orissa,Bargarh,Paikamal,Date of Submission : 19 Nov 2018,No Date,Non-Coal Mining,SRI PRABHAS CHANDRA AGRAWAL,Delisted
1099,SIA/OR/MIN/29846/2018,29846/32-NCMB1/11-2018,Orissa,Bargarh,Paikamal,Date of Submission : 19 Nov 2018,No Date,Non-Coal Mining,SRI PRABHAS CHANDRA AGRAWAL,Delisted
1100,SIA/OR/IND/28573/2018,28573/37-IND/09-2018,Orissa,Khordha,Begunia,Date of Submission : 22 Sep 2018,No Date,Industrial Projects - 1,MS NEW LAXMI INDUSTRIES PVT LTD,Delisted
1101,SIA/OR/IND/28587/2018,28587/38-IND/09-2018,Orissa,Khordha,Begunia,Date of Submission : 22 Sep 2018,No Date,Industrial Projects - 1,MS NEW LAXMI STEEL AND POWER PVT LTD,Delisted
1102,SIA/OR/IND2/26139/2018,26139/436-IND2/06-2018,Orissa,Boudh,Kantamal,Date of Submission : 03 Jun 2018,No Date,Industrial Projects - 2,KRUSHNA CHANDRA SAHU,Rejection Letter Granted
1103,SIA/OR/IND2/26140/2018,26140/425-IND2/05-2018,Orissa,Boudh,Kantamal,Date of Submission : 21 May 2018,No Date,Industrial Projects - 2,KRUSHNA CHANDRA SAHU,Rejection Letter Granted
1104,SIA/OR/IND2/29138/2018,29138/549-IND2/09-2018,Orissa,Mayurbhanj,Betanati,Date of Submission : 22 Sep 2018,No Date,Industrial Projects - 2,NIROJ KUMAR GUPTA,Rejected - Processed offline
1105,SIA/OR/MIN/41583/2019,To be assigned,Orissa,Jajpur,Korai,Date of Submission : 22 Aug 2019,No Date,Non-Coal Mining,PUSPRAJ SINGH,Delisted
1106,SIA/OR/MIN/26270/2018,To be assigned,Orissa,Sundargarh,Rajagangapur,Date of Submission : 30 Jun 2018,No Date,Non-Coal Mining,M/S B D PATNAIK MINERALS PRIVATE LIMITED,Delisted
1107,SIA/OR/IND2/26074/2018,26074/412-IND2/05-2018,Orissa,Angul,Palalahada,Date of Submission : 19 May 2018,No Date,Industrial Projects - 2,BIREN KUMAR JAISWAL,MoveToTORtoEC
1108,SIA/OR/MIS/10901/2016,10901/05-MIS/04-2016,Orissa,Kendujhar,Barbil,Date of Submission : 06 Apr 2016,No Date,INFRA-2,URBAN DEVELOPMENT HOUSING DEPARTMENT,Delisted
1109,SIA/OR/MIN/28606/2018,To be assigned,Orissa,Kalahandi,Sadar,Date of Submission : 11 Aug 2018,No Date,Non-Coal Mining,KARLASODA DECORATIVE STONE DEPOSIT,Delisted
1110,SIA/OR/IND2/29028/2018,29028/539-IND2/09-2018,Orissa,Mayurbhanj,Rasagobindapur,Date of Submission : 22 Sep 2018,No Date,Industrial Projects - 2,KALPANA PUSTI,MoveToTORtoEC
1111,SIA/OR/IND2/29811/2018,29811/572-IND2/11-2018,Orissa,Ganjam,Asika,Date of Submission : 09 Nov 2018,Date of TOR Granted : 14 Dec 2018,Industrial Projects - 2,BISHNUPRIYA SAHU,TOR Granted - Processed offline
1112,SIA/OR/IND2/26006/2018,26006/395-IND2/05-2018,Orissa,Bargarh,Attabira,Date of Submission : 06 May 2018,No Date,Industrial Projects - 2,MD. SHAHID HUSSAIN &  MD. RAHAT HUSSAIN,MoveToTORtoEC
1113,SIA/OR/IND2/26007/2018,26007/396-IND2/05-2018,Orissa,Kendujhar,Anandapur,Date of Submission : 06 May 2018,No Date,Industrial Projects - 2,DINESH PRASAD SAHA,Delisted
1114,SIA/OR/MIN/9732/2016,9732/1332-NCM/01-2016,Orissa,Ganjam,Brahmapur Sadar,Date of Submission : 29 Jan 2016,No Date,Non-Coal Mining,ANANTARAM MAHAPATRA,Delisted
1115,SIA/OR/IND2/23269/2018,23269/350-IND2/04-2018,Orissa,Boudh,Kantamal,Date of Submission : 01 Apr 2018,No Date,Industrial Projects - 2,ASHISH KUMAR SAHU,MoveToTORtoEC
1116,SIA/OR/MIN/28671/2018,To be assigned,Orissa,Nuapada,Khariar,Date of Submission : 08 Sep 2018,No Date,Non-Coal Mining,SMT SUSHILA AGRAWAL,Delisted
1117,SIA/OR/MIN/8472/2016,8472/1138-NCM/01-2016,Orissa,Kendujhar,Anandapur,Date of Submission : 13 Jan 2016,No Date,Non-Coal Mining,CHINTAMANI JENA,Delisted
1118,SIA/OR/IND2/28793/2018,28793/520-IND2/08-2018,Orissa,Mayurbhanj,Rairangpur,Date of Submission : 29 Aug 2018,No Date,Industrial Projects - 2,SANJIBKUMARBESHRA,Delisted
1119,SIA/OR/IND2/28754/2018,To be assigned,Orissa,Mayurbhanj,Udala,Date of Submission : 28 Aug 2018,No Date,Industrial Projects - 2,ANTARYAMI BEHERA,Delisted
1120,SIA/OR/IND2/28794/2018,28794/521-IND2/08-2018,Orissa,Mayurbhanj,Udala,Date of Submission : 29 Aug 2018,No Date,Industrial Projects - 2,ANTARYAMI BEHERA,Delisted
1121,SIA/OR/IND2/28819/2018,28819/528-IND2/09-2018,Orissa,Nuapada,Boden,Date of Submission : 05 Sep 2018,No Date,Industrial Projects - 2,RAJESHKUMAR SAHU,MoveToTORtoEC
1122,SIA/OR/IND2/28822/2018,28822/531-IND2/09-2018,Orissa,Kendujhar,Ghatgaon,Date of Submission : 15 Sep 2018,Date of TOR Granted : 14 Dec 2018,Industrial Projects - 2,MANJULA DWIBEDI,TOR Granted - Processed offline
1123,SIA/OR/IND2/28825/2018,28825/524-IND2/09-2018,Orissa,Nuapada,Sinapali,Date of Submission : 05 Sep 2018,No Date,Industrial Projects - 2,RAJESHKUMAR SAHU,MoveToTORtoEC
1124,SIA/OR/IND2/28833/2018,28833/524-IND2/09-2018,Orissa,Nuapada,Khariar,Date of Submission : 05 Sep 2018,No Date,Industrial Projects - 2,RAJESHKUMAR SAHU,MoveToTORtoEC
1125,SIA/OR/IND2/28835/2018,28835/523-IND2/09-2018,Orissa,Nuapada,Sinapali,Date of Submission : 05 Sep 2018,No Date,Industrial Projects - 2,RAJESHKUMAR SAHU,MoveToTORtoEC
1126,SIA/OR/MIN/58643/2020,58643/51-MINB1/12-2020,Orissa,Dhenkanal,Kamakshyanagar,Date of Submission : 17 Dec 2020,Date of TOR Granted : 28 Feb 2021,Non-Coal Mining,TAHASILDAR KAMAKHYANAGAR,TOR Granted
1127,SIA/OR/MIN/16024/2016,To be assigned,Orissa,Dhenkanal,Dhenkanal Sadar,Date of Submission : 08 Jun 2016,No Date,Non-Coal Mining,BRAHMANANDA SAHOO,Delisted
1128,SIA/OR/MIN/4717/2015,SEIAA/4717/860-NCM/11-2015,Orissa,Mayurbhanj,Kaptipada,Date of Submission : 30 Nov 2015,Date of TOR Granted : 25 Jan 2016,Non-Coal Mining,SUJIT KUMAR KHUNTIA,TOR Granted - Processed offline
1129,SIA/OR/MIN/4719/2015,SEIAA/4719/861-NCM/11-2015,Orissa,Cuttack,Salepur,Date of Submission : 30 Nov 2015,Date of TOR Granted : 30 Jan 2016,Non-Coal Mining,SK ABDUL KADIR,TOR Granted - Processed offline
1130,SIA/OR/MIN/55871/2020,To be assigned,Orissa,Ganjam,Purusottampur,Date of Submission : 23 Aug 2020,No Date,Non-Coal Mining,TAHASILDAR POLASARA,Delisted
1131,SIA/OR/MIN/55876/2020,To be assigned,Orissa,Ganjam,Purusottampur,Date of Submission : 23 Aug 2020,No Date,Non-Coal Mining,TAHASILDAR POLASARA,Delisted
1132,SIA/OR/MIN/55877/2020,To be assigned,Orissa,Ganjam,Purusottampur,Date of Submission : 23 Aug 2020,No Date,Non-Coal Mining,TAHASILDAR POLASARA,Delisted
1133,SIA/OR/MIN/55873/2020,To be assigned,Orissa,Ganjam,Purusottampur,Date of Submission : 23 Aug 2020,No Date,Non-Coal Mining,TAHASILDAR POLASARA,Delisted
1134,SIA/OR/MIN/55874/2020,To be assigned,Orissa,Ganjam,Purusottampur,Date of Submission : 23 Aug 2020,No Date,Non-Coal Mining,TAHASILDAR POLASARA,Delisted
1135,SIA/OR/MIN/55875/2020,To be assigned,Orissa,Ganjam,Purusottampur,Date of Submission : 23 Aug 2020,No Date,Non-Coal Mining,TAHASILDAR POLASARA,Delisted
1136,SIA/OR/MIN/59702/2021,59702/63-MINB1/01-2021,Orissa,Anugul,Banarpal,Date of Submission : 05 Feb 2021,Date of TOR Granted : 22 Mar 2021,Non-Coal Mining,"TAHASILDAR, BANARPAL",TOR Granted
1137,SIA/OR/MIN/28730/2018,28730/24-NCMB1/08-2018,Orissa,Kalahandi,Kesinga,Date of Submission : 29 Aug 2018,Date of TOR Granted : 30 Nov 2018,Non-Coal Mining,SRI BIJAY KUMAR BANSAL,TOR Granted
1138,SIA/OR/MIN/28734/2018,28734/23-NCMB1/08-2018,Orissa,Rayagada,Bishamakatak,Date of Submission : 29 Aug 2018,Date of TOR Granted : 30 Nov 2018,Non-Coal Mining,SRI BIJAY KUMAR BANSAL,TOR Granted
1139,SIA/OR/IND2/29127/2018,29127/554-IND2/09-2018,Orissa,Mayurbhanj,Baripada Sadar,Date of Submission : 22 Sep 2018,No Date,Industrial Projects - 2,NIROJ KUMAR GUPTA,Delisted
1140,SIA/OR/IND2/29136/2018,29136/548-IND2/09-2018,Orissa,Mayurbhanj,Baripada Sadar,Date of Submission : 22 Sep 2018,No Date,Industrial Projects - 2,NIROJ KUMAR GUPTA,MoveToTORtoEC
1141,SIA/OR/IND2/29141/2018,29141/570-IND2/10-2018,Orissa,Mayurbhanj,Khunta,Date of Submission : 30 Oct 2018,No Date,Industrial Projects - 2,ANTARYAMI BEHERA,Delisted
1142,SIA/OR/IND2/29142/2018,29142/550-IND2/09-2018,Orissa,Mayurbhanj,Khunta,Date of Submission : 22 Sep 2018,No Date,Industrial Projects - 2,PARAMESWAR SAHU,Rejected - Processed offline
1143,SIA/OR/IND2/29143/2018,29143/551-IND2/09-2018,Orissa,Mayurbhanj,Baripada Sadar,Date of Submission : 22 Sep 2018,No Date,Industrial Projects - 2,RAJESH KUMAR BEHERA,MoveToTORtoEC
1144,SIA/OR/MIN/29151/2018,To be assigned,Orissa,Koraput,Nandapur,Date of Submission : 21 Sep 2018,No Date,Non-Coal Mining,DAMBARUDHAR RAMSING,Delisted
1145,SIA/OR/IND2/29026/2018,29026/535-IND2/09-2018,Orissa,Mayurbhanj,Karanjia,Date of Submission : 21 Sep 2018,No Date,Industrial Projects - 2,NARENDRA KUMAR GUPTA,MoveToTORtoEC
1146,SIA/OR/MIN/10419/2016,10419/1646-NCM/05-2016,Orissa,Dhenkanal,Dhenkanal Sadar,Date of Submission : 04 May 2016,Date of TOR Granted : 30 Nov 2016,Non-Coal Mining,MAHESH PRASAD MISHRA,TOR Granted - Processed offline
1147,SIA/OR/MIN/59072/2020,To be assigned,Orissa,Sonapur,Tarbha,Date of Submission : 11 Dec 2020,No Date,Non-Coal Mining,NAROTTAM MOHANTY,Delisted
1148,SIA/OR/IND/28311/2018,To be assigned,Orissa,Khordha,Begunia,Date of Submission : 19 Jul 2018,No Date,Industrial Projects - 1,Pawan Kumar Gupta,Delisted
1149,SIA/OR/MIN/3496/2015,3496/1121-NCM/01-2016,Orissa,Kendujhar,Kendujhar Sadar,Date of Submission : 11 Jan 2016,No Date,Non-Coal Mining,AJAYA KUMAR MISHRA,Delisted
1150,SIA/OR/MIN/4322/2015,SEIAA/4322/839-NCM/11-2015,Orissa,Sundargarh,Banei,Date of Submission : 18 Nov 2015,Date of TOR Granted : 25 Jan 2016,Non-Coal Mining,BIKASH KUMAR SAHU,TOR Granted - Processed offline
1151,SIA/OR/MIN/5273/2015,SEIAA/5273/930-NCM/12-2015,Orissa,Kendujhar,Ghasipura,Date of Submission : 19 Dec 2015,No Date,Non-Coal Mining,RAJENDRA SWAIN,Delisted
1152,SIA/OR/MIN/28926/2018,28926/15-NCP-V/09-2018,Orissa,Jajpur,Sukinda,Date of Submission : 07 Sep 2018,Date of TOR Granted : 14 Dec 2018,Non-Coal Mining,JINDAL STAINLESS LIMITED,TOR Granted - Processed offline
1153,SIA/OR/IND2/28950/2018,28950/534-IND2/09-2018,Orissa,Rayagada,Kashipur,Date of Submission : 06 Sep 2018,Date of TOR Granted : 07 Dec 2019,Industrial Projects - 2,MS SHIW PRASAD SAHU AND SONS,TOR Granted
1154,SIA/OR/IND2/28968/2018,28968/559-IND2/09-2018,Orissa,Boudh,Kantamal,Date of Submission : 22 Sep 2018,No Date,Industrial Projects - 2,KRUSHNA CHANDRA SAHU,MoveToTORtoEC
1155,SIA/OR/MIN/28969/2018,To be assigned,Orissa,Sundargarh,Rajagangapur,Date of Submission : 12 Sep 2018,No Date,Non-Coal Mining,BD PATNAIK MINERALS PRIVATE LIMITED,Delisted
1156,SIA/OR/MIN/19916/2017,19916/1898-NCM/07-2017,Orissa,Kandhamal,Tikabali,Date of Submission : 22 Jul 2017,Date of TOR Granted : 06 Dec 2017,Non-Coal Mining,JAGBANDHU SAMALA,TOR Granted
1157,SIA/OR/MIN/5341/2015,SEIAA/5341/948-NCM/12-2015,Orissa,Bargarh,Gaisilet,Date of Submission : 22 Dec 2015,Date of TOR Granted : 30 Jan 2016,Non-Coal Mining,MANOJ KUMAR SAHU,TOR Granted - Processed offline
1158,SIA/OR/MIN/5342/2015,SEIAA/5342/947-NCM/12-2015,Orissa,Debagarh,Debagarh,Date of Submission : 22 Dec 2015,Date of TOR Granted : 30 Jan 2016,Non-Coal Mining,YOGESH KUMAR LATH,TOR Granted - Processed offline
1159,SIA/OR/MIN/9133/2016,9133/1196-NCM/01-2016,Orissa,Boudh,Kantamal,Date of Submission : 18 Jan 2016,No Date,Non-Coal Mining,SRIBANTA KUMAR MISHRA,Delisted
1160,SIA/OR/MIN/55807/2020,55807/33-MINB1/09-2020,Orissa,Kendujhar,Barbil,Date of Submission : 16 Sep 2020,Date of TOR Granted : 15 Jan 2021,Non-Coal Mining,TATA STEEL BSL LIMITED,TOR Granted
1161,SIA/OR/MIN/56321/2020,To be assigned,Orissa,Kalahandi,Lanjigarh,Date of Submission : 17 Sep 2020,No Date,Non-Coal Mining,JAY MINERALS,Delisted
1162,SIA/OR/MIN/5070/2015,To be assigned,Orissa,Ganjam,Purusottampur,Date of Submission : 04 Mar 2016,No Date,Non-Coal Mining,LAXMINRUSINGHAPUR ROAD METAL QUARRY,Delisted
1163,SIA/OR/MIN/11090/2016,To be assigned,Orissa,Kandhamal,Raikia,Date of Submission : 16 Apr 2016,No Date,Non-Coal Mining,SANTOSH KU PRADHAN,Delisted
1164,SIA/OR/MIS/2671/2015,To be assigned,Orissa,Cuttack,Tigiria,Date of Submission : 01 Oct 2015,No Date,INFRA-2,SRI JYAFAT KHAN,Delisted
1165,SIA/OR/IND2/29635/2018,29635/565-IND2/10-2018,Orissa,Ganjam,Bhanjanagar,Date of Submission : 30 Oct 2018,No Date,Industrial Projects - 2,SANJAYA PRASAD,MoveToTORtoEC
1166,SIA/OR/MIN/28460/2018,28460/22-NCMB1/07-2018,Orissa,Balangir,Belpara,Date of Submission : 29 Jul 2018,Date of TOR Granted : 01 Nov 2018,Non-Coal Mining,ANTARYAMI MISHRA,TOR Granted
1167,SIA/OR/IND2/28435/2018,28435/536-IND2/09-2018,Orissa,Mayurbhanj,Karanjia,Date of Submission : 22 Sep 2018,No Date,Industrial Projects - 2,NARENDRA KUMAR GUPTA,Delisted
1168,SIA/OR/IND/59532/2020,59532/21-IND/08-2021,Orissa,Jajpur,Danagadi,Date of Submission : 11 Aug 2021,Date of TOR Granted : 29 Sep 2021,Industrial Projects - 1,JSW CEMENT LTD,TOR Granted
1169,SIA/OR/MIN/28491/2018,28491/2010-NCM/08-2018,Orissa,Jharsuguda,Kolabira,Date of Submission : 02 Aug 2018,No Date,Non-Coal Mining,KALACHAND SAHOO,MoveToTORtoEC
1170,SIA/OR/MIN/8737/2016,8737/1367-NCM/01-2016,Orissa,Jajpur,Dharmasala,Date of Submission : 31 Jan 2016,No Date,Non-Coal Mining,DIGAMBERPUR SAND QUARRY,Delisted
1171,SIA/OR/MIN/28690/2018,28690/2013-NCM/08-2018,Orissa,Ganjam,Chhatrapur,Date of Submission : 29 Aug 2018,No Date,Non-Coal Mining,SRIKANT KUMAR PANDA,Delisted
1172,SIA/OR/IND2/21600/2018,To be assigned,Orissa,Kalahandi,Junagarh,Date of Submission : 15 Jan 2018,No Date,Industrial Projects - 2,MAIN OUT STILL SHOP JUNAGARH,Delisted
1173,SIA/OR/MIN/17433/2016,17433/1721-NCM/10-2016,Orissa,Kandhamal,Phulabani,Date of Submission : 14 Oct 2016,No Date,Non-Coal Mining,SUJIT KUMAR DASH,Rejected - Processed offline
1174,SIA/OR/IND2/19521/2017,To be assigned,Orissa,Ganjam,Hinjili,Date of Submission : 16 Jun 2017,No Date,Industrial Projects - 2,MAIN OUT STILL LIQUOR SHOP DURBANDHA,Delisted
1175,SIA/OR/IND2/28984/2018,28984/529-IND2/09-2018,Orissa,Sundargarh,Sundargarh,Date of Submission : 19 Sep 2018,No Date,Industrial Projects - 2,KISHORE CHANDRA DASH,MoveToTORtoEC
1176,SIA/OR/MIN/28675/2018,To be assigned,Orissa,Nuapada,Khariar,Date of Submission : 08 Sep 2018,No Date,Non-Coal Mining,PAWAN KUMAR AGRAWAL KHARIAR,Delisted
1177,SIA/OR/MIN/56165/2020,56165/28-MINB1/09-2020,Orissa,Rayagada,Muniguda,Date of Submission : 04 Sep 2020,Date of TOR Granted : 01 Jan 1900,Non-Coal Mining,M/S HINDUSTAN MINERALS INDUSTRIES,TOR Granted
1178,SIA/OR/MIN/61735/2021,61735/139-MINB1/03-2021,Orissa,Jagatsinghapur,Jagatsinghapur,Date of Submission : 11 Mar 2021,Date of TOR Granted : 04 Oct 2021,Non-Coal Mining,"TAHASILDAR, JAGATSINGHPUR",TOR Granted
1179,SIA/OR/IND2/29039/2018,29039/541-IND2/09-2018,Orissa,Mayurbhanj,Udala,Date of Submission : 22 Sep 2018,No Date,Industrial Projects - 2,MANAS KUMAR MOHANTY,MoveToTORtoEC
1180,SIA/OR/IND2/29041/2018,29041/542-IND2/09-2018,Orissa,Mayurbhanj,Tiringi,Date of Submission : 22 Sep 2018,No Date,Industrial Projects - 2,MANAS KUMAR MOHANTY,MoveToTORtoEC
1181,SIA/OR/MIN/28920/2018,28920/19-NCM-V/11-2018,Orissa,Kendujhar,Barbil,Date of Submission : 20 Nov 2018,Date of TOR Granted : 01 Dec 2019,Non-Coal Mining,TARINI MINERALS PVT LTD,TOR Granted
1182,SIA/OR/MIN/10405/2016,10405/1583-NCM/04-2016,Orissa,Rayagada,Muniguda,Date of Submission : 08 Apr 2016,Date of TOR Granted : 12 Sep 2016,Non-Coal Mining,RATANLAL JAIN,TOR Granted - Processed offline
1183,SIA/OR/NCP/11426/2016,11426/08-NCP/05-2016,Orissa,Khordha,Khordha,Date of Submission : 10 May 2016,No Date,INFRA-1,GA DEPARTMENT GOVT OF ODISHA,Delisted
1184,SIA/OR/MIN/11889/2016,11889/1690-NCM/08-2016,Orissa,Kendrapara,Kendrapara,Date of Submission : 23 Aug 2016,Date of TOR Granted : 31 Oct 2016,Non-Coal Mining,MANAS DAS,TOR Granted - Processed offline
1185,SIA/OR/IND2/12183/2016,12183/09-IND/05-2016,Orissa,Khordha,Jatani,Date of Submission : 20 May 2016,Date of TOR Granted : 24 Sep 2016,Industrial Projects - 2,Hindustan Petroleum Corporation Limited ,TOR Granted - Processed offline
1186,SIA/OR/IND2/28911/2018,28911/533-IND2/09-2018,Orissa,Rayagada,Kalyanasingpur,Date of Submission : 05 Sep 2018,Date of TOR Granted : 07 Dec 2019,Industrial Projects - 2,MS SHIW PRASAD SAHU AND SONS,TOR Granted
1187,SIA/OR/MIN/28916/2018,To be assigned,Orissa,Kendujhar,Barbil,Date of Submission : 10 Apr 2018,No Date,Non-Coal Mining,M/s Dr. Sarojini Pradhan,Delisted
1188,SIA/OR/MIN/53227/2020,53227/17-MINB1/05-2020,Orissa,Jharsuguda,Laikera,Date of Submission : 26 May 2020,Date of TOR Granted : 01 Jan 1900,Non-Coal Mining,PUSHPAK KUMAR NAIK,TOR Granted
1189,SIA/OR/IND2/49489/2020,49489/63-IND2/01-2020,Orissa,Dhenkanal,Parajang,Date of Submission : 06 Jan 2020,No Date,Industrial Projects - 2,PRAKASHKUMAR SAHOO,Rejection Letter Granted
1190,SIA/OR/IND2/48406/2019,48406/55-IND2/12-2019,Orissa,Jharsuguda,Jharsuguda,Date of Submission : 16 Dec 2019,No Date,Industrial Projects - 2,GOPAL PRASAD SAHU,Rejection Letter Granted
1191,SIA/OR/IND2/48407/2019,48407/56-IND2/12-2019,Orissa,Jharsuguda,Jharsuguda,Date of Submission : 16 Dec 2019,No Date,Industrial Projects - 2,GOPAL PRASAD SAHU,Rejection Letter Granted
1192,SIA/OR/MIN/3376/2015,SEIAA/3376/849-NCM/11-2015,Orissa,Kendujhar,Telkoi,Date of Submission : 25 Nov 2015,Date of TOR Granted : 25 Jan 2016,Non-Coal Mining,SOUMYA RANJAN PAHI,TOR Granted - Processed offline
1193,SIA/OR/MIN/3792/2015,SEIAA/3792/816-NCM/11-2015,Orissa,Dhenkanal,Parajang,Date of Submission : 02 Nov 2015,Date of TOR Granted : 25 Jan 2016,Non-Coal Mining,ORISSA BIODIESEL JATROPHA PVT LTD,TOR Granted - Processed offline
1194,SIA/OR/MIN/10926/2016,10926/1607-NCM/04-2016,Orissa,Jharsuguda,Jharsuguda,Date of Submission : 21 Apr 2016,No Date,Non-Coal Mining,MANMOHAN SHARMA,Delisted
1195,SIA/OR/MIN/10927/2016,10927/1567-NCM/04-2016,Orissa,Balangir,Titlagarh,Date of Submission : 06 Apr 2016,Date of TOR Granted : 24 Jan 2017,Non-Coal Mining,KHOLAN RIVER SAND QUARRY,TOR Granted - Processed offline
1196,SIA/OR/MIN/10928/2016,To be assigned,Orissa,Sambalpur,Kochinda,Date of Submission : 06 Apr 2016,No Date,Non-Coal Mining,TUNU MEHER TAHASILDAR KUCHINDA,Delisted
1197,SIA/OR/MIN/4317/2015,SEIAA/4317/838-NCM/11-2015,Orissa,Sambalpur,Kochinda,Date of Submission : 18 Nov 2015,Date of TOR Granted : 25 Jan 2016,Non-Coal Mining,MANOJ KUMAR AWASTHY,TOR Granted - Processed offline
1198,SIA/OR/NCP/28277/2018,28277/38-NCP/07-2018,Orissa,Khordha,Khordha,Date of Submission : 19 Jul 2018,Date of TOR Granted : 01 Nov 2018,INFRA-1,Z ESTATE PRIVATE LIMTED,TOR Granted
1199,SIA/OR/IND2/28313/2018,To be assigned,Orissa,Sundargarh,Bisra,Date of Submission : 19 Jul 2018,No Date,Industrial Projects - 2,SANJAY KUMAR JAISWAL,Delisted
1200,SIA/OR/IND2/29693/2018,29693/566-IND2/10-2018,Orissa,Ganjam,Badagada,Date of Submission : 30 Oct 2018,No Date,Industrial Projects - 2,RANKA SAHU,MoveToTORtoEC
1201,SIA/OR/MIN/28678/2018,28678/2014-NCM/08-2018,Orissa,Ganjam,Chhatrapur,Date of Submission : 25 Aug 2018,No Date,Non-Coal Mining,SRIKANTA KUMAR PANDA,Delisted
1202,SIA/OR/MIN/59873/2021,59873/62-MINB1/01-2021,Orissa,Ganjam,Hinjili,Date of Submission : 19 Jan 2021,Date of TOR Granted : 17 Feb 2021,Non-Coal Mining,SUNIL KUMAR SAHU,TOR Granted
1203,SIA/OR/IND2/27910/2018,27910/467-IND2/06-2018,Orissa,Kalahandi,Kegaon,Date of Submission : 26 Jun 2018,No Date,Industrial Projects - 2,RAJESHKUMAR SAHU,MoveToTORtoEC
1204,SIA/OR/IND2/27911/2018,27911/466-IND2/06-2018,Orissa,Sundargarh,Lahunipara,Date of Submission : 26 Jun 2018,No Date,Industrial Projects - 2,KISHORE CHANDRA DASH,Rejected - Processed offline
1205,SIA/OR/IND2/27912/2018,27912/468-IND2/06-2018,Orissa,Kalahandi,Kegaon,Date of Submission : 26 Jun 2018,No Date,Industrial Projects - 2,RAJESHKUMAR SAHU,MoveToTORtoEC
1206,SIA/OR/IND2/28962/2018,28962/558-IND2/09-2018,Orissa,Boudh,Kantamal,Date of Submission : 22 Sep 2018,No Date,Industrial Projects - 2,KRUSHNA CHANDRA SAHU,MoveToTORtoEC
1207,SIA/OR/IND2/29072/2018,29072/546-IND2/09-2018,Orissa,Mayurbhanj,Bahalda,Date of Submission : 22 Sep 2018,No Date,Industrial Projects - 2,MANMATH KUMAR BINDHANI,MoveToTORtoEC
1208,SIA/OR/MIN/47511/2019,To be assigned,Orissa,Jajpur,Sukinda,Date of Submission : 04 Dec 2019,No Date,Non-Coal Mining,CHROME SAGAR,Delisted
1209,SIA/OR/IND2/29048/2018,29048/545-IND2/09-2018,Orissa,Mayurbhanj,Bisoi,Date of Submission : 22 Sep 2018,No Date,Industrial Projects - 2,SUSIL KUMAR SAHU,Rejected - Processed offline
1210,SIA/OR/MIN/28921/2018,28921/16-NCM-V/11-2018,Orissa,Sundargarh,Koida,Date of Submission : 02 Nov 2018,Date of TOR Granted : 14 Dec 2018,Non-Coal Mining,PAWAN KUMAR AHLUWALIA,TOR Granted - Processed offline
1211,SIA/OR/IND2/29808/2018,29808/573-IND2/11-2018,Orissa,Ganjam,Hinjili,Date of Submission : 10 Nov 2018,Date of TOR Granted : 14 Dec 2018,Industrial Projects - 2,DURGAMADHAB SAHU,TOR Granted - Processed offline
1212,SIA/OR/MIN/56193/2020,56193/27-MINB1/09-2020,Orissa,Rayagada,Muniguda,Date of Submission : 04 Sep 2020,No Date,Non-Coal Mining,M/S HINDUSTAN MINERALS INDUSTRIES,Delisted
1213,SIA/OR/MIN/61167/2021,61167/94-MINB1/02-2021,Orissa,Balasore,Jaleswar,Date of Submission : 24 Feb 2021,Date of TOR Granted : 11 May 2021,Non-Coal Mining,SUSANTA KUMAR SAHOO,TOR Granted
