,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
87,SIA/AS/MIN/252136/2022,SEIAA.2010/2022,Assam,West Karbi Anglong,Amri,Date of Submission for EC: 30 Mar 2022 ,Date of Ec Granted : 11 Nov 2022,Non-Coal Mining,CI EM HANSE,EC Granted
88,SIA/AS/MIN/252605/2022,,Assam,Darrang,Sipajhar,Date of Submission for TOR: ,Date of Submission for EC: 24 Jan 2022 ,Non-Coal Mining,MOHD RAHMAN,Delisted
89,SIA/AS/MIN/261120/2022,SEIAA.2038/2022,Assam,Jorhat,Jorhat East,Date of Submission for EC: 11 Mar 2022 ,Date of Ec Granted : 13 May 2022,Non-Coal Mining, ANUPAM NIRMAN PRIVATE LIMITED,EC Granted
90,SIA/AS/MIN/172393/2020,,Assam,Karbi Anglong,Phuloni,Date of Submission for TOR: ,Date of Submission for EC: 11 Sep 2020 ,Non-Coal Mining,KAMINI RONGPHARPI,Delisted
91,SIA/AS/MIN/143628/2020,,Assam,Sonitpur,Tezpur,Date of Submission for TOR: ,Date of Submission for EC: 18 Feb 2020 ,Non-Coal Mining,M/S. S.P. SINGLA CONSTRUCTIONS PVT. LTD,WithdrawEC
92,SIA/AS/MIS/143822/2020,SEIAA.1360/2020,Assam,Dibrugarh,Dibrugarh West,Date of Submission for EC: 18 Feb 2020 ,Date of Ec Granted : 22 Oct 2020,INFRA-2,DAYANANDA BORGOHAIN,EC Granted
93,SIA/AS/MIN/237180/2021,SEIAA.1906/2021,Assam,Kamrup,North Guwahati,Date of Submission for EC: 03 Nov 2021 ,Date of Ec Granted : 29 Jan 2022,Non-Coal Mining,HARDEEP DAS,EC Granted
94,SIA/AS/MIN/235731/2021,,Assam,Goalpara,Balijana,Date of Submission for TOR: ,Date of Submission for EC: 25 Oct 2021 ,Non-Coal Mining,MD. AJMAL HOQUE,Delisted
95,SIA/AS/MIN/283676/2022,SEIAA. 3086/2022,Assam,Kamrup,Dispur,Date of Submission for EC: 15 Jul 2022 ,Date of Ec Granted : 09 Feb 2023,Non-Coal Mining,SRI. DILIP CHANDRA GOSWAMI,EC Granted
96,SIA/AS/MIN/144076/2020,SEIAA .1235 / 2020,Assam,Dhubri,Dhubri,Date of Submission for EC: 19 Feb 2020 ,Date of Ec Granted : 05 Sep 2020,Non-Coal Mining,JOYDEEP ROY,EC Granted
97,SIA/AS/MIS/144284/2020,,Assam,West Karbi Anglong,Diphu,Date of Submission for TOR: ,Date of Submission for EC: 20 Feb 2020 ,INFRA-2,SUMANGAL SINGH,Delisted
98,SIA/AS/MIS/141819/2020,,Assam,Dibrugarh,Dibrugarh East,Date of Submission for TOR: ,Date of Submission for EC: 09 Feb 2020 ,INFRA-2,A.D.K. BRICK FIELD,Delisted
99,SIA/AS/MIS/141979/2020,SEIAA.1258/2020,Assam,Dhubri,Chapar,Date of Submission for EC: 13 Oct 2020 ,Date of Ec Granted : 25 Feb 2021,INFRA-2,M/S BIJOY BRICKS,EC Granted
100,SIA/AS/MIN/259363/2022,,Assam,Dhubri,Chapar,Date of Submission for TOR: ,Date of Submission for EC: 03 Mar 2022 ,Non-Coal Mining,CHAN SHEIKH,Delisted
101,SIA/AS/MIN/281600/2022,SEIAA. 3063/2022,Assam,West Karbi Anglong,Rongkhang,Date of Submission for EC: 04 Jul 2022 ,Date of Ec Granted : 09 Sep 2022,Non-Coal Mining,SARKIRI BEY,EC Granted
102,SIA/AS/MIS/115891/2019,,Assam,Marigaon,Mayong,Date of Submission for EC: 27 Aug 2019 ,Date of Ec Granted : 01 Feb 2020,INFRA-2,SIMPLEX SOM DATT BUILDERS JV,EC Granted - Processed offline
103,SIA/AS/MIN/126782/2019,,Assam,Dhubri,Dhubri,Date of Submission for EC: 22 Nov 2019 ,Date of Ec Granted : 29 Feb 2020,Non-Coal Mining,KADER ALI,EC Granted - Processed offline
104,SIA/AS/MIN/126260/2019,,Assam,Cachar,Lakhipur,Date of Submission for EC: 20 Nov 2019 ,Date of Ec Granted : 29 Feb 2020,Non-Coal Mining,ISPAKUL HOQUE BORBHUIYA,EC Granted - Processed offline
105,SIA/AS/MIN/187807/2020,SEIAA.1682/2021,Assam,Kamrup,Palasbari,Date of Submission for TOR: ,Date of Submission for EC: 11 Nov 2021 ,Non-Coal Mining,M/S SBI BRICKS,Delisted
106,SIA/AS/MIN/198811/2021,,Assam,Kamrup,Sonapur,Date of Submission for TOR: ,Date of Submission for EC: 18 Feb 2021 ,Non-Coal Mining,SRI. DHAN BEY,Delisted
107,SIA/AS/MIN/199046/2021,,Assam,Karbi Anglong,Diphu,Date of Submission for TOR: ,Date of Submission for EC: 19 Feb 2021 ,Non-Coal Mining,REKHA ENGTIPI,WithdrawEC
108,SIA/AS/MIN/196821/2021,,Assam,Karbi Anglong,Diphu,Date of Submission for TOR: ,Date of Submission for EC: 18 Feb 2022 ,Non-Coal Mining,THONG TERON,Delisted
109,SIA/AS/MIN/232195/2021,SEIAA.1869/2021,Assam,Dhemaji,Jonai,Date of Submission for EC: 30 Sep 2021 ,Date of Ec Granted : 23 Nov 2021,Non-Coal Mining,SRI. BIJU KUMBANG,EC Granted
