,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
61,SIA/GA/MIN/227941/2021,GA/EC/0027/2021,Goa,North Goa,Bardez,Date of Submission for TOR: ,Date of Submission for EC: 06 Sep 2021 ,Non-Coal Mining,"DISTRICT COLLECTOR, NORTH GOA",Delisted
62,SIA/GA/MIN/411455/2022,GA/EC/0084/2022,Goa,,,Date of Submission for EC: 21 Dec 2022 ,Date of Ec Granted : 10 May 2023,Non-Coal Mining, OM METALS,EC Granted
63,SIA/GA/NCP/73331/2018,,Goa,North Goa,Tiswadi,Date of Submission for EC: 05 Mar 2018 ,Date of Ec Granted : 06 Nov 2018,INFRA-1,NAIKNAVARE CONSTRUCTION PVT LTD,EC Granted - Processed offline
64,SIA/GA/MIN/429003/2023,97/3/2022-23/GSEIAA/Project-Prop/,Goa,,,Date of Submission for EC: 12 May 2023 ,Date of Ec Granted : 21 Jul 2023,Non-Coal Mining,SHRIRAM KAMAT,EC Granted
65,SIA/GA/MIN/433734/2023,135/3/2023-24/GSEIAA/Project-Prop,Goa,,,Date of Submission for TOR: ,Date of Submission for EC: 20 Jun 2023 ,Non-Coal Mining,PRASHANT RANE,Accepted by SEIAA and forwarded to SEAC
66,SIA/GA/MIN/432237/2023,127/3/2023-24/GSEIAA/Project-Prop,Goa,,,Date of Submission for TOR: ,Date of Submission for EC: 10 Jun 2023 ,Non-Coal Mining,LALITA PRABHU DESAI,Accepted by SEIAA and forwarded to SEAC
67,SIA/GA/INFRA2/433474/2023,131/3/2023-24/GSEIAA/Project-Prop,Goa,,,Date of Submission for TOR: ,Date of Submission for EC: 16 Jun 2023 ,INFRA-2, HERITAGE PRINCES REAL ESTATE DEVELOPERS,Accepted by SEIAA and forwarded to SEAC
68,SIA/GA/MIN/411678/2023,GA/EC/0087/2022,Goa,,,Date of Submission for TOR: ,Date of Submission for EC: 06 Jan 2023 ,Non-Coal Mining, THE DIRECTOR OF MINES,Deferred by SEIAA
69,SIA/GA/MIS/205528/2021,GA/EC/0005/2021,Goa,North Goa,Pernem,Date of Submission for TOR: ,Date of Submission for EC: 27 Jan 2022 ,INFRA-2,M/S ALL INDIA INSTITUTE OF AYURVEDA AIIA,WithdrawEC
70,SIA/GA/MIN/411678/2023,GA/EC/0087/2022,Goa,,,Date of Submission for TOR: ,Date of Submission for EC: 06 Jan 2023 ,Non-Coal Mining, THE DIRECTOR OF MINES,Deferred by SEIAA
71,SIA/GA/MIS/209338/2021,GA/EC/0010/2021,Goa,North Goa,Tiswadi,Date of Submission for TOR: ,Date of Submission for EC: 02 Aug 2021 ,INFRA-2,ALCON CONSTRUCTION (GOA) PVT.LTD,WithdrawEC
72,SIA/GA/MIN/227491/2021,,Goa,North Goa,Bardez,Date of Submission for TOR: ,Date of Submission for EC: 02 Sep 2021 ,Non-Coal Mining,"DEPARTMENT OF ENVIRONMENT & CLIMATE CHANGE, GOA",WithdrawEC
73,SIA/GA/MIS/282752/2022,GA/EC/0066/2022,Goa,South Goa,Mormugao,Date of Submission for EC: 19 Aug 2022 ,Date of Ec Granted : 09 Nov 2022,INFRA-2, PRABHU REALTORS,EC Granted
74,SIA/GA/MIS/71452/2017,,Goa,North Goa,Bardez,Date of Submission for EC: 06 Dec 2017 ,Date of Ec Granted : 27 Mar 2018,INFRA-2,HSCC (INDIA) LIMITED,EC Granted - Processed offline
75,SIA/GA/INFRA2/415433/2023,55/2/2021-22/GSEIAA/Project-Prop/Part-I,Goa,,,Date of Submission for TOR: ,Date of Submission for EC: 23 Jan 2023 ,INFRA-2,PALACIO PROPERTY DEVELOPERS PVT. LTD.,Awaiting EC
76,SIA/GA/IND/59156/2020,,Goa,South Goa,Sanguem,Date of Submission for TOR: ,Date of Submission for EC: 16 Dec 2020 ,Industrial Projects - 1,DR. PRAFULLA R.HEDE,DELETE
77,SIA/GA/MIN/217714/2021,GA/EC/0014/2021,Goa,North Goa,Satari,Date of Submission for TOR: ,Date of Submission for EC: 03 Jul 2021 ,Non-Coal Mining,B. G. JOSHI,Delisted
78,SIA/GA/MIS/121537/2019,,Goa,North Goa,Pernem,Date of Submission for TOR: ,Date of Submission for EC: 18 Oct 2019 ,INFRA-2,ALL INDIA INSTITUTE OF AYURVEDA (AIIA),Delisted
79,SIA/GA/MIS/289614/2022,GA/EC/0067/2022,Goa,North Goa,Ponda,Date of Submission for EC: 30 Aug 2022 ,Date of Ec Granted : 10 Feb 2023,INFRA-2,TUSHAR USGAONKAR,EC Granted
80,SIA/GA/MIN/412848/2023,GA/EC/0088/2022,Goa,,,Date of Submission for TOR: ,Date of Submission for EC: 03 Jan 2023 ,Non-Coal Mining, THE DIRECTOR OF MINES,Deferred by SEIAA
81,SIA/GA/MIN/412918/2023,GA/EC/0090/2022,Goa,,,Date of Submission for TOR: ,Date of Submission for EC: 02 Mar 2023 ,Non-Coal Mining,SHRIRAM KAMAT,SEAC Meeting Cancelled have to be considered for next Agenda
82,SIA/GA/MIN/225548/2021,GA/EC/0028/2021,Goa,North Goa,Ponda,Date of Submission for TOR: ,Date of Submission for EC: 27 Sep 2021 ,Non-Coal Mining,B. G. JOSHI,WithdrawEC
83,SIA/GA/MIN/227683/2021,GA/EC/0022/2021,Goa,North Goa,Pernem,Date of Submission for EC: 03 Sep 2021 ,Date of Ec Granted : 12 Oct 2021,Non-Coal Mining,"DISTRICT COLLECTOR, NORTH GOA",EC Granted
