,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link,Timeline
863,SIA/KA/MIS/167816/2020,,Proposed Residential Apartment project by M/s. Sri Mitra Builders & Developers,Karnataka,Bangalore Urban,Bangalore East,Date of Submission for TOR: ,Date of Submission for EC: 13 Aug 2020 ,INFRA-2,M/S. SRI MITRA BUILDERS & DEVELOPERS,WithdrawEC,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/MIS/167816/2020&pid=123086,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIS/167816/2020&type=EC&ID=123086
864,SIA/KA/MIN/63205/2017,,"“Green quartz Quarry” of
Sri M R Umesh
",Karnataka,Chitradurga,Holalkere,Date of Submission for TOR: ,Date of Submission for EC: 16 Mar 2017 ,Non-Coal Mining,SRI M R UMESH OF GREEN QUARTZ QUARRY,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/MIN/63205/2017&pid=34572,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/63205/2017&type=EC&ID=34572
865,SIA/KA/NCP/63424/2017,SEIAA 48 CON 2017,Proposed Residential Building by LGCL Urban Homes (India) LLP,Karnataka,Bangalore Urban,Bangalore East,Date of Submission for EC: 23 Mar 2017 ,Date of Ec Granted : 27 Apr 2017,INFRA-1,LGCL URBAN HOMES INDIA LLP,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/NCP/63424/2017&pid=34665,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/NCP/63424/2017&type=EC&ID=34665
866,SIA/KA/MIN/164253/2020,SEIAA 264 MIN 2020,TOPURAMALIGE BUILDING STONE QUARRY,Karnataka,Chitradurga,Chitradurga,Date of Submission for EC: 26 Jul 2020 ,Date of Ec Granted : 26 Aug 2020,Non-Coal Mining,SRI S.B.ANAND S/O BHEEMAYYA,EC Granted - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/MIN/164253/2020&pid=116309,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/164253/2020&type=EC&ID=116309
867,SIA/KA/MIN/189647/2020,SEIAA 456 MIN 2020,batakurki building stone quarry,Karnataka,Belgaum,Ramdurg,Date of Submission for EC: 31 Dec 2020 ,Date of Ec Granted : 02 Jul 2021,Non-Coal Mining,SHRI SAI STONE INDUSTRIES     SRI YASHAWANT M NALAWADE,EC Granted - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/MIN/189647/2020&pid=152370,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/189647/2020&type=EC&ID=152370
868,SIA/KA/MIS/159662/2020,SEIAA 95 CON 2020,"M/s. Universal Metro Properties LLP,",Karnataka,Bangalore Urban,Bangalore North,Date of Submission for EC: 22 Jun 2020 ,Date of Ec Granted : 13 Aug 2020,INFRA-2,M/S. UNIVERSAL METRO PROPERTIES LLP,EC Granted - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/MIS/159662/2020&pid=114170,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIS/159662/2020&type=EC&ID=114170
869,SIA/KA/NCP/33672/2019,SEIAA 48 CON 2019,Hospital and Allied Health Sciences Project,,,,Date of Submission for EC: 26 Mar 2019 ,Date of Ec Granted : 11 Jun 2019,INFRA-1,MS BANGALORE BAPTIST HOSPITAL,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/NCP/33672/2019&pid=58955,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/NCP/33672/2019&type=EC&ID=58955
870,SIA/KA/MIN/34368/2019,SEIAA 324 MIN 2019,"“Building Stone quarry” over an extent of 1-00 Acres at Sy. No. 308, of K. Honnalagere Village, Maddur Taluk, Mandya District, Karnataka of Sri. Basavegowda",,,,Date of Submission for EC: 07 Apr 2019 ,Date of Ec Granted : 13 Jun 2019,Non-Coal Mining,BASAVEGOWDA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/MIN/34368/2019&pid=58964,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/34368/2019&type=EC&ID=58964
871,SIA/KA/MIN/167207/2020,SEIAA 291 MIN 2020,“Building Stone Quarry” of  M/s. Shivaganga Stone Crusher,Karnataka,Davanagere,Davanagere,Date of Submission for EC: 08 Aug 2020 ,Date of Ec Granted : 04 Sep 2020,Non-Coal Mining,M/S. SHIVAGANGA STONE CRUSHER,EC Granted - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/MIN/167207/2020&pid=121937,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/167207/2020&type=EC&ID=121937
872,SIA/KA/MIS/167410/2020,SEIAA 118 CON 2020,Residential Apartment   project,Karnataka,Bangalore Urban,Anekal,Date of Submission for EC: 10 Aug 2020 ,Date of Ec Granted : 04 Sep 2020,INFRA-2,M/S. ARATT ATLANTIS GREENS LLP,EC Granted - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/MIS/167410/2020&pid=122987,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIS/167410/2020&type=EC&ID=122987
