"","X","Proposal.Number","Project.Name","Project.Sector","Date.of.Submission","Submitted.by.Proponent","Query.for.Shortcoming.if.any..by.SEIAA","Resubmission.of.Proposal.by.Proponent.1","Accepted.by.SEIAA.and.forwarded.to.SEAC","Query.for.Shortcoming.if.any..by.SEAC","Resubmission.of.Proposal.by.Proponent.2","Accepted.by.SEAC","Forwarded.to.SEIAA.for.EC","EC.Letter.Uploaded.On.EC.Granted","Link"
"10580",1238,"SIA/GJ/NCP/68888/2017","High Rise Residential Building Project","INFRA-1","13 Sep 2017","13/09/2017","","","21/09/2017","","","25/09/2017","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/68888/2017&type=EC&ID=38489"
"10581",1239,"SIA/GJ/IND/68110/2017","Pyramid Industries","Industrial Projects - 1","12 Sep 2017","12/09/2017","11/09/2017","12/09/2017","21/09/2017","","","22/09/2017","25/09/2018","01/10/2018","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND/68110/2017&type=EC&ID=38427"
"10582",1240,"SIA/GJ/MIN/49614/2016","Jayeshbhai Bablubhai Chaudhari","Non-Coal Mining","16 Feb 2016","16/02/2016","16/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/49614/2016&type=EC&ID=13414"
"10583",1241,"SIA/GJ/IND2/17183/2016","-1","Industrial Projects - 2","17 Jan 2018","17/01/2018","09/01/2018","17/01/2018","30/01/2018","02/02/2018","02/02/2018","02/02/2018","16/03/2018","04/01/2019","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/17183/2016&type=EC&ID=40716"
"10584",1242,"SIA/GJ/IND2/21573/2017","Proposed expansion project for manufacturing of Synthetic Organic Chemicals from 7 TPM to 18.3 TPM","Industrial Projects - 2","24 Nov 2018","24/11/2018","03/10/2018","24/11/2018","06/12/2018","","","07/12/2018","20/05/2019","04/05/2019","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/21573/2017&type=EC&ID=41962"
"10585",1243,"SIA/GJ/NCP/73923/2018","Corporate Park","INFRA-1","06 Nov 2018","06/11/2018","23/04/2018","06/11/2018","15/11/2018","","","19/11/2018","02/02/2019","04/02/2019","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/73923/2018&type=EC&ID=43178"
"10586",1244,"SIA/GJ/IND2/21137/2017","Meghmani Finechem Ltd.","Industrial Projects - 2","30 Aug 2019","30/08/2019","27/08/2019","30/08/2019","03/09/2019","","","12/09/2019","08/01/2020","29/09/2018","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/21137/2017&type=EC&ID=61391"
"10587",1245,"SIA/GJ/NCP/75405/2018","Rajhans Gold Residency","INFRA-1","13 Jun 2018","13/06/2018","","","20/06/2018","","","22/06/2018","24/09/2018","30/09/2018","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/75405/2018&type=EC&ID=44532"
"10588",1246,"SIA/GJ/IND2/17531/2014","PPG Asian Paints Private Limited","Industrial Projects - 2","12 Oct 2016","12/10/2016","","","14/10/2016","","","18/10/2016","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/17531/2014&type=EC&ID=32121"
"10589",1247,"SIA/GJ/MIN/34303/2015","Prakash K.Gor","Non-Coal Mining","12 Dec 2015","12/12/2015","14/12/2015","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/34303/2015&type=EC&ID=3713"
"10590",1248,"SIA/GJ/MIN/34324/2015","Kadarkhan Abdulshakur Pathan","Non-Coal Mining","14 Dec 2015","14/12/2015","14/12/2015","","15/12/2015","","","17/12/2015","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/34324/2015&type=EC&ID=3733"
"10591",1249,"SIA/GJ/MIN/34488/2015","Jadeja jayendrasinh dajirajji","Non-Coal Mining","14 Dec 2015","14/12/2015","","","15/12/2015","","","18/12/2015","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/34488/2015&type=EC&ID=3879"
"10592",1250,"SIA/GJ/IND2/202245/2021","M/s. Geeta Chemicals(API & Its Intermediates)","Industrial Projects - 2","06 Mar 2021","06/03/2021","","","16/03/2021","","","24/03/2021","07/07/2021","02/07/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/202245/2021&type=EC&ID=172307"
"10593",1251,"SIA/GJ/MIN/49161/2016","Kailashben Dilipsinh Thakor","Non-Coal Mining","12 Feb 2016","12/02/2016","14/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/49161/2016&type=EC&ID=12964"
"10594",1252,"SIA/GJ/MIN/38942/2016","ARVINDBHAI VALLABHBHAI SOLANKI","Non-Coal Mining","08 Jan 2016","08/01/2016","","","11/01/2016","","","11/01/2016","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/38942/2016&type=EC&ID=7977"
"10595",1253,"SIA/GJ/MIN/62888/2017","M/s. Mauni Minerals","Non-Coal Mining","06 Apr 2018","06/04/2018","24/04/2018","06/04/2018","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/62888/2017&type=EC&ID=34380"
"10596",1254,"SIA/GJ/IND2/226195/2021","M/s. Shreechem Industries","Industrial Projects - 2","01 Sep 2021","27/08/2021","30/08/2021","01/09/2021","04/09/2021","","","16/09/2021","09/12/2021","03/03/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/226195/2021&type=EC&ID=190465"
"10597",1255,"SIA/GJ/MIN/50352/2016","Kasanben Bhayjibhai Oad","Non-Coal Mining","24 Feb 2016","24/02/2016","25/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/50352/2016&type=EC&ID=14207"
"10598",1256,"SIA/GJ/MIN/50759/2016","M/S.Building Lime Stone Of
Mohanbhai Arajanbhai Odedara","Non-Coal Mining","29 Feb 2016","29/02/2016","01/03/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/50759/2016&type=EC&ID=14547"
"10599",1257,"SIA/GJ/MIN/51601/2016","Vishram Pachan Vaghela","Non-Coal Mining","14 Mar 2016","14/03/2016","14/03/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/51601/2016&type=EC&ID=15335"
"10600",1258,"SIA/GJ/MIN/35591/2015","Velubha Chatursinh Jadeja","Non-Coal Mining","22 Dec 2015","22/12/2015","","","28/12/2015","","","29/12/2015","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/35591/2015&type=EC&ID=4776"
"10601",1259,"SIA/GJ/MIN/48534/2016","VALA MANISHBHAI VAGHABHAI
04-00-00 HA
(113/05)","Non-Coal Mining","09 Feb 2016","09/02/2016","10/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/48534/2016&type=EC&ID=12362"
"10602",1260,"SIA/GJ/MIN/48146/2016","Vanuba Velubha Chatursinh Jadeja","Non-Coal Mining","06 Feb 2016","06/02/2016","07/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/48146/2016&type=EC&ID=11983"
"10603",1261,"SIA/GJ/MIN/48150/2016","Jethva Kiritsinh Badubha","Non-Coal Mining","06 Feb 2016","06/02/2016","07/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/48150/2016&type=EC&ID=11987"
"10604",1262,"SIA/GJ/MIN/48356/2016","JITENDRABHAI MAGANLAL THUMMAR","Non-Coal Mining","08 Feb 2016","08/02/2016","09/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/48356/2016&type=EC&ID=12189"
"10605",1263,"SIA/GJ/MIS/222556/2021","Bhagwat Enclave – 1 - Proposed Residential cum Commercial Project (High rise)","INFRA-2","15 Sep 2021","31/07/2021","","","25/08/2021","15/09/2021","15/09/2021","29/09/2021","04/12/2021","03/03/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/222556/2021&type=EC&ID=189705"
"10606",1264,"SIA/GJ/IND2/221399/2021","M/s Faluck International","Industrial Projects - 2","25 Sep 2021","23/07/2021","","","23/08/2021","07/09/2021","25/09/2021","27/09/2021","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/221399/2021&type=EC&ID=189509"
"10607",1265,"SIA/GJ/IND2/27873/2018","-1","Industrial Projects - 2","21 Jan 2019","21/01/2019","","","01/02/2019","12/03/2019","01/04/2019","02/04/2019","09/07/2019","19/06/2019","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/27873/2018&type=EC&ID=51985"
"10608",1266,"SIA/GJ/IND/2447/2014","Aditya Coke Pvt Ltd","Industrial Projects - 1","24 Sep 2015","24/09/2015","","","10/12/2015","","","10/12/2015","10/08/2016","30/09/2016","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND/2447/2014&type=EC&ID=1128"
"10609",1267,"SIA/GJ/MIS/107151/2019","Proposed Residential and Commercial","INFRA-2","17 Jun 2019","17/06/2019","13/06/2019","17/06/2019","20/06/2019","","","24/06/2019","09/09/2019","07/09/2019","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/107151/2019&type=EC&ID=56324"
"10610",1268,"SIA/GJ/NCP/75536/2018","Manharbhai Jivanbhai Sanspara(High Rise Residential Building)","INFRA-1","22 Jun 2018","22/06/2018","","","05/07/2018","","","09/07/2018","01/02/2019","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/75536/2018&type=EC&ID=44624"
"10611",1269,"SIA/GJ/MIN/49638/2020","Shri Budhabhai Nayakbhai Rathva","Non-Coal Mining","29 Jun 2021","29/06/2021","","","27/08/2021","","","03/09/2021","","25/05/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/49638/2020&type=EC&ID=188795"
"10612",1270,"SIA/GJ/MIN/52382/2016","Building Lime Stone Mining from the lease of Jethabhai Chhaganbhai Savaniya ","Non-Coal Mining","30 Mar 2016","30/03/2016","05/04/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/52382/2016&type=EC&ID=16003"
"10613",1271,"SIA/GJ/MIS/214591/2021","Synnove Atmosphere","INFRA-2","15 Jun 2021","15/06/2021","19/06/2021","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/214591/2021&type=EC&ID=188235"
"10614",1272,"SIA/GJ/MIS/230405/2021","Atharva Abode","INFRA-2","30 Sep 2021","21/09/2021","","","22/09/2021","30/09/2021","30/09/2021","04/10/2021","27/01/2022","03/03/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/230405/2021&type=EC&ID=191384"
"10615",1273,"SIA/GJ/MIN/66352/2018","M/s Shree Vikram Chemical Co.","Non-Coal Mining","07 Aug 2021","07/08/2021","","","08/09/2021","","","24/09/2021","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/66352/2018&type=EC&ID=189838"
"10616",1274,"SIA/GJ/MIN/30364/2015","Rameshwar Stone Supplier","Non-Coal Mining","27 Aug 2015","27/08/2015","15/09/2015","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/30364/2015&type=EC&ID=537"
"10617",1275,"SIA/GJ/MIN/42200/2016","Ashokbhai.K.Od","Non-Coal Mining","24 Jan 2016","24/01/2016","28/01/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/42200/2016&type=EC&ID=10956"
"10618",1276,"SIA/GJ/MIN/50468/2016","Kamuben Sonubhai Oad","Non-Coal Mining","25 Feb 2016","25/02/2016","25/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/50468/2016&type=EC&ID=14313"
"10619",1277,"SIA/GJ/MIN/37416/2015","Lipsaben Dolatbhai Patel","Non-Coal Mining","31 Dec 2015","31/12/2015","04/01/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/37416/2015&type=EC&ID=6513"
"10620",1278,"SIA/GJ/MIN/80503/2018","Larsen & Toubro Limited (5.02.16 Hect)","Non-Coal Mining","27 Sep 2018","27/09/2018","03/10/2018","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/80503/2018&type=EC&ID=45944"
"10621",1279,"SIA/GJ/MIN/33431/2015","MUMTAZBEN MAHMADBHAI KALADIYA","Non-Coal Mining","11 Jan 2016","11/01/2016","07/01/2016","11/01/2016","16/01/2016","","","25/01/2016","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/33431/2015&type=EC&ID=2860"
"10622",1280,"SIA/GJ/MIN/33434/2015","MUMTAZBEN MAHMADBHAI KALADIYA","Non-Coal Mining","28 Nov 2015","28/11/2015","","","30/11/2015","","","30/11/2015","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/33434/2015&type=EC&ID=2862"
"10623",1281,"SIA/GJ/MIN/48038/2016","Harjivanbhai Kalyanjibhai Kundaria","Non-Coal Mining","05 Feb 2016","05/02/2016","07/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/48038/2016&type=EC&ID=11879"
"10624",1282,"SIA/GJ/MIN/48142/2016","EXISTING ORDINARY SAND MINING PROJECT","Non-Coal Mining","06 Feb 2016","06/02/2016","07/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/48142/2016&type=EC&ID=11979"
"10625",1283,"SIA/GJ/MIN/67536/2017","Tirupati enterprize","Non-Coal Mining","19 Aug 2017","19/08/2017","29/08/2017","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/67536/2017&type=EC&ID=37227"
"10626",1284,"SIA/GJ/NCP/67851/2017","Pavitra Nagari","INFRA-1","04 Oct 2017","04/10/2017","21/09/2017","04/10/2017","17/10/2017","03/11/2017","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/67851/2017&type=EC&ID=37329"
"10627",1285,"SIA/GJ/MIN/59934/2016","JAY RANCHHOD BRICKS Co.","Non-Coal Mining","25 Oct 2016","25/10/2016","","","26/10/2016","","","26/10/2016","31/12/2016","29/12/2016","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/59934/2016&type=EC&ID=32367"
"10628",1286,"SIA/GJ/MIN/59936/2016","Virendrabhai Chhotalal Thakkar","Non-Coal Mining","25 Oct 2016","25/10/2016","26/10/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/59936/2016&type=EC&ID=32368"
"10629",1287,"SIA/GJ/MIN/34845/2015","Haji osman Saad","Non-Coal Mining","17 Dec 2015","17/12/2015","","","19/12/2015","","","19/12/2015","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/34845/2015&type=EC&ID=4143"
"10630",1288,"SIA/GJ/MIN/34874/2015","Farjanabanu M Sindhi","Non-Coal Mining","17 Dec 2015","17/12/2015","","","19/12/2015","","","23/12/2015","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/34874/2015&type=EC&ID=4165"
"10631",1289,"SIA/GJ/MIN/34907/2015","Devanbhai Bhikhanbhai","Non-Coal Mining","18 Dec 2015","18/12/2015","20/12/2015","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/34907/2015&type=EC&ID=4191"
"10632",1290,"SIA/GJ/MIN/42758/2016","ODINARY SAND NEW MINING LEASE PROJECT","Non-Coal Mining","30 Jan 2016","30/01/2016","01/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/42758/2016&type=EC&ID=11474"
"10633",1291,"SIA/GJ/IND2/26020/2017","Cyclo Pharma Chem","Industrial Projects - 2","07 May 2018","07/05/2018","","","16/05/2018","18/05/2018","25/05/2018","12/06/2018","21/11/2018","14/12/2018","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/26020/2017&type=EC&ID=44027"
"10634",1292,"SIA/GJ/NCP/74840/2018","Proposed Construction of ""Residential Building""","INFRA-1","02 May 2018","02/05/2018","","","16/05/2018","","","18/05/2018","09/09/2018","11/09/2018","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/74840/2018&type=EC&ID=43925"
"10635",1293,"SIA/GJ/MIN/35310/2015","A Sand lease of Jayrajsinh K. Gohil at River Ghelo","Non-Coal Mining","30 Dec 2015","30/12/2015","30/12/2015","","02/01/2016","","","06/01/2016","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/35310/2015&type=EC&ID=4526"
"10636",1294,"SIA/GJ/MIN/59857/2016","Ambika Bricks Factory","Non-Coal Mining","20 Oct 2016","20/10/2016","21/10/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/59857/2016&type=EC&ID=32312"
"10637",1295,"SIA/GJ/MIS/203678/2021","Proposed Residential and Commercial Project","INFRA-2","15 Mar 2021","15/03/2021","","","17/03/2021","","","05/04/2021","07/07/2021","02/07/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/203678/2021&type=EC&ID=173692"
"10638",1296,"SIA/GJ/IND2/19985/2017","Modheshwari Industries","Industrial Projects - 2","02 Aug 2017","02/08/2017","","","29/08/2017","01/09/2017","05/09/2017","05/09/2017","27/02/2018","29/01/2019","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/19985/2017&type=EC&ID=37064"
"10639",1297,"SIA/GJ/MIS/113821/2019","Residential Cum  Commercial","INFRA-2","07 Aug 2019","07/08/2019","","","28/08/2019","","","30/08/2019","08/01/2020","16/11/2019","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/113821/2019&type=EC&ID=59273"
"10640",1298,"SIA/GJ/MIN/33700/2015","Building Lime Stone mining project of Khalifa Ashraf Jusab","Non-Coal Mining","02 Dec 2015","02/12/2015","","","04/12/2015","","","04/12/2015","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/33700/2015&type=EC&ID=3061"
"10641",1299,"SIA/GJ/MIS/189633/2020","Residential cum Commercial Project Proposed by Bipin Sohanlal Agarwal-Shivam Developers","INFRA-2","23 Dec 2020","23/12/2020","","","24/12/2020","","","02/01/2021","24/03/2021","19/04/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/189633/2020&type=EC&ID=152367"
"10642",1300,"SIA/GJ/MIS/189794/2020","Residential & Commercial building – ‘Pushkar Hill’ by M/s. Shivam Infra","INFRA-2","24 Dec 2020","24/12/2020","","","27/01/2021","","","02/02/2021","07/07/2021","02/06/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/189794/2020&type=EC&ID=152415"
"10643",1301,"SIA/GJ/IND2/156178/2020","M/s. ABS Industries","Industrial Projects - 2","05 Jun 2020","05/06/2020","","","11/06/2020","","","10/07/2020","31/03/2021","18/03/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/156178/2020&type=EC&ID=111583"
"10644",1302,"SIA/GJ/IND2/166502/2020","M/s Switzer Nutra Care LLP","Industrial Projects - 2","02 Oct 2020","04/08/2020","","","11/08/2020","26/09/2020","02/10/2020","23/11/2020","24/03/2021","11/05/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/166502/2020&type=EC&ID=121766"
"10645",1303,"SIA/GJ/IND2/204455/2021","LYCOS CHEMTECH (UNIT-2)","Industrial Projects - 2","25 Mar 2021","18/03/2021","","","22/03/2021","24/03/2021","25/03/2021","26/03/2021","19/08/2021","14/10/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/204455/2021&type=EC&ID=173897"
"10646",1304,"SIA/GJ/IND2/5022/2015","M/s. Uniform Synthetics (Unit-II)","Industrial Projects - 2","11 Dec 2015","11/12/2015","10/12/2015","","11/12/2015","","","11/12/2015","","29/08/2016","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/5022/2015&type=EC&ID=3580"
"10647",1305,"SIA/GJ/MIN/30049/2015","Building Lime Stone Mine Of Haribhai Raisingbhai  Vala","Non-Coal Mining","17 Dec 2015","17/12/2015","15/09/2015","","18/12/2015","","","18/12/2015","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/30049/2015&type=EC&ID=388"
"10648",1306,"SIA/GJ/MIN/47936/2016","Chhaganlal Ravji Solanki (QL No. 3570)","Non-Coal Mining","04 Feb 2016","04/02/2016","07/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/47936/2016&type=EC&ID=11780"
"10649",1307,"SIA/GJ/MIN/2879/2015","Maruti Metals","Non-Coal Mining","07 Oct 2015","07/10/2015","","","08/10/2015","","","30/10/2015","27/01/2016","30/01/2016","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/2879/2015&type=EC&ID=13657"
"10650",1308,"SIA/GJ/MIN/2884/2015","manali mines","Non-Coal Mining","07 Oct 2015","07/10/2015","","","08/10/2015","","","30/10/2015","27/01/2016","30/01/2016","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/2884/2015&type=EC&ID=13658"
"10651",1309,"SIA/GJ/MIN/53170/2016","Omkar Stone Quarry","Non-Coal Mining","26 Apr 2016","26/04/2016","26/04/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/53170/2016&type=EC&ID=19616"
"10652",1310,"SIA/GJ/MIN/59334/2016","Dhirubhai Manjibhai Hirpara","Non-Coal Mining","07 Aug 2018","07/08/2018","05/07/2018","07/08/2018","14/08/2018","09/10/2018","30/10/2018","02/11/2018","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/59334/2016&type=EC&ID=31896"
"10653",1311,"SIA/GJ/MIN/2101/2015","JASHVANTBHAI NARANBHAI PATEL","Non-Coal Mining","14 Sep 2015","14/09/2015","","","","","","","24/11/2015","30/11/2015","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/2101/2015&type=EC&ID=3438"
"10654",1312,"SIA/GJ/IND2/28468/2018","Uma Pharma Chem","Industrial Projects - 2","30 Apr 2019","30/04/2019","29/04/2019","30/04/2019","07/05/2019","","","13/05/2019","09/09/2019","01/01/1900","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/28468/2018&type=EC&ID=55113"
"10655",1313,"SIA/GJ/MIS/103580/2019","PRADHAN MANTRI AWAS YOJANA","INFRA-2","26 Apr 2019","26/04/2019","","","02/05/2019","","","16/05/2019","09/09/2019","23/08/2019","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/103580/2019&type=EC&ID=55192"
"10656",1314,"SIA/GJ/MIN/67190/2017","TUNDVA DOLOMITE MINE
Lease Area– 6.25 ha.,
Survey   No. 67, 74 & 75,
Near Village – Tundva, Taluka– Chhota Udepur, District -Vadodara
State – Gujarat","Non-Coal Mining","29 Aug 2017","29/08/2017","28/08/2017","29/08/2017","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/67190/2017&type=EC&ID=37075"
"10657",1315,"SIA/GJ/MIN/52098/2016","Project Details-Minor Minerals (Other Than
Sand)@ KUNVARPARA (sr.no-SR.NO 24 (TALAV) - 1.79.07 HA","Non-Coal Mining","22 Mar 2016","22/03/2016","28/03/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/52098/2016&type=EC&ID=15770"
"10658",1316,"SIA/GJ/MIN/52482/2016","segras ordinary sand of rama punja odedra 0.90.00 h","Non-Coal Mining","05 Apr 2016","05/04/2016","07/04/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/52482/2016&type=EC&ID=17092"
"10659",1317,"SIA/GJ/MIS/147373/2020","PIONEER BELLINA","INFRA-2","13 Mar 2020","07/03/2020","12/03/2020","13/03/2020","01/04/2020","","","10/04/2020","14/03/2021","05/11/2020","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/147373/2020&type=EC&ID=95233"
"10660",1318,"SIA/GJ/IND2/52204/2019","Ferrox Chemical Pvt.Ltd.","Industrial Projects - 2","26 Oct 2020","29/05/2020","","","01/06/2020","20/10/2020","26/10/2020","19/11/2020","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/52204/2019&type=EC&ID=96398"
"10661",1319,"SIA/GJ/IND2/150991/2020","Expansion Of Synthentic Resins And Dyes Intermediates Manufacturing Plant Unit","Industrial Projects - 2","06 Apr 2020","06/04/2020","","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/150991/2020&type=EC&ID=102120"
"10662",1320,"SIA/GJ/IND2/195150/2021","M/s. Avyukt Chem LLP","Industrial Projects - 2","27 Jan 2021","27/01/2021","","","30/01/2021","","","18/02/2021","19/08/2021","14/10/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/195150/2021&type=EC&ID=161579"
"10663",1321,"SIA/GJ/NCP/2988/2015","MEDICAL COLLEGE HOSPITAL","INFRA-1","09 Oct 2015","09/10/2015","","","13/10/2015","","","30/10/2015","","31/03/2016","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/2988/2015&type=EC&ID=17395"
"10664",1322,"SIA/GJ/MIN/49323/2016","SAHYOG MINECHEM","Non-Coal Mining","14 Feb 2016","14/02/2016","14/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/49323/2016&type=EC&ID=13123"
"10665",1323,"SIA/GJ/MIS/108505/2019","Affordable Housing Building","INFRA-2","28 Jun 2019","28/06/2019","28/06/2019","28/06/2019","10/07/2019","","","16/07/2019","11/09/2019","04/11/2019","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/108505/2019&type=EC&ID=56786"
"10666",1324,"SIA/GJ/MIN/90768/2019","Mohitbhai Vinodbhai Solanki (04-93-00HA)","Non-Coal Mining","07 Jan 2019","07/01/2019","09/01/2019","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/90768/2019&type=EC&ID=51565"
"10667",1325,"SIA/GJ/MIN/58072/2016","M/s.Building lime stone Dhirubhai Devshibhai Ram","Non-Coal Mining","03 Aug 2016","03/08/2016","03/08/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/58072/2016&type=EC&ID=24073"
"10668",1326,"SIA/GJ/MIN/60373/2016","VIJAYBHAI VALLABHBHAI SOLANKI","Non-Coal Mining","12 Nov 2016","12/11/2016","19/11/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/60373/2016&type=EC&ID=32672"
"10669",1327,"SIA/GJ/IND2/151082/2020","M/s. Gufic Biosciences Ltd.","Industrial Projects - 2","29 May 2020","08/04/2020","13/04/2020","22/04/2020","23/04/2020","29/04/2020","29/05/2020","31/05/2020","14/03/2021","05/11/2020","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/151082/2020&type=EC&ID=102150"
