,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
365,SIA/JH/CMIN/413519/2023,SELECTED DHORI (LOWER) OPEN CAST MINE,Coal Mining,21 Feb 2023,09/01/2023,09/01/2023,10/01/2023,17/01/2023,,21/02/2023,20/01/2023,,08/02/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/CMIN/413519/2023&type=EC&ID=215082
366,SIA/JH/MIN/447221/2023,SADHWADIH STONE MINE,Non-Coal Mining,16 Oct 2023,13/10/2023,14/10/2023,16/10/2023,16/10/2023,,,17/10/2023,,29/11/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/447221/2023&type=EC&ID=226775
367,SIA/JH/INFRA2/405970/2022,Proposed Residential Building,INFRA-2,25 Nov 2022,12/11/2022,14/11/2022,22/11/2022,22/12/2022,,25/11/2022,06/01/2023,,19/01/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/INFRA2/405970/2022&type=EC&ID=212538
368,SIA/JH/MIN/448956/2023,Moti Brick Clay Mine,Non-Coal Mining,16 Oct 2023,15/10/2023,15/10/2023,16/10/2023,16/10/2023,,,17/10/2023,,30/11/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/448956/2023&type=EC&ID=226862
369,SIA/JH/MIN/448950/2023,Tubed Sand Deposit,Non-Coal Mining,17 Oct 2023,15/10/2023,15/10/2023,17/10/2023,17/10/2023,,,17/10/2023,,29/11/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/448950/2023&type=EC&ID=226860
370,SIA/JH/INFRA2/430244/2023,Proposed Commercial Cum Residential “Eminence Mall” & Hospital Project,INFRA-2,12 Jul 2023,23/05/2023,01/06/2023,12/07/2023,17/07/2023,,,18/07/2023,,21/08/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/INFRA2/430244/2023&type=EC&ID=220165
371,SIA/JH/INFRA2/433155/2023,SANGRAM SAI TOWNSHIP PHASE 2,INFRA-2,14 Jun 2023,13/06/2023,13/06/2023,14/06/2023,14/06/2023,,,14/06/2023,,14/07/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/INFRA2/433155/2023&type=EC&ID=221271
372,SIA/JH/MIN/183452/2020,ASIT KUMAR MANDAL STONE MINE,Non-Coal Mining,14 Nov 2020,14/11/2020,22/12/2020,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/183452/2020&type=EC&ID=143880
373,SIA/JH/MIN/54315/2019,JYOTI PAHARI Kyanite mine,Non-Coal Mining,24 Dec 2020,13/07/2020,21/12/2020,24/12/2020,28/12/2020,,,07/01/2021,22/01/2021,27/01/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/54315/2019&type=EC&ID=115493
374,SIA/JH/MIN/214406/2021,BABA STONE AND MORUM MINES SHRI UMAKANT PRASAD JAISWAL,Non-Coal Mining,28 Jul 2021,09/06/2021,16/07/2021,28/07/2021,28/07/2021,,,05/08/2021,13/08/2021,14/08/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/214406/2021&type=EC&ID=188197
375,SIA/JH/IND/66215/2018,"Modification-cum expansion of existing Re-Rolling Mill of M/s Saluja Steel & Power (P) Ltd at Mouza- Mohanpur, P.S.- Mahtohdih, Dist.- Gridih, Jharkhand",Industrial Projects - 1,02 Mar 2022,09/08/2021,08/02/2022,02/03/2022,02/03/2022,,,02/03/2022,,04/11/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/IND/66215/2018&type=EC&ID=189744
376,SIA/JH/MIS/59747/2019,New Ranchi High Court Building and Residential Complex,INFRA-2,23 Jan 2021,12/01/2021,22/01/2021,23/01/2021,24/01/2021,,,25/01/2021,26/01/2021,27/01/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIS/59747/2019&type=EC&ID=158923
377,SIA/JH/MIN/183344/2020,Utasara Stone Deposit of M/s Vishwakarma Stone Works,Non-Coal Mining,02 Mar 2021,13/11/2020,02/07/2021,02/03/2021,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/183344/2020&type=EC&ID=142853
378,SIA/JH/MIS/114543/2019,Housing Complex under Pradhan Mantri Awas Yojana (urban) [Package B],INFRA-2,12 Oct 2019,12/10/2019,05/09/2019,12/10/2019,14/10/2019,,,02/11/2019,04/12/2020,15/01/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIS/114543/2019&type=EC&ID=61505
379,SIA/JH/MIN/32787/2015,"KHESHMI STONE MINE
(PROP. SRI KAMAL KUMAR AGARWAL)",Non-Coal Mining,13 Nov 2015,13/11/2015,,,27/11/2015,,,06/02/2018,06/02/2018,30/12/2015,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/32787/2015&type=EC&ID=2238
380,SIA/JH/INFRA2/431687/2023,Vinayak Square,INFRA-2,13 Jun 2023,31/05/2023,01/06/2023,13/06/2023,13/06/2023,,,14/06/2023,,14/07/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/INFRA2/431687/2023&type=EC&ID=220681
381,SIA/JH/MIN/447251/2023,KORAMBE STONE BLOCK ,Non-Coal Mining,07 Oct 2023,06/10/2023,07/10/2023,07/10/2023,08/10/2023,,,08/10/2023,,30/11/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/447251/2023&type=EC&ID=226457
382,SIA/JH/MIN/32365/2015,"Banspahar Stone Mine
(By M/s Paharia Stone Works)",Non-Coal Mining,02 Nov 2015,02/11/2015,,,03/11/2015,,,06/02/2018,06/02/2018,30/12/2015,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/32365/2015&type=EC&ID=1910
383,SIA/JH/MIN/73827/2018,SUNDIPUR SAND MINING PROJECT,Non-Coal Mining,17 May 2018,17/05/2018,10/05/2018,17/05/2018,28/05/2018,,,08/06/2018,06/07/2018,31/08/2018,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/73827/2018&type=EC&ID=43114
384,SIA/JH/MIN/50684/2016,Rajesh Kumar Verma,Non-Coal Mining,22 Apr 2016,22/04/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/50684/2016&type=EC&ID=14491
385,SIA/JH/MIN/447222/2023,M/S Mata Bricks ,Non-Coal Mining,08 Oct 2023,06/10/2023,06/10/2023,08/10/2023,16/10/2023,,,17/10/2023,,30/11/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/447222/2023&type=EC&ID=226434
386,SIA/JH/MIN/33278/2015,"KANADIH STONE MINE
(PROP SANTOSH SANGA)",Non-Coal Mining,26 Nov 2015,26/11/2015,,,27/11/2015,,,06/02/2018,06/02/2018,30/12/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/33278/2015&type=EC&ID=2729
387,SIA/JH/IND2/442593/2023,SHEONARAIN JAISWAL PVT. LTD. (GRAIN BASED DISTILLERY WITH COGENERATION PLANT),Industrial Projects - 2,11 Sep 2023,07/09/2023,08/09/2023,11/09/2023,18/09/2023,,,18/09/2023,,11/10/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/IND2/442593/2023&type=EC&ID=224871
388,SIA/JH/MIN/75798/2018,"Mahuda sand bed over an area of 7.0 Ha at Vill: Mahuda, Bagmara, Dhanbad, Jharkhand",Non-Coal Mining,22 Sep 2018,22/09/2018,27/09/2018,22/09/2018,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/75798/2018&type=EC&ID=44840
389,SIA/JH/MIN/35964/2019,Kusumghata River Bed Sand Mine of GUMANI River,Non-Coal Mining,24 May 2019,24/05/2019,23/05/2019,24/05/2019,24/05/2019,,,01/06/2019,01/06/2019,05/06/2019,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/35964/2019&type=EC&ID=55525
390,SIA/JH/MIN/188595/2020,“Nimchua Stone Mine” by M/s Popular Stone Works Prop- Shri Jamirul Islam,Non-Coal Mining,28 Dec 2020,18/12/2020,22/12/2020,28/12/2020,29/12/2020,,,07/01/2021,09/01/2021,15/01/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/188595/2020&type=EC&ID=149129
