,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
640,SIA/OR/MIN/41050/2016,41050/1156-NCM/01-2016,Orissa,Mayurbhanj,Badampahar,Date of Submission for TOR: ,Date of Submission for EC: 15 Jan 2016 ,Non-Coal Mining,BIMAL KUMAR SWAIN,Delisted
641,SIA/OR/MIN/291225/2022,291225/882-MINB2/03-2023,Orissa,Sundargarh,Banei,Date of Submission for TOR: ,Date of Submission for EC: 21 Feb 2023 ,Non-Coal Mining,RASHMIREKHA SAHU,Accepted by SEIAA and forwarded to SEAC
642,SIA/OR/MIN/49903/2016,,Orissa,Sundargarh,Lathikata,Date of Submission for TOR: ,Date of Submission for EC: 18 Feb 2016 ,Non-Coal Mining,PRATAP JAISWAL,Delisted
643,SIA/OR/IND2/22154/2018,22154/187-IND2/02-2018,Orissa,Nabarangpur,Nabarangapur,Date of Submission for EC: 22 Feb 2018 ,Date of Ec Granted : 26 Jul 2018,Industrial Projects - 2,GIRISH SINGH,EC Granted
644,SIA/OR/IND2/22635/2018,22635/258-IND2/03-2018,Orissa,Nuapada,Nuapada,Date of Submission for EC: 26 Mar 2018 ,Date of Ec Granted : 28 Jul 2018,Industrial Projects - 2,GOPALPRASAD,EC Granted
645,SIA/OR/IND2/23139/2018,23139/314-IND2/03-2018,Orissa,Balangir,Titlagarh,Date of Submission for EC: 30 Mar 2018 ,Date of Ec Granted : 30 Jul 2018,Industrial Projects - 2,RITESHSAHU,EC Granted
646,SIA/OR/MIN/49888/2016,49888/1573-NCM/04-2016,Orissa,Ganjam,Bhanjanagar,Date of Submission for EC: 08 Apr 2016 ,Date of Ec Granted : 11 Oct 2017,Non-Coal Mining,TRILOCHAN BEHERA,EC Granted
647,SIA/OR/MIN/52830/2016,52830/1589-NCM/04-2016,Orissa,Kendrapara,Patkura,Date of Submission for EC: 13 Apr 2016 ,Date of Ec Granted : 30 Nov 2016,Non-Coal Mining,RAKESH KUMAR SAHOO,EC Granted - Processed offline
648,SIA/OR/MIN/73217/2018,,Orissa,Kendujhar,Patana,Date of Submission for TOR: ,Date of Submission for EC: 27 Feb 2018 ,Non-Coal Mining,LESSEE,Delisted
649,SIA/OR/MIN/404229/2022,,Orissa,Koraput,,Date of Submission for TOR: ,Date of Submission for EC: 06 Jan 2023 ,Non-Coal Mining,TAHASILDAR KORAPUT,Query raised by SEIAA and pending at PP
650,SIA/OR/MIN/48700/2016,48700/1465-NCM/02-2016,Orissa,Nuapada,Khariar,Date of Submission for TOR: ,Date of Submission for EC: 10 Feb 2016 ,Non-Coal Mining,ADHIRAJ MOHAN PANIGRAHI,Delisted
651,SIA/OR/MIN/72113/2018,72113/1946-NCM/01-2018,Orissa,Ganjam,Purusottampur,Date of Submission for TOR: ,Date of Submission for EC: 08 Jan 2018 ,Non-Coal Mining,BISWANATH NAHAK,Delisted
652,SIA/OR/MIN/404638/2022,404638/823-MINB2/11-2022,Orissa,Sundargarh,,Date of Submission for TOR: ,Date of Submission for EC: 29 Oct 2022 ,Non-Coal Mining,REENA NAIK,Rejection Letter Granted
653,SIA/OR/MIN/50626/2016,50626/1503-NCM/03-2016,Orissa,Kendrapara,Mahakalapada,Date of Submission for EC: 05 Mar 2016 ,Date of Ec Granted : 22 Jun 2016,Non-Coal Mining,ABHAYA KUMAR BEHERA,EC Granted - Processed offline
654,SIA/OR/MIN/254821/2022,254821/226-MINB2/02-2022,Orissa,Kalahandi,Sadar,Date of Submission for EC: 03 Feb 2022 ,Date of Ec Granted : 07 May 2022,Non-Coal Mining,TAHASILDAR  KALAHANDI,EC Granted
655,SIA/OR/MIN/261178/2022,,Orissa,Jagatsinghapur,Tirtol,Date of Submission for TOR: ,Date of Submission for EC: 11 Mar 2022 ,Non-Coal Mining,ANIL MOHAPATRA,Delisted
656,SIA/OR/MIN/290420/2022,290420/834-MINB2/11-2022,Orissa,Ganjam,Buguda,Date of Submission for EC: 09 Nov 2022 ,Date of Ec Granted : 07 Feb 2023,Non-Coal Mining,SURENDRA SAHU,EC Granted
657,SIA/OR/MIS/250157/2022,250157/71-MIS/01-2022,Orissa,Khordha,Bhubaneswar,Date of Submission for TOR: ,Date of Submission for EC: 26 Jan 2022 ,INFRA-2,RABINDRA NATH DASH,ADS by SEIAA
658,SIA/OR/MIN/246552/2021,246552/154-MINB2/12-2021,Gujarat,Bharuch,Anklesvar,Date of Submission for TOR: ,Date of Submission for EC: 21 Dec 2021 ,Non-Coal Mining,TAHASILDAR BANGIRIPOSI MAYURBHANJ,Rejection Letter Granted
659,SIA/OR/MIS/116392/2019,116392/10-MIS/09-2019,Orissa,Kalahandi,Jayapatna,Date of Submission for EC: 20 Sep 2019 ,Date of Ec Granted : ,INFRA-2,CHIEF DISTRICT MEDICAL AND PUBLIC HEALTH OFFICER,EC Granted
660,SIA/OR/MIN/260806/2022,260806/712-MINB2/04-2022,Orissa,Nuapada,Sinapali,Date of Submission for EC: 28 Apr 2022 ,Date of Ec Granted : 29 Jul 2022,Non-Coal Mining,SUSATYA SAMAL,EC Granted
661,SIA/OR/MIN/260943/2022,,Orissa,Sambalpur,Bamara,Date of Submission for TOR: ,Date of Submission for EC: 10 Mar 2022 ,Non-Coal Mining,TAHASILDAR BAMRA,Delisted
662,SIA/OR/MIN/237353/2021,237353/53-MINB2/11-2021,Orissa,Nayagarh,Gania,Date of Submission for EC: 07 Nov 2021 ,Date of Ec Granted : 25 Jan 2022,Non-Coal Mining,TAHASILDAR GANIA,EC Granted
663,SIA/OR/MIN/237347/2021,237347/71-MINB2/11-2021,Orissa,Balangir,Loisinga,Date of Submission for EC: 15 Nov 2021 ,Date of Ec Granted : 18 Feb 2022,Non-Coal Mining,MR. RAHUL MISHRA,EC Granted
664,SIA/OR/MIN/239651/2021,239651/117-MINB2/12-2021,Orissa,Balangir,Balangir,Date of Submission for EC: 11 Dec 2021 ,Date of Ec Granted : 30 Jun 2022,Non-Coal Mining,TAHASILDAR DEOGAON,EC Granted
665,SIA/OR/MIN/240123/2021,,,,,Date of Submission for TOR: ,Date of Submission for EC: 27 Dec 2021 ,Non-Coal Mining,SHRI KAILASHA CHANDRA PARIJA,Delisted
666,SIA/OR/MIS/184250/2020,184250/31-MIS/01-2021,Orissa,Ganjam,Brahmapur Sadar,Date of Submission for EC: 09 Jan 2021 ,Date of Ec Granted : 16 Nov 2021,INFRA-2,TAPAN ZESTATES PVT. LTD.,EC Granted
667,SIA/OR/MIN/240815/2021,240815/83-MINB2/11-2021,Orissa,Rayagada,Gunupur,Date of Submission for TOR: ,Date of Submission for EC: 26 Nov 2021 ,Non-Coal Mining,M/S. STONE FIELDS,Deferred by SEAC
668,SIA/OR/MIN/246580/2021,246580/188-MINB2/01-2022,Orissa,Mayurbhanj,Koliana,Date of Submission for TOR: ,Date of Submission for EC: 12 Jan 2022 ,Non-Coal Mining,"TAHASILDAR,KULIANA",Delisted
669,SIA/OR/MIN/242987/2021,242987/99-MINB2/12-2021,Orissa,Cuttack,Salepur,Date of Submission for EC: 05 Dec 2021 ,Date of Ec Granted : 01 Feb 2022,Non-Coal Mining,"TAHASILDAR, SALIPUR",EC Granted
670,SIA/OR/MIN/237309/2021,,,,,Date of Submission for TOR: ,Date of Submission for EC: 10 Nov 2021 ,Non-Coal Mining,CHICHINDA STONE QUARRY,Delisted
671,SIA/OR/MIN/260677/2022,260677/745-MINB2/05-2022,Orissa,Ganjam,Hinjili,Date of Submission for EC: 10 May 2022 ,Date of Ec Granted : 07 Sep 2022,Non-Coal Mining,BISHNUPRIYA DALAI,EC Granted
672,SIA/OR/MIN/285753/2022,285753/388-MINB2/07-2022,Orissa,Kendrapara,Patkura,Date of Submission for EC: 28 Jul 2022 ,Date of Ec Granted : 22 Sep 2022,Non-Coal Mining,NARAYAN ROUT,EC Granted
673,SIA/OR/MIN/247695/2021,,Orissa,Nayagarh,Fategarh,Date of Submission for TOR: ,Date of Submission for EC: 20 Mar 2022 ,Non-Coal Mining,RAJESH  KUMAR PRADHAN,Delisted
674,SIA/OR/MIN/249698/2022,249698/371-MINB2/07-2022,Orissa,Boudh,Harbhanga,Date of Submission for EC: 22 Jul 2022 ,Date of Ec Granted : 05 Nov 2022,Non-Coal Mining,TAHASILDAR HARABHANGA,EC Granted
