,Proposal,FormType
375,SIA/MH/MIN/252753/2022,Form-2
376,SIA/MH/IND3/71384/2018,Form-2
377,SIA/MH/INFRA2/431548/2023,Parivesh
378,SIA/MH/INFRA2/431542/2023,Parivesh
379,SIA/MH/INFRA2/429644/2023,Parivesh
380,SIA/MH/INFRA2/431308/2023,Parivesh
381,SIA/MH/INFRA2/431835/2023,Parivesh
382,SIA/MH/INFRA2/420359/2023,Parivesh
383,SIA/MH/MIN/407144/2022,Parivesh
384,SIA/MH/MIN/407062/2022,Parivesh
385,SIA/MH/MIN/407251/2022,Parivesh
386,SIA/MH/MIN/419524/2023,Parivesh
387,SIA/MH/MIN/410617/2022,Parivesh
388,SIA/MH/MIN/410456/2022,Parivesh
389,SIA/MH/INFRA2/411512/2022,Parivesh
390,SIA/MH/MIN/264909/2022,Form-2
391,SIA/MH/MIN/264480/2022,Form-2
392,SIA/MH/MIS/255698/2022,Form-1
393,SIA/MH/NCP/58045/2016,Missing
394,SIA/MH/MIS/58252/2016,Missing
395,SIA/MH/MIS/31905/2015,Missing
396,SIA/MH/MIN/31020/2015,Missing
397,SIA/MH/MIN/240009/2021,Form-2
398,SIA/MH/MIS/237159/2021,Form-1
399,SIA/MH/MIN/404957/2022,Parivesh
400,SIA/MH/MIN/404571/2022,Parivesh
401,SIA/MH/INFRA2/405702/2022,Parivesh
402,SIA/MH/INFRA2/402048/2022,Parivesh
403,SIA/MH/MIN/403578/2022,Parivesh
404,SIA/MH/MIN/422116/2023,Parivesh
405,SIA/MH/MIN/420340/2023,Parivesh
406,SIA/MH/MIN/420895/2023,Parivesh
407,SIA/MH/MIN/421078/2023,Parivesh
408,SIA/MH/MIS/277365/2022,Form-1
409,SIA/MH/MIS/69757/2021,Form-2
410,SIA/MH/MIS/277673/2022,Form-1
411,SIA/MH/MIS/133432/2019,Form-1
412,SIA/MH/MIN/162475/2020,Form-2
413,SIA/MH/MIN/161441/2020,Form-2
414,SIA/MH/MIN/161600/2020,Form-2
415,SIA/MH/INFRA2/417166/2023,Parivesh
416,SIA/MH/MIN/418570/2023,Parivesh
417,SIA/MH/MIN/421076/2023,Parivesh
418,SIA/MH/MIN/421163/2023,Parivesh
419,SIA/MH/MIN/154257/2020,Form-2
420,SIA/MH/MIS/278769/2022,Form-1
421,SIA/MH/MIS/259865/2022,Form-1
422,SIA/MH/NCP/59891/2016,Missing
423,SIA/MH/IND2/17609/2016,Missing
424,SIA/MH/IND3/412685/2022,Parivesh
425,SIA/MH/INFRA2/414639/2023,Parivesh
426,SIA/MH/MIN/411656/2022,Parivesh
427,SIA/MH/INFRA2/413187/2023,Parivesh
428,SIA/MH/INFRA2/414717/2023,Parivesh
429,SIA/MH/MIN/405714/2022,Parivesh
430,SIA/MH/INFRA2/414732/2023,Parivesh
431,SIA/MH/MIN/411591/2022,Parivesh
432,SIA/MH/MIN/414104/2023,Parivesh
433,SIA/MH/INFRA2/415776/2023,Parivesh
434,SIA/MH/INFRA2/413794/2023,Parivesh
435,SIA/MH/MIN/414208/2023,Parivesh
436,SIA/MH/MIN/414224/2023,Parivesh
437,SIA/MH/INFRA2/415920/2023,Parivesh
438,SIA/MH/MIN/414545/2023,Parivesh
439,SIA/MH/INFRA2/430737/2023,Parivesh
440,SIA/MH/INFRA2/416904/2023,Parivesh
441,SIA/MH/INFRA2/416785/2023,Parivesh
442,SIA/MH/MIN/416551/2023,Parivesh
443,SIA/MH/MIN/416532/2023,Parivesh
444,SIA/MH/MIN/416548/2023,Parivesh
445,SIA/MH/MIN/425394/2023,Parivesh
446,SIA/MH/MIN/425554/2023,Parivesh
447,SIA/MH/NCP/63079/2017,Missing
448,SIA/MH/INFRA2/401148/2022,Parivesh
449,SIA/MH/INFRA2/402446/2022,Parivesh
450,SIA/MH/INFRA2/402780/2022,Parivesh
451,SIA/MH/INFRA2/402779/2022,Parivesh
452,SIA/MH/INFRA2/400901/2022,Parivesh
453,SIA/MH/MIN/422514/2023,Parivesh
454,SIA/MH/MIN/422761/2023,Parivesh
455,SIA/MH/INFRA2/414172/2023,Parivesh
456,SIA/MH/INFRA2/422462/2023,Parivesh
457,SIA/MH/INFRA2/425061/2023,Parivesh
458,SIA/MH/MIN/402068/2022,Parivesh
459,SIA/MH/INFRA2/405004/2022,Parivesh
460,SIA/MH/MIN/404420/2022,Parivesh
461,SIA/MH/MIN/427580/2023,Parivesh
462,SIA/MH/MIN/428404/2023,Parivesh
463,SIA/MH/INFRA2/427201/2023,Parivesh
464,SIA/MH/INFRA2/425954/2023,Parivesh
465,SIA/MH/INFRA2/402968/2022,Parivesh
466,SIA/MH/INFRA2/408565/2022,Parivesh
467,SIA/MH/INFRA2/408887/2022,Parivesh
468,SIA/MH/MIS/269797/2022,Form-1
469,SIA/MH/MIS/270289/2022,Form-1
470,SIA/MH/MIS/290777/2022,Form-1
471,SIA/MH/INFRA2/407527/2022,Parivesh
472,SIA/MH/MIN/413397/2023,Parivesh
473,SIA/MH/INFRA2/412906/2023,Parivesh
474,SIA/MH/MIN/413412/2023,Parivesh
475,SIA/MH/INFRA2/417346/2023,Parivesh
476,SIA/MH/INFRA2/431529/2023,Parivesh
477,SIA/MH/MIS/265935/2022,Form-1
478,SIA/MH/INFRA2/408103/2022,Parivesh
479,SIA/MH/MIN/407497/2022,Parivesh
480,SIA/MH/INFRA2/433084/2023,Parivesh
481,SIA/MH/INFRA2/431408/2023,Parivesh
482,SIA/MH/INFRA2/432570/2023,Parivesh
483,SIA/MH/MIS/277421/2022,Form-1
484,SIA/MH/MIN/277452/2022,Form-2
485,SIA/MH/MIS/277237/2022,Form-1
486,SIA/MH/NCP/51045/2016,Missing
487,SIA/MH/MIS/279478/2022,Form-1
488,SIA/MH/INFRA2/403421/2022,Parivesh
489,SIA/MH/INFRA2/403905/2022,Parivesh
490,SIA/MH/INFRA2/404003/2022,Parivesh
491,SIA/MH/INFRA2/403914/2022,Parivesh
492,SIA/MH/MIN/405758/2022,Parivesh
493,SIA/MH/MIS/257731/2022,Form-1
494,SIA/MH/MIS/259744/2022,Form-1
495,SIA/MH/MIS/280615/2022,Form-1
496,SIA/MH/MIS/281506/2022,Form-1
497,SIA/MH/MIS/281772/2022,Form-1
498,SIA/MH/MIN/281809/2022,Form-2
499,SIA/MH/MIS/281828/2022,Form-1
500,SIA/MH/MIN/281330/2022,Form-2
501,SIA/MH/INFRA2/401835/2022,Parivesh
502,SIA/MH/INFRA2/404216/2022,Parivesh
503,SIA/MH/MIN/401990/2022,Parivesh
504,SIA/MH/INFRA2/402941/2022,Parivesh
505,SIA/MH/INFRA2/424662/2023,Parivesh
506,SIA/MH/MIN/257384/2022,Form-2
507,SIA/MH/MIN/258233/2022,Form-2
508,SIA/MH/MIN/258281/2022,Form-2
509,SIA/MH/MIN/275935/2022,Form-2
510,SIA/MH/MIN/276560/2022,Form-2
511,SIA/MH/MIS/278983/2022,Form-1
512,SIA/MH/MIS/278644/2022,Form-1
513,SIA/MH/NCP/76086/2018,Missing
514,SIA/MH/MIN/88778/2018,Missing
515,SIA/MH/MIN/407259/2022,Parivesh
516,SIA/MH/MIN/410450/2022,Parivesh
517,SIA/MH/INFRA2/408142/2022,Parivesh
518,SIA/MH/INFRA2/412431/2022,Parivesh
519,SIA/MH/MIS/68539/2021,Form-2
520,SIA/MH/MIN/410444/2022,Parivesh
521,SIA/MH/MIN/407222/2022,Parivesh
522,SIA/MH/INFRA2/427311/2023,Parivesh
523,SIA/MH/MIN/427883/2023,Parivesh
524,SIA/MH/INFRA2/427284/2023,Parivesh
525,SIA/MH/MIS/262966/2022,Form-1
526,SIA/MH/MIS/255853/2022,Form-1
527,SIA/MH/MIS/256076/2022,Form-1
528,SIA/MH/MIN/274231/2022,Form-2
529,SIA/MH/MIS/263187/2022,Form-1
530,SIA/MH/MIS/284503/2022,Form-1
531,SIA/MH/MIS/247686/2021,Form-1
532,SIA/MH/MIN/266007/2022,Form-2
533,SIA/MH/MIN/419591/2023,Parivesh
534,SIA/MH/MIN/419824/2023,Parivesh
535,SIA/MH/IND2/412812/2023,Parivesh
536,SIA/MH/INFRA2/419120/2023,Parivesh
537,SIA/MH/MIN/419694/2023,Parivesh
538,SIA/MH/MIN/420733/2023,Parivesh
539,SIA/MH/INFRA2/415358/2023,Parivesh
540,SIA/MH/MIN/416489/2023,Parivesh
541,SIA/MH/MIN/419732/2023,Parivesh
542,SIA/MH/NCP/53323/2016,Missing
543,SIA/MH/INFRA2/412614/2022,Parivesh
544,SIA/MH/MIN/407555/2022,Parivesh
545,SIA/MH/MIN/411697/2022,Parivesh
546,SIA/MH/MIN/409327/2022,Parivesh
547,SIA/MH/MIN/409372/2022,Parivesh
548,SIA/MH/MIN/409522/2022,Parivesh
549,SIA/MH/MIN/410515/2022,Parivesh
550,SIA/MH/MIN/410719/2022,Parivesh
551,SIA/MH/MIN/163482/2020,Form-2
552,SIA/MH/NCP/94422/2019,Missing
553,SIA/MH/MIS/271525/2022,Form-1
554,SIA/MH/MIN/254401/2022,Form-2
555,SIA/MH/INFRA2/418032/2023,Parivesh
556,SIA/MH/INFRA2/418771/2023,Parivesh
557,SIA/MH/INFRA2/418831/2023,Parivesh
