,Unnamed: 0,X,Proposal.No.,File.No.,Project.Name,Company,Proposal.Status,Project.Type,View,Form_Type
811,812,2,SIA/PB/NCP/81359/2018,,"Expansion of Residential Project namely “Rajgadh  Estates Phase-II & Phase-II Ext.” at Village Birmi, Ludhiana, Punjab by M/s. Dev Arjuna Promoters & Developers (P) Ltd.",DEV ARJUNA PROMOTERS AND DEVELOPERS PVT LTD,Delisted,EC,, 
812,813,3,SIA/PB/MIN/40986/2016,,M/S ASHOK KUMAR BANSAL BKO MANSA TEHSIL AND DISTT. MANSA,ASHOK KUMAR BANSAL BKO,Delisted,EC,, 
813,814,4,SIA/PB/MIN/42321/2016,,ANIL AND CO VILLAGE KHUDAL KALAN TEHSIL BUDHLADA DISTT MANSA,ANIL KUMAR AND CO,Delisted,EC,, 
814,815,5,SIA/PB/MIN/61266/2016,SEIAA/PB/MINING(NON-COAL)/EC/2017/4,Heatewal Sand Mining Project,DIC LUDHIANA,EC Granted,EC,, 
815,816,1,SIA/PB/MIN/37489/2015,,BANSAL BROS BKO MINING SITE AT,BANSAL BROS BKO,Delisted,EC,, 
816,817,2,SIA/PB/MIN/60652/2016,SEIAA/PB/MINING(NON-COAL)/EC/2017/9,Boont Sand Mining Project,DIC LUDHIANA,EC Granted,EC,, 
817,818,2,SIA/PB/MIS/103833/2019,,HLP GALLERIA,KCB INFRA,Delisted,EC,, 
818,819,2,SIA/PB/MIS/256715/2022,SEIAA/PB/MIS/2022/EC(EXP)/04,PATIALA HEIGHTS,OM CONSTRUCTIONS,EC Granted,EC,, 
819,820,1,SIA/PB/MIN/438245/2023,SEIAA/PB/MIN/2023/EC/42,"Kaila Sand Mining Project, Executive Engineer/Ferozepur, Drainage-Cum-Mining & Geology Division Water Resources Department, Ferozepur, Punjab",EXECUTIVE ENGINEER CUM DISTRICT MINING OFFICER GOLEWALA DRAINGE DIVISION,EC Granted,EC,, 
820,821,2,SIA/PB/MIN/38200/2016,,brick earth mining,LUDHIANA BRICK KILN OWNERS ASSOCIATION,Delisted,EC,, 
821,822,3,SIA/PB/NCP/16518/2016,SEIAA/PB/Bldg /23/2016,World Trade Centre Commercial project,WTC NOIDA DEVELOPMENT COMPANY PVT LTD,EC Granted,EC,, 
822,823,4,SIA/PB/INFRA2/434732/2023,SEIAA/PB/MIS/2023/EC/26,"Proposed Residential Plotted Colony at Village: Lalton Kalan, Tehsil & District: Ludhiana, Punjab by M/s Eldeco Maksad Properties Limited.",ELDECO MAKSAD PROPERTIES LIMITED,EC Granted,EC,, 
823,824,5,SIA/PB/MIN/42507/2016,SEIAA/PB/SAND MINING/EC/2016/04,Sand Mining Project at Village-Dhandian,DIC PUNJAB,Rejection Letter Granted,EC,, 
824,825,9,SIA/PB/NCP/62520/2017,SEIAA/PB/NCP/EC/2017/2,UMBERA GREEN,UMBERA GROUP,EC Granted,EC,, 
825,826,10,SIA/PB/NCP/87900/2018,SEIAA/PB/NCP/EC/2019/01,UMBERA HOMEZ,UMBERA GROUP,EC Granted,EC,, 
826,827,6,SIA/PB/MIS/265451/2022,SEIAA/PB/MIS/2022/EC/17,"Commercial Project “Mohali Citi Centre Walk” (5.69 acres) at Pocket No. 2, Block-E, Aerocity, SAS Nagar, Punjab by KLG Infra.",KLG INFRA,EC Granted,EC,, 
827,828,1,SIA/PB/IND2/31084/2017,,Expansion of Sugar Mill (7000 TCD to 12000 TCD) and Co-generation power plant 37MW,A B SUGARS LTD,WithdrawEC,EC,, 
828,829,2,SIA/PB/MIN/446727/2023,SEIAA/PB/MIN/2023/EC/65,Balarwal Sand Mining Project over an extent of 4.8Ha.,Department of Irrigation,WithdrawEC,EC,, 
829,830,3,SIA/PB/INFRA2/432965/2023,SEIAA/PB/MIS/2023/EC/19,THE SILICON COURTYARD,HI-TECH BUILDERS & PROMOTERS,EC Granted,EC,, 
830,831,4,SIA/PB/MIN/421105/2023,SEIAA/PB/MIN/2023/EC/06,"Proposed Sand Mining (boulder, gravel, sand) as per approved DSR No. SEIAA/MS/2022/1318 with production capacity of 38871 TPA over an area of 4.98 ha on the agricultural bed/patta land located at Village- Majari, Tehsil Nangal, District Rupnagar, Punjab through XEN/DMO District Rupnagar Govt. of Punjab",Department of Irrigation,EC Granted,EC,, 
831,832,5,SIA/PB/NCP/85661/2018,SEIAA/PB/NCP/EC/2020/01,LA PRISMA,UNITED BUILDERS,EC Granted,EC,, 
